group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A19TD2J8506A4Y,1344176793797,0,0,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[3 0];[1 1];[1 9],3 1 1,2688 13408 13400,49 49 50,0 1 2,29496,5,[0 1],1615386566.59,Wed Mar 10 2021 07:29:26 GMT-0700 (Mountain Standard Time),0
A,A19TD2J8506A4Y,1344176793797,0,1,train,1,[1 0],[1 0],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],0 1 2,2903 19121 7975,50 49 51,0 1 2,29999,3,[0 1],1615386608.311,Wed Mar 10 2021 07:30:08 GMT-0700 (Mountain Standard Time),0
A,A19TD2J8506A4Y,1344176793797,0,2,train,1,[1 0],[1 0],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],0 1 0,3188 9368 6794,50 50 51,0 1 2,19350,1,[0 1],1615386637.542,Wed Mar 10 2021 07:30:37 GMT-0700 (Mountain Standard Time),0
A,A19TD2J8506A4Y,1344176793797,0,3,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,2783 8214 8812,50 50 49,0 1 2,19809,3,[0 1],1615386664.281,Wed Mar 10 2021 07:31:04 GMT-0700 (Mountain Standard Time),0
A,A19TD2J8506A4Y,1344176793797,0,4,train,1,[1 0],[1 0],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],0 1 2,2990 7050 7359,50 49 51,0 1 2,17399,3,[0 1],1615386688.334,Wed Mar 10 2021 07:31:28 GMT-0700 (Mountain Standard Time),0
A,A19TD2J8506A4Y,1344176793797,0,5,train,1,[0 1],[0 1],1 2 3 6,4,1 1 3,[3 0];[1 1];[3 4],0 1 4,3319 6867 7446,49 51 51,0 1 2,17632,5,[0 1],1615386712.307,Wed Mar 10 2021 07:31:52 GMT-0700 (Mountain Standard Time),0
A,A19TD2J8506A4Y,1344176793797,0,6,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],0 1 5,4396 6056 6549,50 50 50,0 1 2,17001,6,[0 1],1615386737.735,Wed Mar 10 2021 07:32:17 GMT-0700 (Mountain Standard Time),0
A,A19TD2J8506A4Y,1344176793797,0,7,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[3 0];[1 1];[5 6],3 1 5,3180 7814 5001,49 50 50,0 1 2,15995,9,[0 1],1615386759.725,Wed Mar 10 2021 07:32:39 GMT-0700 (Mountain Standard Time),0
A,A19TD2J8506A4Y,1344176793797,0,8,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[3 0];[1 1];[1 9],0 1 9,3382 7463 7989,49 49 50,0 1 2,18834,10,[0 1],1615386783.913,Wed Mar 10 2021 07:33:03 GMT-0700 (Mountain Standard Time),0
A,A19TD2J8506A4Y,1344176793797,0,9,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],0 1 1,2977 10490 1910 10614,50 32 49 50,0 2 3,25991,2,[0 1],1615386818.699,Wed Mar 10 2021 07:33:38 GMT-0700 (Mountain Standard Time),0
