group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1QGG767E07WBA,1600530650189,0,0,train,1,[0 1],[1 0],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],2 1 0,10079 20258 9358,98 98 97,0 1 2,39695,3,[1 0],1615426409.689,Wed Mar 10 2021 20:33:29 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,1,train,1,[0 1],[1 0],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],0 1 2,1611 6578 9718,97 99 99,0 1 2,17907,3,[1 0],1615426434.741,Wed Mar 10 2021 20:33:54 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,2,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[9 1],2 1 9,1636 4522 5948,98 99 98,0 1 2,12106,12,[1 0],1615426453.949,Wed Mar 10 2021 20:34:13 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,3,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,3870 5061 5610,97 98 97,0 1 2,14541,10,[1 0],1615426474.872,Wed Mar 10 2021 20:34:34 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,4,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[1 1];[1 8],0 1 8,2854 4929 4053,98 97 97,0 1 2,11836,9,[1 0],1615426490.986,Wed Mar 10 2021 20:34:50 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,5,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],3 1 5,3529 7998 5461,97 97 99,0 1 2,16988,9,[1 0],1615426512.485,Wed Mar 10 2021 20:35:12 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,6,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,1496 3994 3791,98 98 99,0 1 2,9281,10,[1 0],1615426527.624,Wed Mar 10 2021 20:35:27 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,7,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],3 1 4,3741 6155 22649,97 99 99,0 1 2,32545,8,[1 0],1615426563.801,Wed Mar 10 2021 20:36:03 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,8,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,1301 6027 3236,97 98 97,0 1 2,10564,10,[1 0],1615426577.316,Wed Mar 10 2021 20:36:17 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,9,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[9 1],2 1 9,2278 4497 4692,98 99 98,0 1 2,11467,12,[1 0],1615426592.991,Wed Mar 10 2021 20:36:32 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,10,train,1,[0 1],[1 0],1 2 3 6,4,2 1 3,[2 0];[1 1];[4 3],2 1 4,802 4604 5723,98 97 98,0 1 2,11129,7,[1 0],1615426607.897,Wed Mar 10 2021 20:36:47 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,11,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,1710 4346 3399,97 98 97,0 1 2,9455,10,[1 0],1615426644.456,Wed Mar 10 2021 20:37:24 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,12,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],2 1 3,2080 8081 2942,98 97 99,0 1 2,13103,6,[1 0],1615426660.854,Wed Mar 10 2021 20:37:40 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,13,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[1 1];[1 8],2 1 1,565 4150 2497,98 97 97,0 1 2,7212,4,[1 0],1615426671.668,Wed Mar 10 2021 20:37:51 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,14,train,1,[0 1],[1 0],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],2 1 0,1438 7058 3141,98 98 97,0 1 2,11637,3,[1 0],1615426686.34,Wed Mar 10 2021 20:38:06 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,15,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[1 1];[6 5],2 1 6,1185 4739 4558,98 98 98,0 1 2,10482,9,[1 0],1615426700.632,Wed Mar 10 2021 20:38:20 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,16,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 3];[1 1];[1 8],3 1 8,1779 4280 3307,97 97 97,0 1 2,9366,12,[1 0],1615426713.516,Wed Mar 10 2021 20:38:33 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,17,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 3];[1 1];[9 1],3 1 1,1461 6107 6238,97 99 98,0 1 2,13806,5,[1 0],1615426730.375,Wed Mar 10 2021 20:38:50 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,18,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],3 1 4,2283 4544 3477,97 99 99,0 1 2,10304,8,[1 0],1615426743.182,Wed Mar 10 2021 20:39:03 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,19,train,1,[0 1],[1 0],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],2 1 0,2163 5315 6047,98 98 97,0 1 2,13525,3,[1 0],1615426759.27,Wed Mar 10 2021 20:39:19 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,20,train,1,[0 1],[1 0],1 2 3 6,4,2 1 3,[2 0];[1 1];[4 3],2 1 4,1806 4501 3308,98 97 98,0 1 2,9615,7,[1 0],1615426772.274,Wed Mar 10 2021 20:39:32 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,21,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[1 1];[6 5],2 1 6,1746 3348 4468,98 98 98,0 1 2,9562,9,[1 0],1615426784.95,Wed Mar 10 2021 20:39:44 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,22,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 3];[1 1];[4 3],3 1 3,1673 4700 4596,97 97 98,0 1 2,10969,7,[1 0],1615426798.751,Wed Mar 10 2021 20:39:58 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,23,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],3 1 4,1122 3402 3304,97 99 99,0 1 2,7828,8,[1 0],1615426809.158,Wed Mar 10 2021 20:40:09 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,24,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],2 1 3,3323 4194 3620,98 97 99,0 1 2,11137,6,[1 0],1615426823.214,Wed Mar 10 2021 20:40:23 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,25,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],3 1 5,2124 3704 3767,97 97 99,0 1 2,9595,9,[1 0],1615426835.476,Wed Mar 10 2021 20:40:35 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,26,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[9 1],2 1 9,1964 3535 4327,98 99 98,0 1 2,9826,12,[1 0],1615426848.256,Wed Mar 10 2021 20:40:48 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,27,train,1,[0 1],[1 0],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],2 1 0,2108 4477 4251,98 98 97,0 1 2,10836,3,[1 0],1615426861.885,Wed Mar 10 2021 20:41:01 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,28,train,1,[0 1],[1 0],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],2 1 5,2207 4034 4250,98 99 97,0 1 2,10491,8,[1 0],1615426875.084,Wed Mar 10 2021 20:41:15 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,29,train,1,[0 1],[1 0],1 2 3 6,4,2 1 3,[2 0];[1 1];[4 3],2 1 4,1079 4880 5484,98 97 98,0 1 2,11443,7,[1 0],1615426888.897,Wed Mar 10 2021 20:41:28 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,30,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,1941 4975 4417,98 98 99,0 1 2,11333,10,[1 0],1615426902.991,Wed Mar 10 2021 20:41:42 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,31,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,1574 7207 2382,98 98 99,0 1 2,11163,10,[1 0],1615426916.525,Wed Mar 10 2021 20:41:56 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,32,train,1,[1 0],[0 1],1 2 5 6,4,2 3 1,[2 0];[1 1];[2 4],0 1 4,1124 2642 3524,98 99 99,0 1 2,7290,5,[1 0],1615426926.197,Wed Mar 10 2021 20:42:06 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,33,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,1887 3119 2144,98 98 99,0 1 2,7150,10,[1 0],1615426936.092,Wed Mar 10 2021 20:42:16 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,34,train,1,[1 0],[0 1],1 2 5 6,4,1 3 3,[0 3];[1 1];[5 2],3 1 2,1543 3726 3227,97 99 97,0 1 2,8496,6,[1 0],1615426947.094,Wed Mar 10 2021 20:42:27 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,35,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],3 1 4,1832 3841 12086 3235,97 99 39 99,0 1 3,20994,8,[1 0],1615426970.714,Wed Mar 10 2021 20:42:50 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,36,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],3 1 5,2352 3804 3741,97 97 99,0 1 2,9897,9,[1 0],1615426983.291,Wed Mar 10 2021 20:43:03 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,37,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,2495 5369 5324,98 50 99,0 1 2,13188,10,[1 0],1615426998.622,Wed Mar 10 2021 20:43:18 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,38,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,2892 4346 4673,97 98 97,0 1 2,11911,10,[1 0],1615427014.297,Wed Mar 10 2021 20:43:34 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,39,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,1467 3050 2958,98 98 99,0 1 2,7475,10,[1 0],1615427023.959,Wed Mar 10 2021 20:43:43 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,40,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[1 1];[1 8],2 1 1,1672 2749 5514,98 97 97,0 1 2,9935,4,[1 0],1615427036.768,Wed Mar 10 2021 20:43:56 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,41,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,2316 1994 6388,97 98 97,0 1 2,10698,10,[1 0],1615427049.946,Wed Mar 10 2021 20:44:09 GMT-0500 (Eastern Standard Time),0
A,A1QGG767E07WBA,1600530650189,0,42,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,3408 2370 3785,98 98 99,0 1 2,9563,10,[1 0],1615427061.606,Wed Mar 10 2021 20:44:21 GMT-0500 (Eastern Standard Time),0
