group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2196WCNDZULFS,1346540453740,0,0,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,4168 11640 6409,97 97 97,0 1 2,22217,10,[1 0],1615411829.337,Wed Mar 10 2021 14:30:29 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,1,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,1175 5072 5593,97 97 97,0 1 2,11840,10,[1 0],1615411851.793,Wed Mar 10 2021 14:30:51 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,2,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[1 1];[6 5],0 1 5,2840 10712 5823,97 97 98,0 1 2,19375,6,[1 0],1615411887.72,Wed Mar 10 2021 14:31:27 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,3,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,1496 4600 5079,97 97 97,0 1 2,11175,10,[1 0],1615411910.705,Wed Mar 10 2021 14:31:50 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,4,train,1,[1 0],[0 1],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],0 1 6,6590 9409 4615,97 97 99,0 1 2,20614,7,[1 0],1615411942.752,Wed Mar 10 2021 14:32:22 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,5,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,2520 6552 4800,97 97 97,0 1 2,13872,10,[1 0],1615411963.015,Wed Mar 10 2021 14:32:43 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,6,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,2103 8137 8014,98 97 99,0 1 2,18254,10,[1 0],1615411991.36,Wed Mar 10 2021 14:33:11 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,7,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,897 6543 6105,97 97 97,0 1 2,13545,10,[1 0],1615412013.071,Wed Mar 10 2021 14:33:33 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,8,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,1087 3249 2647,97 97 97,0 1 2,6983,10,[1 0],1615412024.696,Wed Mar 10 2021 14:33:44 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,9,train,1,[0 1],[1 0],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],0 1 2,2926 3680 7585,98 98 97,0 1 2,14191,3,[1 0],1615412053.544,Wed Mar 10 2021 14:34:13 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,10,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 3];[1 1];[9 1],3 1 1,2839 7016 6271,98 98 99,0 1 2,16126,5,[1 0],1615412085.199,Wed Mar 10 2021 14:34:45 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,11,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],3 1 4,1496 5200 6144,98 98 97,0 1 2,12840,8,[1 0],1615412104.575,Wed Mar 10 2021 14:35:04 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,12,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 3];[1 1];[9 1],0 1 9,1511 5640 3201,98 98 99,0 1 2,10352,10,[1 0],1615412123.872,Wed Mar 10 2021 14:35:23 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,13,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,694 4440 4065,97 97 97,0 1 2,9199,10,[1 0],1615412138.776,Wed Mar 10 2021 14:35:38 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,14,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 3];[1 1];[1 8],3 1 8,1584 5575 4961,98 99 99,0 1 2,12120,12,[1 0],1615412162.609,Wed Mar 10 2021 14:36:02 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,15,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,791 2351 2417,97 97 97,0 1 2,5559,10,[1 0],1615412173.048,Wed Mar 10 2021 14:36:13 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,16,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 3];[1 1];[9 1],3 1 1,1070 2392 6504,98 98 99,0 1 2,9966,5,[1 0],1615412185.728,Wed Mar 10 2021 14:36:25 GMT-0700 (Mountain Standard Time),0
A,A2196WCNDZULFS,1346540453740,0,17,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,488 6816 2736,97 97 97,0 1 2,10040,10,[1 0],1615412200.471,Wed Mar 10 2021 14:36:40 GMT-0700 (Mountain Standard Time),0
