group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2615YW1YERQBO,1934955443455,0,0,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,4208 10610 6143,97 98 98,0 1 2,20961,3,[0 1],1613956969.772,Sun Feb 21 2021 17:22:49 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,1,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 1],2 1 1,1184 8976 6399,97 97 98,0 1 2,16559,4,[0 1],1613956993.116,Sun Feb 21 2021 17:23:13 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,2,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[3 0];[1 1];[3 4],3 1 3,911 8960 6656,98 97 99,0 1 2,16527,7,[0 1],1613957017.418,Sun Feb 21 2021 17:23:37 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,3,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[3 0];[1 1];[0 7],3 1 0,864 6401 4464,98 98 99,0 1 2,11729,4,[0 1],1613957034.634,Sun Feb 21 2021 17:23:54 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,4,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[3 0];[1 1];[8 1],0 1 1,944 4591 3841,98 97 98,0 1 2,9376,2,[0 1],1613957049.353,Sun Feb 21 2021 17:24:09 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,5,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,734 3328 3424,97 98 99,0 1 2,7486,10,[0 1],1613957065.866,Sun Feb 21 2021 17:24:25 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,6,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[3 0];[1 1];[8 1],3 1 8,3232 4591 2994,98 97 98,0 1 2,10817,12,[0 1],1613957081.947,Sun Feb 21 2021 17:24:41 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,7,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],2 1 6,4080 2928 3745,97 98 97,0 1 2,10753,9,[0 1],1613957098.459,Sun Feb 21 2021 17:24:58 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,8,train,1,[0 1],[0 1],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],0 1 5,2927 3728 2960,98 99 99,0 1 2,9615,6,[0 1],1613957111.932,Sun Feb 21 2021 17:25:11 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,9,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],3 1 2,42896 3168 3185,98 99 99,0 1 2,49249,6,[0 1],1613957164.65,Sun Feb 21 2021 17:26:04 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,10,train,1,[0 1],[0 1],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],0 1 5,2910 5569 2975,98 99 99,0 1 2,11454,6,[0 1],1613957179.418,Sun Feb 21 2021 17:26:19 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,11,train,1,[1 0],[1 0],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],0 1 2,2399 2911 2738,97 99 99,0 1 2,8048,3,[0 1],1613957190.618,Sun Feb 21 2021 17:26:30 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,12,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],3 1 2,2593 3216 3472,98 99 99,0 1 2,9281,6,[0 1],1613957203.067,Sun Feb 21 2021 17:26:43 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,13,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,2848 3151 2704,97 98 99,0 1 2,8703,10,[0 1],1613957233.452,Sun Feb 21 2021 17:27:13 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,14,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[3 0];[1 1];[3 4],3 1 3,2400 4549 4091,98 97 99,0 1 2,11040,7,[0 1],1613957250.508,Sun Feb 21 2021 17:27:30 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,15,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,1822 2640 2416,97 98 99,0 1 2,6878,10,[0 1],1613957275.307,Sun Feb 21 2021 17:27:55 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,16,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[3 0];[1 1];[0 7],3 1 0,10736 6063 2944,98 98 99,0 1 2,19743,4,[0 1],1613957300.026,Sun Feb 21 2021 17:28:20 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,17,train,1,[0 1],[0 1],1 2 4 6,4,1 2 3,[3 0];[1 1];[0 7],0 1 7,671 3088 2448,98 98 99,0 1 2,6207,8,[0 1],1613957314.336,Sun Feb 21 2021 17:28:34 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,18,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],0 1 5,1856 5760 3249,97 98 97,0 1 2,10865,6,[0 1],1613957330.799,Sun Feb 21 2021 17:28:50 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,19,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[3 0];[1 1];[6 0],3 1 6,960 4047 3520,98 98 98,0 1 2,8527,10,[0 1],1613957352.689,Sun Feb 21 2021 17:29:12 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,20,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,3825 3088 2543,97 98 99,0 1 2,9456,10,[0 1],1613957367.968,Sun Feb 21 2021 17:29:27 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,21,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,8210 2541 2497,97 98 99,0 1 2,13248,10,[0 1],1613957386.608,Sun Feb 21 2021 17:29:46 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,22,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,1042 2246 2079,97 98 99,0 1 2,5367,10,[0 1],1613957396.249,Sun Feb 21 2021 17:29:56 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,23,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,4433 2206 2321,97 98 99,0 1 2,8960,10,[0 1],1613957409.08,Sun Feb 21 2021 17:30:09 GMT-0800 (Pacific Standard Time),0
A,A2615YW1YERQBO,1934955443455,0,24,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[3 0];[1 1];[6 0],3 1 6,467 2700 2321,98 98 98,0 1 2,5488,10,[0 1],1613957419.207,Sun Feb 21 2021 17:30:19 GMT-0800 (Pacific Standard Time),0
