group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2IQ0QCTQ3KWLT,1341759933652,0,0,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,2235 11659 7638,50 50 49,0 1 2,21532,12,[0 1],1615387072.77,Wed Mar 10 2021 09:37:52 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,1,train,1,[0 1],[0 1],1 2 3 6,4,1 1 3,[3 0];[1 1];[3 4],0 1 4,2118 28852 41950,49 49 51,0 1 2,72920,5,[0 1],1615387163.78,Wed Mar 10 2021 09:39:23 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,2,train,1,[0 1],[0 1],1 2 4 6,4,1 2 1,[3 0];[1 1];[6 0],0 1 0,10912 4764 4154,49 51 50,0 1 2,19830,1,[0 1],1615387198.418,Wed Mar 10 2021 09:39:58 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,3,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,1153 627 17395 12982,51 50 49 51,1 2 3,32157,7,[0 1],1615387244.39,Wed Mar 10 2021 09:40:44 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,4,train,1,[0 1],[0 1],1 2 3 6,4,2 1 1,[0 2];[1 1];[5 3],2 1 3,4780 3952 4438,50 49 49,0 1 2,13170,6,[0 1],1615387269.695,Wed Mar 10 2021 09:41:09 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,5,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,2131 3622 2813,50 51 51,0 1 2,8566,10,[0 1],1615387282.552,Wed Mar 10 2021 09:41:22 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,6,train,1,[0 1],[0 1],1 2 4 6,4,1 2 3,[3 0];[1 1];[0 7],0 1 7,1763 3567 2505,49 51 51,0 1 2,7835,8,[0 1],1615387293.967,Wed Mar 10 2021 09:41:33 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,7,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 1],0 1 8,1036 3802 5830,50 49 50,0 1 2,10668,9,[0 1],1615387307.408,Wed Mar 10 2021 09:41:47 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,8,train,1,[1 0],[1 0],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],0 1 3,1052 3691 3253,50 49 51,0 1 2,7996,4,[0 1],1615387319.249,Wed Mar 10 2021 09:41:59 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,9,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,1986 4090 3478,50 50 49,0 1 2,9554,12,[0 1],1615387331.658,Wed Mar 10 2021 09:42:11 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,10,train,1,[1 0],[1 0],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],0 1 0,903 3322 2695,50 51 51,0 1 2,6920,1,[0 1],1615387341.264,Wed Mar 10 2021 09:42:21 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,11,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 1],0 1 8,1175 4054 5527,50 49 50,0 1 2,10756,9,[0 1],1615387356.481,Wed Mar 10 2021 09:42:36 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,12,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[3 0];[1 1];[6 0],3 1 6,2094 5236 4006,49 51 50,0 1 2,11336,10,[0 1],1615387370.711,Wed Mar 10 2021 09:42:50 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,13,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],3 1 2,3164 3421 4197,49 50 51,0 1 2,10782,6,[0 1],1615387385.231,Wed Mar 10 2021 09:43:05 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,14,train,1,[1 0],[1 0],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],0 1 6,1879 8122 3551,50 51 50,0 1 2,13552,7,[0 1],1615387401.52,Wed Mar 10 2021 09:43:21 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,15,train,1,[1 0],[1 0],1 2 5 6,4,2 3 1,[0 2];[1 1];[4 2],0 1 4,1857 3353 3759,50 50 50,0 1 2,8969,5,[0 1],1615387413.555,Wed Mar 10 2021 09:43:33 GMT-0500 (Eastern Standard Time),0
A,A2IQ0QCTQ3KWLT,1341759933652,0,16,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,1137 2430 562 521 4389 5368,51 32 51 50 49 51,3 4 5,14407,7,[0 1],1615387433.19,Wed Mar 10 2021 09:43:53 GMT-0500 (Eastern Standard Time),0
