group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2JDYN6QM8M5UN,1509938366025,0,0,train,1,[0 1],[0 1],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],2 1 5,1987 8518 6335,49 49 50,0 1 2,16840,8,[0 1],1615409771.446,Wed Mar 10 2021 15:56:11 GMT-0500 (Eastern Standard Time),0
A,A2JDYN6QM8M5UN,1509938366025,0,1,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[3 0];[1 1];[8 1],3 1 8,1199 3524 3634,50 51 50,0 1 2,8357,12,[0 1],1615409785.724,Wed Mar 10 2021 15:56:25 GMT-0500 (Eastern Standard Time),0
A,A2JDYN6QM8M5UN,1509938366025,0,2,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[3 0];[1 1];[8 1],3 1 8,849 3088 2447,50 51 50,0 1 2,6384,12,[0 1],1615409795.692,Wed Mar 10 2021 15:56:35 GMT-0500 (Eastern Standard Time),0
A,A2JDYN6QM8M5UN,1509938366025,0,3,train,1,[0 1],[0 1],1 2 4 6,4,1 2 3,[3 0];[1 1];[0 7],0 1 7,686 2397 3322,50 50 51,0 1 2,6405,8,[0 1],1615409805.496,Wed Mar 10 2021 15:56:45 GMT-0500 (Eastern Standard Time),0
A,A2JDYN6QM8M5UN,1509938366025,0,4,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[3 0];[1 1];[1 9],0 1 9,1007 2832 2794,50 49 49,0 1 2,6633,10,[0 1],1615409815.982,Wed Mar 10 2021 15:56:55 GMT-0500 (Eastern Standard Time),0
A,A2JDYN6QM8M5UN,1509938366025,0,5,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[3 0];[1 1];[5 3],3 1 5,548 2882 2261,50 51 49,0 1 2,5691,9,[0 1],1615409825.172,Wed Mar 10 2021 15:57:05 GMT-0500 (Eastern Standard Time),0
A,A2JDYN6QM8M5UN,1509938366025,0,6,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[3 0];[1 1];[5 3],3 1 5,749 2759 2566,50 51 49,0 1 2,6074,9,[0 1],1615409834.251,Wed Mar 10 2021 15:57:14 GMT-0500 (Eastern Standard Time),0
A,A2JDYN6QM8M5UN,1509938366025,0,7,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,1046 3418 3263,49 50 51,0 1 2,7727,10,[0 1],1615409844.881,Wed Mar 10 2021 15:57:24 GMT-0500 (Eastern Standard Time),0
A,A2JDYN6QM8M5UN,1509938366025,0,8,train,1,[1 0],[1 0],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],0 1 0,729 3218 2733,49 50 51,0 1 2,6680,1,[0 1],1615409856.685,Wed Mar 10 2021 15:57:36 GMT-0500 (Eastern Standard Time),0
A,A2JDYN6QM8M5UN,1509938366025,0,9,train,1,[1 0],[1 0],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],0 1 6,1119 2748 3344,49 50 49,0 1 2,7211,7,[0 1],1615409866.944,Wed Mar 10 2021 15:57:46 GMT-0500 (Eastern Standard Time),0
A,A2JDYN6QM8M5UN,1509938366025,0,10,train,1,[0 1],[0 1],1 2 3 6,4,1 1 3,[3 0];[1 1];[3 4],0 1 4,1482 2886 2087,50 51 51,0 1 2,6455,5,[0 1],1615409876.062,Wed Mar 10 2021 15:57:56 GMT-0500 (Eastern Standard Time),0
A,A2JDYN6QM8M5UN,1509938366025,0,11,train,1,[0 1],[0 1],1 2 4 6,4,1 2 1,[3 0];[1 1];[6 0],0 1 0,870 3148 2244,50 50 49,0 1 2,6262,1,[0 1],1615409885.13,Wed Mar 10 2021 15:58:05 GMT-0500 (Eastern Standard Time),0
A,A2JDYN6QM8M5UN,1509938366025,0,12,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,1166 2942 2883,49 51 51,0 1 2,6991,7,[0 1],1615409894.735,Wed Mar 10 2021 15:58:14 GMT-0500 (Eastern Standard Time),0
