group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A36GU3OHGLDS8R,1568852936935,0,0,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[3 0];[1 1];[5 6],0 1 6,3488 8256 5526,50 49 50,0 1 2,17270,7,[0 1],1615386432.984,Wed Mar 10 2021 09:27:12 GMT-0500 (Eastern Standard Time),0
A,A36GU3OHGLDS8R,1568852936935,0,1,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],2 1 6,1961 5951 3849,49 49 50,0 1 2,11761,9,[0 1],1615386452.888,Wed Mar 10 2021 09:27:32 GMT-0500 (Eastern Standard Time),0
A,A36GU3OHGLDS8R,1568852936935,0,2,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,1183 5553 4408,49 51 51,0 1 2,11144,12,[0 1],1615386470.127,Wed Mar 10 2021 09:27:50 GMT-0500 (Eastern Standard Time),0
A,A36GU3OHGLDS8R,1568852936935,0,3,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[3 0];[1 1];[8 1],3 1 8,992 4928 4079,50 50 50,0 1 2,9999,12,[0 1],1615386484.656,Wed Mar 10 2021 09:28:04 GMT-0500 (Eastern Standard Time),0
A,A36GU3OHGLDS8R,1568852936935,0,4,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[3 0];[1 1];[0 7],3 1 0,1039 3399 3257,50 49 51,0 1 2,7695,4,[0 1],1615386498.967,Wed Mar 10 2021 09:28:18 GMT-0500 (Eastern Standard Time),0
A,A36GU3OHGLDS8R,1568852936935,0,5,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],3 1 2,952 3464 3472,50 51 49,0 1 2,7888,6,[0 1],1615386511.991,Wed Mar 10 2021 09:28:31 GMT-0500 (Eastern Standard Time),0
A,A36GU3OHGLDS8R,1568852936935,0,6,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[3 0];[1 1];[4 2],3 1 4,976 3016 3952,50 51 50,0 1 2,7944,8,[0 1],1615386523.855,Wed Mar 10 2021 09:28:43 GMT-0500 (Eastern Standard Time),0
A,A36GU3OHGLDS8R,1568852936935,0,7,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,1008 3424 4112,49 49 49,0 1 2,8544,3,[0 1],1615386536.487,Wed Mar 10 2021 09:28:56 GMT-0500 (Eastern Standard Time),0
A,A36GU3OHGLDS8R,1568852936935,0,8,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,992 2424 3400,49 51 51,0 1 2,6816,12,[0 1],1615386546.655,Wed Mar 10 2021 09:29:06 GMT-0500 (Eastern Standard Time),0
A,A36GU3OHGLDS8R,1568852936935,0,9,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[3 0];[1 1];[6 0],3 1 6,920 2488 2752,50 49 49,0 1 2,6160,10,[0 1],1615386556.39,Wed Mar 10 2021 09:29:16 GMT-0500 (Eastern Standard Time),0
