group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3APKUC67F9IMW,1145406065170,0,0,train,1,[0 1],[0 1],1 2 3 6,4,1 1 3,[3 0];[1 1];[3 4],0 1 4,2310 8033 5158,49 49 51,0 1 2,15501,5,[0 1],1615397956.994,Wed Mar 10 2021 12:39:16 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,1,train,1,[1 0],[1 0],1 2 3 6,4,2 1 1,[0 2];[1 1];[5 3],0 1 5,1200 5306 8600,50 49 50,0 1 2,15106,6,[0 1],1615397977.291,Wed Mar 10 2021 12:39:37 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,2,train,1,[1 0],[1 0],1 2 5 6,4,2 3 1,[0 2];[1 1];[4 2],0 1 4,2472 6097 7863,50 51 49,0 1 2,16432,5,[0 1],1615397997.427,Wed Mar 10 2021 12:39:57 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,3,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,3079 5921 4591,50 50 50,0 1 2,13591,10,[0 1],1615398014.362,Wed Mar 10 2021 12:40:14 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,4,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],0 1 1,6185 4648 4864,50 51 51,0 1 2,15697,2,[0 1],1615398033.508,Wed Mar 10 2021 12:40:33 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,5,train,1,[1 0],[1 0],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],0 1 2,3728 5409 4999,50 51 50,0 1 2,14136,3,[0 1],1615398052.011,Wed Mar 10 2021 12:40:52 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,6,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[3 0];[1 1];[3 4],3 1 3,3592 4807 5192,49 49 51,0 1 2,13591,7,[0 1],1615398069.283,Wed Mar 10 2021 12:41:09 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,7,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[3 0];[1 1];[1 9],0 1 9,1040 5552 4480,49 51 51,0 1 2,11072,10,[0 1],1615398082.865,Wed Mar 10 2021 12:41:22 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,8,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],0 1 5,3801 5448 6191,50 50 51,0 1 2,15440,6,[0 1],1615398101.33,Wed Mar 10 2021 12:41:41 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,9,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[3 0];[1 1];[5 3],3 1 5,7640 7960 4881,49 49 50,0 1 2,20481,9,[0 1],1615398124.162,Wed Mar 10 2021 12:42:04 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,10,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,2345 6056 4591,50 51 51,0 1 2,12992,12,[0 1],1615398139.697,Wed Mar 10 2021 12:42:19 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,11,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,2472 6529 4584,50 50 50,0 1 2,13585,10,[0 1],1615398156.506,Wed Mar 10 2021 12:42:36 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,12,train,1,[0 1],[0 1],1 2 5 6,4,2 3 1,[0 2];[1 1];[4 2],2 1 2,2215 6633 5335,50 51 49,0 1 2,14183,5,[0 1],1615398172.738,Wed Mar 10 2021 12:42:52 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,13,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 1],2 1 1,4592 4040 4799,50 49 49,0 1 2,13431,4,[0 1],1615398188.465,Wed Mar 10 2021 12:43:08 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,14,train,1,[0 1],[0 1],1 2 5 6,4,2 3 1,[0 2];[1 1];[4 2],2 1 2,1536 4064 3161,50 51 49,0 1 2,8761,5,[0 1],1615398200.576,Wed Mar 10 2021 12:43:20 GMT-0500 (Eastern Standard Time),0
A,A3APKUC67F9IMW,1145406065170,0,15,train,1,[0 1],[0 1],1 2 5 6,4,2 3 1,[0 2];[1 1];[4 2],2 1 2,3088 5523 4814,50 51 49,0 1 2,13425,5,[0 1],1615398216.186,Wed Mar 10 2021 12:43:36 GMT-0500 (Eastern Standard Time),0
