group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3P4XZJM2DEATZ,1528209362397,0,0,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],3 1 4,7458 10102 6669,97 97 99,0 1 2,24229,8,[1 0],1613986385.497,Mon Feb 22 2021 04:33:05 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,1,train,1,[1 0],[0 1],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],0 1 0,2920 4746 2879,98 98 98,0 1 2,10545,1,[1 0],1613986402.046,Mon Feb 22 2021 04:33:22 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,2,train,1,[1 0],[0 1],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],0 1 2,3121 3431 6141,98 97 97,0 1 2,12693,3,[1 0],1613986417.733,Mon Feb 22 2021 04:33:37 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,3,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[1 1];[1 8],2 1 1,3929 3175 3723,98 99 99,0 1 2,10827,4,[1 0],1613986432.006,Mon Feb 22 2021 04:33:52 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,4,train,1,[0 1],[1 0],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],0 1 0,1041 3440 2969,97 98 97,0 1 2,7450,1,[1 0],1613986442.331,Mon Feb 22 2021 04:34:02 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,5,train,1,[1 0],[0 1],1 2 3 6,4,2 1 3,[2 0];[1 1];[4 3],0 1 3,909 437 2617 3209,99 98 99 97,1 2 3,7172,4,[1 0],1613986451.931,Mon Feb 22 2021 04:34:11 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,6,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[1 1];[1 8],0 1 8,1259 3752 3904,98 99 99,0 1 2,8915,9,[1 0],1613986463.562,Mon Feb 22 2021 04:34:23 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,7,train,1,[1 0],[0 1],1 2 4 6,4,1 2 3,[0 3];[1 1];[7 0],3 1 0,2582 3251 5611,97 98 98,0 1 2,11444,4,[1 0],1613986477.736,Mon Feb 22 2021 04:34:37 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,8,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[1 1];[1 8],0 1 8,1077 2627 3018,98 99 99,0 1 2,6722,9,[1 0],1613986487.017,Mon Feb 22 2021 04:34:47 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,9,train,1,[0 1],[1 0],1 2 5 6,4,2 3 1,[2 0];[1 1];[2 4],2 1 2,1003 2803 3193,98 97 99,0 1 2,6999,5,[1 0],1613986496.584,Mon Feb 22 2021 04:34:56 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,10,train,1,[1 0],[0 1],1 2 4 6,4,1 2 3,[0 3];[1 1];[7 0],3 1 0,1280 4495 2731,97 98 98,0 1 2,8506,4,[1 0],1613986507.422,Mon Feb 22 2021 04:35:07 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,11,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,706 10605 7891,97 98 97,0 1 2,19202,10,[1 0],1613986529.191,Mon Feb 22 2021 04:35:29 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,12,train,1,[0 1],[1 0],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],2 1 0,5040 5568 4532,98 98 97,0 1 2,15140,3,[1 0],1613986547.135,Mon Feb 22 2021 04:35:47 GMT-0500 (Eastern Standard Time),1
A,A3P4XZJM2DEATZ,1528209362397,0,13,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 3];[1 1];[1 8],0 1 1,1037 2478 5729,97 99 99,0 1 2,9244,2,[1 0],1613986558.976,Mon Feb 22 2021 04:35:58 GMT-0500 (Eastern Standard Time),1
