group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AEQ95NMC3VXQ5,1857995081031,0,0,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],3 1 5,4312 14000 16719,49 51 49,0 1 2,35031,9,[1 0],1615392035.194,Wed Mar 10 2021 11:00:35 GMT-0500 (Eastern Standard Time),0
A,AEQ95NMC3VXQ5,1857995081031,0,1,train,1,[0 1],[1 0],1 2 3 6,4,2 1 3,[2 0];[1 1];[4 3],2 1 4,2137 10056 12527,50 51 51,0 1 2,24720,7,[1 0],1615392081.914,Wed Mar 10 2021 11:01:21 GMT-0500 (Eastern Standard Time),0
A,AEQ95NMC3VXQ5,1857995081031,0,2,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,2295 9081 7679,50 50 51,0 1 2,19055,10,[1 0],1615392114.792,Wed Mar 10 2021 11:01:54 GMT-0500 (Eastern Standard Time),0
A,AEQ95NMC3VXQ5,1857995081031,0,3,train,1,[0 1],[1 0],1 2 5 6,4,2 3 1,[2 0];[1 1];[2 4],2 1 2,1784 9071 6857,50 49 50,0 1 2,17712,5,[1 0],1615392141.017,Wed Mar 10 2021 11:02:21 GMT-0500 (Eastern Standard Time),0
A,AEQ95NMC3VXQ5,1857995081031,0,4,train,1,[1 0],[0 1],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],0 1 2,1944 5000 5344,50 49 49,0 1 2,12288,3,[1 0],1615392158.353,Wed Mar 10 2021 11:02:38 GMT-0500 (Eastern Standard Time),0
A,AEQ95NMC3VXQ5,1857995081031,0,5,train,1,[0 1],[1 0],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],0 1 3,2209 4392 5032,49 51 49,0 1 2,11633,4,[1 0],1615392174.849,Wed Mar 10 2021 11:02:54 GMT-0500 (Eastern Standard Time),0
A,AEQ95NMC3VXQ5,1857995081031,0,6,train,1,[0 1],[1 0],1 2 3 6,4,2 1 3,[2 0];[1 1];[4 3],2 1 4,1599 5289 6160,50 51 51,0 1 2,13048,7,[1 0],1615392193.817,Wed Mar 10 2021 11:03:13 GMT-0500 (Eastern Standard Time),0
A,AEQ95NMC3VXQ5,1857995081031,0,7,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 3];[1 1];[1 8],0 1 1,1873 7560 4327,49 51 50,0 1 2,13760,2,[1 0],1615392214.088,Wed Mar 10 2021 11:03:34 GMT-0500 (Eastern Standard Time),0
A,AEQ95NMC3VXQ5,1857995081031,0,8,train,1,[1 0],[0 1],1 2 5 6,4,2 3 1,[2 0];[1 1];[2 4],0 1 4,1632 7656 5736,50 49 50,0 1 2,15024,5,[1 0],1615392233.08,Wed Mar 10 2021 11:03:53 GMT-0500 (Eastern Standard Time),0
A,AEQ95NMC3VXQ5,1857995081031,0,9,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 3];[1 1];[9 1],3 1 1,1208 4160 5239,49 49 51,0 1 2,10607,5,[1 0],1615392248.408,Wed Mar 10 2021 11:04:08 GMT-0500 (Eastern Standard Time),0
