group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AETIZKQNUSBLB,1289184891962,0,0,train,1,[0 1],[0 1],1 2 5 6,4,1 3 1,[3 0];[1 1];[4 2],0 1 2,9896 14265 11832,49 50 49,0 1 2,35993,3,[0 1],1613938577.814,Sun Feb 21 2021 13:16:17 GMT-0700 (Mountain Standard Time),0
A,AETIZKQNUSBLB,1289184891962,0,1,train,1,[1 0],[1 0],1 2 3 6,4,2 1 1,[0 2];[1 1];[5 3],0 1 5,1808 6720 7832,50 51 50,0 1 2,16360,6,[0 1],1613938600.054,Sun Feb 21 2021 13:16:40 GMT-0700 (Mountain Standard Time),0
A,AETIZKQNUSBLB,1289184891962,0,2,train,1,[0 1],[0 1],1 2 3 6,4,2 1 1,[0 2];[1 1];[5 3],2 1 3,1953 12184 5439,50 51 50,0 1 2,19576,6,[0 1],1613938624.941,Sun Feb 21 2021 13:17:04 GMT-0700 (Mountain Standard Time),0
A,AETIZKQNUSBLB,1289184891962,0,3,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[3 0];[1 1];[1 9],3 1 1,1928 5056 7544,49 50 51,0 1 2,14528,5,[0 1],1613938643.773,Sun Feb 21 2021 13:17:23 GMT-0700 (Mountain Standard Time),0
A,AETIZKQNUSBLB,1289184891962,0,4,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,1912 7224 10937,50 49 50,0 1 2,20073,10,[0 1],1613938668.917,Sun Feb 21 2021 13:17:48 GMT-0700 (Mountain Standard Time),0
A,AETIZKQNUSBLB,1289184891962,0,5,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[1 9],2 1 9,2520 9633 10359,50 50 51,0 1 2,22512,12,[0 1],1613938696.468,Sun Feb 21 2021 13:18:16 GMT-0700 (Mountain Standard Time),0
A,AETIZKQNUSBLB,1289184891962,0,6,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[3 0];[1 1];[6 0],3 1 6,1752 11288 12144,49 49 49,0 1 2,25184,10,[0 1],1613938727.036,Sun Feb 21 2021 13:18:47 GMT-0700 (Mountain Standard Time),0
A,AETIZKQNUSBLB,1289184891962,0,7,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,1575 12000 11032,50 51 49,0 1 2,24607,7,[0 1],1613938758.532,Sun Feb 21 2021 13:19:18 GMT-0700 (Mountain Standard Time),0
A,AETIZKQNUSBLB,1289184891962,0,8,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[3 0];[1 1];[0 7],3 1 0,1552 7225 10071,49 49 50,0 1 2,18848,4,[0 1],1613938782.395,Sun Feb 21 2021 13:19:42 GMT-0700 (Mountain Standard Time),0
A,AETIZKQNUSBLB,1289184891962,0,9,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[3 0];[1 1];[5 6],3 1 5,1792 3168 3664,49 49 51,0 1 2,8624,9,[0 1],1613938795.227,Sun Feb 21 2021 13:19:55 GMT-0700 (Mountain Standard Time),0
