group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AKVDY8OXNMQED,1531607795525,0,0,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 3];[1 1];[6 5],3 1 5,3709 6290 6485 1023 7860,32 49 32 49 50,1 3 4,25367,9,[1 0],1613953475.82,Sun Feb 21 2021 16:24:35 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,1,train,1,[1 0],[0 1],1 2 5 6,4,1 3 3,[0 3];[1 1];[5 2],3 1 2,3821 7905 5257,49 50 51,0 1 2,16983,6,[1 0],1613953504.899,Sun Feb 21 2021 16:25:04 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,2,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 3];[1 1];[6 5],0 1 6,5071 8808 4902,49 49 50,0 1 2,18781,7,[1 0],1613953527.988,Sun Feb 21 2021 16:25:27 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,3,train,1,[1 0],[0 1],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],0 1 6,1839 6124 736 10155,50 32 49 49,0 2 3,18854,7,[1 0],1613953555.13,Sun Feb 21 2021 16:25:55 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,4,train,1,[0 1],[1 0],1 2 5 6,4,1 3 3,[0 3];[1 1];[5 2],0 1 5,2773 5847 7099,49 50 51,0 1 2,15719,6,[1 0],1613953576.255,Sun Feb 21 2021 16:26:16 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,5,train,1,[0 1],[1 0],1 2 5 6,4,1 3 3,[0 3];[1 1];[5 2],0 1 5,840 3949 4062,49 50 51,0 1 2,8851,6,[1 0],1613953590.713,Sun Feb 21 2021 16:26:30 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,6,train,1,[1 0],[0 1],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],0 1 2,1645 5852 3726,50 50 51,0 1 2,11223,3,[1 0],1613953608.898,Sun Feb 21 2021 16:26:48 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,7,train,1,[0 1],[1 0],1 2 5 6,4,1 3 3,[0 3];[1 1];[5 2],0 1 5,2104 6526 6473,49 50 51,0 1 2,15103,6,[1 0],1613953630.709,Sun Feb 21 2021 16:27:10 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,8,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[1 1];[1 8],0 1 8,1663 4523 6607,50 51 49,0 1 2,12793,9,[1 0],1613953650.033,Sun Feb 21 2021 16:27:30 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,9,train,1,[0 1],[1 0],1 2 3 6,4,1 1 3,[0 3];[1 1];[4 3],0 1 4,1104 6590 3651,49 51 50,0 1 2,11345,5,[1 0],1613953666.94,Sun Feb 21 2021 16:27:46 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,10,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[9 1],2 1 9,1408 5980 5760,50 50 49,0 1 2,13148,12,[1 0],1613953684.99,Sun Feb 21 2021 16:28:04 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,11,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 3];[1 1];[9 1],3 1 1,1923 5458 5533,49 50 49,0 1 2,12914,5,[1 0],1613953705.042,Sun Feb 21 2021 16:28:25 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,12,train,1,[0 1],[1 0],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],2 1 0,1367 4132 6384,50 49 49,0 1 2,11883,3,[1 0],1613953724.339,Sun Feb 21 2021 16:28:44 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,13,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[9 1],2 1 9,1281 5303 4644,50 50 49,0 1 2,11228,12,[1 0],1613953743.17,Sun Feb 21 2021 16:29:03 GMT-0800 (Pacific Standard Time),0
A,AKVDY8OXNMQED,1531607795525,0,14,train,1,[1 0],[0 1],1 2 5 6,4,1 3 3,[0 3];[1 1];[5 2],3 1 2,1335 4627 6078,49 50 51,0 1 2,12040,6,[1 0],1613953758.837,Sun Feb 21 2021 16:29:18 GMT-0800 (Pacific Standard Time),0
