group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,,1921727826485,0,0,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,1175 1019 940 3546 3737,51 51 50 49 50,2 3 4,10417,10,[1 0],1613936571.191,Sun Feb 21 2021 14:42:51 GMT-0500 (Eastern Standard Time),0
A,,1921727826485,0,69,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 3];[1 1];[1 8],3 1 8,947 961 13150 3931,51 50 51 50,1 2 3,18989,12,[1 0],1613936594.26,Sun Feb 21 2021 14:43:14 GMT-0500 (Eastern Standard Time),0
A,,1921727826485,0,0,test,1,[1 1],[1 1],1 2 3 6,4,1 1 2,[0 3];[1 1];[1 8],3 2 9,1208 3229 3243,50 51 50,0 1 2,7680,14,[1 0],1613936607.762,Sun Feb 21 2021 14:43:27 GMT-0500 (Eastern Standard Time),0
A,,1921727826485,1,0,train,1,[1 0],[1 0],1 2 5 6,4,2 3 1,[0 2];[1 1];[4 2],0 1 4,1163 3559 4321,50 49 50,0 1 2,9043,5,[0 1],1613936623.453,Sun Feb 21 2021 14:43:43 GMT-0500 (Eastern Standard Time),0
A,,1921727826485,1,69,train,1,[1 0],[1 0],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],0 1 6,1129 3130 5228,50 51 51,0 1 2,9487,7,[0 1],1613936648.743,Sun Feb 21 2021 14:44:08 GMT-0500 (Eastern Standard Time),0
A,,1921727826485,1,0,test,1,[1 1],[1 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 2 7,1077 6534 4683,50 51 50,0 1 2,12294,11,[0 1],1613936665.786,Sun Feb 21 2021 14:44:25 GMT-0500 (Eastern Standard Time),0
A,,1921727826485,2,0,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[1 1];[1 8],0 1 8,2702 9852 4135,49 49 49,0 1 2,16689,9,[1 0],1613936698.698,Sun Feb 21 2021 14:44:58 GMT-0500 (Eastern Standard Time),0
A,,1921727826485,2,1,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 3];[1 1];[6 5],3 1 5,2273 7748 3894,50 50 49,0 1 2,13915,9,[1 0],1613936723.303,Sun Feb 21 2021 14:45:23 GMT-0500 (Eastern Standard Time),0
A,,1921727826485,2,2,train,1,[0 1],[1 0],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],0 1 2,1541 3181 3528,50 51 49,0 1 2,8250,3,[1 0],1613936735.451,Sun Feb 21 2021 14:45:35 GMT-0500 (Eastern Standard Time),0
A,,1921727826485,2,3,train,1,[1 0],[0 1],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],0 1 2,1394 3159 3287,49 51 50,0 1 2,7840,3,[1 0],1613936749.305,Sun Feb 21 2021 14:45:49 GMT-0500 (Eastern Standard Time),0
A,,1921727826485,2,4,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 3];[1 1];[9 1],0 1 9,943 3153 3128,50 51 51,0 1 2,7224,10,[1 0],1613936763.26,Sun Feb 21 2021 14:46:03 GMT-0500 (Eastern Standard Time),0
A,,1921727826485,2,5,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,2326 3284 4009,50 50 50,0 1 2,9619,10,[1 0],1613936776.977,Sun Feb 21 2021 14:46:16 GMT-0500 (Eastern Standard Time),0
A,,1921727826485,2,6,train,1,[1 0],[0 1],1 2 5 6,4,1 3 3,[0 3];[1 1];[5 2],3 1 2,1309 3051 5030,50 51 50,0 1 2,9390,6,[1 0],1613936790.023,Sun Feb 21 2021 14:46:30 GMT-0500 (Eastern Standard Time),0
