group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1BM57TUNAQIXM,1761293179145,0,0,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,1626 7484 4462,49 51 49,0 1 2,13572,11,[1 0],1614571032.178,Sun Feb 28 2021 19:57:12 GMT-0800 (Pacific Standard Time),0
A,A1BM57TUNAQIXM,1761293179145,0,1,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[1 0];[1 1];[1 7],1 1 1,647 3858 2770,50 50 49,0 1 2,7275,3,[1 0],1614571047.646,Sun Feb 28 2021 19:57:27 GMT-0800 (Pacific Standard Time),0
A,A1BM57TUNAQIXM,1761293179145,0,2,train,1,[1 0],[0 1],1 2 5 6,4,2 3 2,[1 0];[1 1];[9 1],0 1 1,657 2404 2807,50 49 49,0 1 2,5868,2,[1 0],1614571059.529,Sun Feb 28 2021 19:57:39 GMT-0800 (Pacific Standard Time),0
A,A1BM57TUNAQIXM,1761293179145,0,3,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[1 0];[1 1];[9 1],1 1 9,1423 2101 1997,50 49 49,0 1 2,5521,11,[1 0],1614571068.802,Sun Feb 28 2021 19:57:48 GMT-0800 (Pacific Standard Time),0
A,A1BM57TUNAQIXM,1761293179145,0,4,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 4];[1 1];[3 5],4 1 5,555 3612 2977,49 50 50,0 1 2,7144,10,[1 0],1614571082.09,Sun Feb 28 2021 19:58:02 GMT-0800 (Pacific Standard Time),0
A,A1BM57TUNAQIXM,1761293179145,0,5,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[1 1];[1 7],4 1 7,781 1873 1896,49 50 49,0 1 2,4550,12,[1 0],1614571090.699,Sun Feb 28 2021 19:58:10 GMT-0800 (Pacific Standard Time),0
A,A1BM57TUNAQIXM,1761293179145,0,6,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[1 0];[1 1];[9 1],1 1 9,471 1781 1787,50 49 49,0 1 2,4039,11,[1 0],1614571098.49,Sun Feb 28 2021 19:58:18 GMT-0800 (Pacific Standard Time),0
A,A1BM57TUNAQIXM,1761293179145,0,7,train,1,[1 0],[0 1],1 2 4 6,4,2 2 3,[1 0];[1 1];[7 0],0 1 0,375 2494 2010,50 51 51,0 1 2,4879,1,[1 0],1614571109.164,Sun Feb 28 2021 19:58:29 GMT-0800 (Pacific Standard Time),0
A,A1BM57TUNAQIXM,1761293179145,0,8,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[1 0];[1 1];[7 0],1 1 7,601 2170 2024,50 51 51,0 1 2,4795,9,[1 0],1614571117.034,Sun Feb 28 2021 19:58:37 GMT-0800 (Pacific Standard Time),0
A,A1BM57TUNAQIXM,1761293179145,0,9,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[1 1];[9 1],4 1 1,990 1827 1778,49 49 49,0 1 2,4595,6,[1 0],1614571125.185,Sun Feb 28 2021 19:58:45 GMT-0800 (Pacific Standard Time),0
