group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1NFBKUYYVUYWF,1570956943190,0,0,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[7 1],4 1 7,2486 2255 41568 28619 11088,37 97 97 39 98,1 2 4,86016,12,[0 1],1614584545.476,Mon Mar 01 2021 01:42:25 GMT-0600 (Central Standard Time),0
A,A1NFBKUYYVUYWF,1570956943190,0,1,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,7040 15038 14640 27632,97 39 98 98,0 2 3,64350,9,[0 1],1614584626.032,Mon Mar 01 2021 01:43:46 GMT-0600 (Central Standard Time),0
A,A1NFBKUYYVUYWF,1570956943190,0,2,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],4 1 0,5769 22096 18288,97 99 98,0 1 2,46153,5,[0 1],1614584693.129,Mon Mar 01 2021 01:44:53 GMT-0600 (Central Standard Time),0
A,A1NFBKUYYVUYWF,1570956943190,0,3,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 1];[1 1];[3 4],1 1 4,4432 7984 16240,98 97 97,0 1 2,28656,6,[0 1],1614584740.336,Mon Mar 01 2021 01:45:40 GMT-0600 (Central Standard Time),0
A,A1NFBKUYYVUYWF,1570956943190,0,4,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,3408 11591 9904,97 98 98,0 1 2,24903,9,[0 1],1614584774.535,Mon Mar 01 2021 01:46:14 GMT-0600 (Central Standard Time),0
A,A1NFBKUYYVUYWF,1570956943190,0,5,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,4655 4337 21696,97 99 97,0 1 2,30688,11,[0 1],1614584816.15,Mon Mar 01 2021 01:46:56 GMT-0600 (Central Standard Time),0
A,A1NFBKUYYVUYWF,1570956943190,0,6,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],1 1 7,13328 16560 5183,98 99 98,0 1 2,35071,9,[0 1],1614584858.212,Mon Mar 01 2021 01:47:38 GMT-0600 (Central Standard Time),0
A,A1NFBKUYYVUYWF,1570956943190,0,7,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[7 1],4 1 7,1487 4288 8048,97 97 98,0 1 2,13823,12,[0 1],1614584880.227,Mon Mar 01 2021 01:48:00 GMT-0600 (Central Standard Time),0
A,A1NFBKUYYVUYWF,1570956943190,0,8,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[7 1],4 1 7,1824 3520 4832,97 97 98,0 1 2,10176,12,[0 1],1614584896.434,Mon Mar 01 2021 01:48:16 GMT-0600 (Central Standard Time),0
A,A1NFBKUYYVUYWF,1570956943190,0,9,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,1840 4272 17041,97 98 98,0 1 2,23153,9,[0 1],1614584927.73,Mon Mar 01 2021 01:48:47 GMT-0600 (Central Standard Time),0
