group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1PMZUBGXFANCI,1226259432265,0,0,train,1,[1 0],[0 1],1 2 4 6,4,2 2 1,[1 0];[1 1];[0 6],0 1 6,1193 3486 1741,49 50 50,0 1 2,6420,7,[1 0],1614559320.964,Sun Feb 28 2021 19:42:00 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,1,train,1,[0 1],[1 0],1 2 5 6,4,2 3 1,[1 0];[1 1];[2 4],1 1 2,237 384 1555 61 1909 348,13 49 32 49 13 51,1 3 5,4494,4,[1 0],1614559329.208,Sun Feb 28 2021 19:42:09 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,2,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 4];[1 1];[2 4],4 1 4,269 271 1385 1535,13 50 49 51,1 2 3,3460,9,[1 0],1614559335.521,Sun Feb 28 2021 19:42:15 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,3,train,1,[0 1],[1 0],1 2 5 6,4,2 3 1,[1 0];[1 1];[2 4],1 1 2,66 346 1553 109 2694 39,13 49 13 49 32 51,1 3 5,4807,4,[1 0],1614559342.306,Sun Feb 28 2021 19:42:22 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,4,train,1,[0 1],[1 0],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],0 1 0,95 314 1789 1679 457,13 50 50 13 50,1 2 4,4334,1,[1 0],1614559349.067,Sun Feb 28 2021 19:42:29 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,5,train,1,[0 1],[1 0],1 2 5 6,4,2 3 1,[1 0];[1 1];[2 4],1 1 2,4 158 1585 156 1635,13 49 13 49 51,1 3 4,3538,4,[1 0],1614559354.836,Sun Feb 28 2021 19:42:34 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,6,train,1,[1 0],[0 1],1 2 5 6,4,2 3 3,[1 0];[1 1];[5 2],0 1 2,150 45 2831 112 1554,13 49 13 49 49,1 3 4,4692,3,[1 0],1614559363.647,Sun Feb 28 2021 19:42:43 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,7,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],4 1 3,1 289 1645 1302,51 50 51 51,1 2 3,3237,8,[1 0],1614559368.821,Sun Feb 28 2021 19:42:48 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,8,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[1 0];[1 1];[7 0],1 1 7,162 2581 1760,49 50 51,0 1 2,4503,9,[1 0],1614559378.601,Sun Feb 28 2021 19:42:58 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,9,train,1,[0 1],[1 0],1 2 4 6,4,2 2 1,[1 0];[1 1];[0 6],1 1 0,485 3282 1491,49 50 50,0 1 2,5258,2,[1 0],1614559386.448,Sun Feb 28 2021 19:43:06 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,10,train,1,[0 1],[1 0],1 2 5 6,4,1 3 3,[0 4];[1 1];[5 2],0 1 5,123 3171 1716,50 49 49,0 1 2,5010,6,[1 0],1614559395.549,Sun Feb 28 2021 19:43:15 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,11,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[1 1];[9 1],4 1 1,231 1821 2895,50 49 50,0 1 2,4947,6,[1 0],1614559404.783,Sun Feb 28 2021 19:43:24 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,12,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,177 1307 4200,50 50 49,0 1 2,5684,10,[1 0],1614559415.277,Sun Feb 28 2021 19:43:35 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,13,train,1,[1 0],[0 1],1 2 5 6,4,2 3 2,[1 0];[1 1];[9 1],0 1 1,433 1331 2428,49 49 50,0 1 2,4192,2,[1 0],1614559421.836,Sun Feb 28 2021 19:43:41 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,14,train,1,[0 1],[1 0],1 2 3 6,4,1 1 1,[0 4];[1 1];[3 5],0 1 3,76 345 1360 1942,51 50 51 49,1 2 3,3723,4,[1 0],1614559431.293,Sun Feb 28 2021 19:43:51 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,15,train,1,[0 1],[1 0],1 2 5 6,4,1 3 1,[0 4];[1 1];[2 4],0 1 2,49 2049 31 31 32 32 46 32 30 32 32 32 31 30 35 1424,50 32 32 32 32 32 32 32 32 32 32 32 32 32 49 51,0 14 15,3948,3,[1 0],1614559437.307,Sun Feb 28 2021 19:43:57 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,16,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[1 0];[1 1];[6 5],0 1 5,4 1742 1918,49 50 49,0 1 2,3664,6,[1 0],1614559444.64,Sun Feb 28 2021 19:44:04 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,17,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[1 1];[9 1],4 1 1,127 704 2048 4020,51 50 49 50,1 2 3,6899,6,[1 0],1614559457.339,Sun Feb 28 2021 19:44:17 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,18,train,1,[1 0],[0 1],1 2 5 6,4,2 3 2,[1 0];[1 1];[9 1],0 1 1,50 410 2017 2247,51 49 49 50,1 2 3,4724,2,[1 0],1614559464.828,Sun Feb 28 2021 19:44:24 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,19,train,1,[1 0],[0 1],1 2 5 6,4,2 3 3,[1 0];[1 1];[5 2],0 1 2,455 5 3212 2414,51 49 49 49,1 2 3,6086,3,[1 0],1614559473.129,Sun Feb 28 2021 19:44:33 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,20,train,1,[0 1],[1 0],1 2 5 6,4,2 3 3,[1 0];[1 1];[5 2],1 1 5,1 257 1620 1326,51 49 49 49,1 2 3,3204,7,[1 0],1614559479.126,Sun Feb 28 2021 19:44:39 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,21,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[1 0];[1 1];[7 0],1 1 7,369 231 1569 1992,32 49 50 51,1 2 3,4161,9,[1 0],1614559487.246,Sun Feb 28 2021 19:44:47 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,22,train,1,[0 1],[1 0],1 2 5 6,4,2 3 1,[1 0];[1 1];[2 4],1 1 2,1 1649 1542,49 49 51,0 1 2,3192,4,[1 0],1614559494.542,Sun Feb 28 2021 19:44:54 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,23,train,1,[0 1],[1 0],1 2 3 6,4,2 1 3,[1 0];[1 1];[4 3],1 1 4,266 1298 4447,49 51 51,0 1 2,6011,6,[1 0],1614559502.696,Sun Feb 28 2021 19:45:02 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,24,train,1,[1 0],[0 1],1 2 5 6,4,2 3 3,[1 0];[1 1];[5 2],0 1 2,61 436 2113 1207,51 49 49 49,1 2 3,3817,3,[1 0],1614559512.988,Sun Feb 28 2021 19:45:12 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,25,train,1,[1 0],[0 1],1 2 5 6,4,2 3 3,[1 0];[1 1];[5 2],0 1 2,245 1777 1781,49 49 49,0 1 2,3803,3,[1 0],1614559521.353,Sun Feb 28 2021 19:45:21 GMT-0500 (Eastern Standard Time),4
A,A1PMZUBGXFANCI,1226259432265,0,26,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,32 1758 4471,50 50 50,0 1 2,6261,11,[1 0],1614559533.728,Sun Feb 28 2021 19:45:33 GMT-0500 (Eastern Standard Time),4
