group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A28AXX4NCWPH1F,1628820505198,0,0,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,2536 9257 7385,49 49 51,0 1 2,19178,11,[0 1],1614561822.593,Sun Feb 28 2021 20:23:42 GMT-0500 (Eastern Standard Time),0
A,A28AXX4NCWPH1F,1628820505198,0,1,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,1179 6059 3346,49 49 51,0 1 2,10584,11,[0 1],1614561839.06,Sun Feb 28 2021 20:23:59 GMT-0500 (Eastern Standard Time),0
A,A28AXX4NCWPH1F,1628820505198,0,2,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[1 1];[5 6],4 1 5,811 5455 4525,50 50 51,0 1 2,10791,10,[0 1],1614561856.575,Sun Feb 28 2021 20:24:16 GMT-0500 (Eastern Standard Time),0
A,A28AXX4NCWPH1F,1628820505198,0,3,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[4 0];[1 1];[3 4],4 1 3,1616 2988 2894,50 51 51,0 1 2,7498,8,[0 1],1614561869.409,Sun Feb 28 2021 20:24:29 GMT-0500 (Eastern Standard Time),0
A,A28AXX4NCWPH1F,1628820505198,0,4,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,2187 2506 2889,50 49 49,0 1 2,7582,9,[0 1],1614561879.888,Sun Feb 28 2021 20:24:39 GMT-0500 (Eastern Standard Time),0
A,A28AXX4NCWPH1F,1628820505198,0,5,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[1 9],0 1 9,802 3973 2821,50 49 51,0 1 2,7596,10,[0 1],1614561889.541,Sun Feb 28 2021 20:24:49 GMT-0500 (Eastern Standard Time),0
A,A28AXX4NCWPH1F,1628820505198,0,6,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 1];[1 1];[6 0],1 1 0,1654 2491 3720,49 50 50,0 1 2,7865,2,[0 1],1614561899.447,Sun Feb 28 2021 20:24:59 GMT-0500 (Eastern Standard Time),0
A,A28AXX4NCWPH1F,1628820505198,0,7,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,585 2315 2129,49 49 51,0 1 2,5029,11,[0 1],1614561906.694,Sun Feb 28 2021 20:25:06 GMT-0500 (Eastern Standard Time),0
A,A28AXX4NCWPH1F,1628820505198,0,8,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 1];[1 1];[5 6],1 1 6,1060 2279 2322,49 50 51,0 1 2,5661,8,[0 1],1614561914.415,Sun Feb 28 2021 20:25:14 GMT-0500 (Eastern Standard Time),0
A,A28AXX4NCWPH1F,1628820505198,0,9,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,870 2426 1986,49 49 51,0 1 2,5282,11,[0 1],1614561921.681,Sun Feb 28 2021 20:25:21 GMT-0500 (Eastern Standard Time),0
