group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2RCYLKY072XXO,1521536354042,0,0,train,1,[0 1],[0 1],1 2 3 6,4,2 1 1,[0 1];[1 1];[5 3],1 1 3,2470 11723 7334,50 50 49,0 1 2,21527,5,[0 1],1614553781.349,Sun Feb 28 2021 18:09:41 GMT-0500 (Eastern Standard Time),0
A,A2RCYLKY072XXO,1521536354042,0,1,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,787 3735 3690,50 49 51,0 1 2,8212,11,[0 1],1614553793.992,Sun Feb 28 2021 18:09:53 GMT-0500 (Eastern Standard Time),0
A,A2RCYLKY072XXO,1521536354042,0,2,train,1,[1 0],[1 0],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],0 1 0,2267 4731 3014,50 51 49,0 1 2,10012,1,[0 1],1614553807.272,Sun Feb 28 2021 18:10:07 GMT-0500 (Eastern Standard Time),0
A,A2RCYLKY072XXO,1521536354042,0,3,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[4 0];[1 1];[3 4],4 1 3,1012 3308 3600,49 50 51,0 1 2,7920,8,[0 1],1614553818.651,Sun Feb 28 2021 18:10:18 GMT-0500 (Eastern Standard Time),0
A,A2RCYLKY072XXO,1521536354042,0,4,train,1,[0 1],[0 1],1 2 5 6,4,2 3 1,[0 1];[1 1];[4 2],1 1 2,1282 5490 2835,50 49 49,0 1 2,9607,4,[0 1],1614553831.724,Sun Feb 28 2021 18:10:31 GMT-0500 (Eastern Standard Time),0
A,A2RCYLKY072XXO,1521536354042,0,5,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,2942 4208 2589,49 49 49,0 1 2,9739,9,[0 1],1614553844.28,Sun Feb 28 2021 18:10:44 GMT-0500 (Eastern Standard Time),0
A,A2RCYLKY072XXO,1521536354042,0,6,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[7 1],4 1 7,1192 3353 3825,49 50 50,0 1 2,8370,12,[0 1],1614553856.673,Sun Feb 28 2021 18:10:56 GMT-0500 (Eastern Standard Time),0
A,A2RCYLKY072XXO,1521536354042,0,7,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,2516 4094 3177,49 49 49,0 1 2,9787,9,[0 1],1614553868.873,Sun Feb 28 2021 18:11:08 GMT-0500 (Eastern Standard Time),0
A,A2RCYLKY072XXO,1521536354042,0,8,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 1];[1 1];[6 0],1 1 0,1508 4900 2907,50 51 50,0 1 2,9315,2,[0 1],1614553880.55,Sun Feb 28 2021 18:11:20 GMT-0500 (Eastern Standard Time),0
A,A2RCYLKY072XXO,1521536354042,0,9,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,2222 4094 4591,50 49 51,0 1 2,10907,11,[0 1],1614553894.473,Sun Feb 28 2021 18:11:34 GMT-0500 (Eastern Standard Time),0
A,A2RCYLKY072XXO,1521536354042,0,10,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[7 1],4 1 7,1710 4770 4093,49 50 50,0 1 2,10573,12,[0 1],1614553908.586,Sun Feb 28 2021 18:11:48 GMT-0500 (Eastern Standard Time),0
