group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A7P3R1AIA4TVV,1308163462066,0,0,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,1064 9176 7632,49 49 49,0 1 2,17872,11,[1 0],1614554248.447,Sun Feb 28 2021 18:17:28 GMT-0500 (Eastern Standard Time),0
A,A7P3R1AIA4TVV,1308163462066,0,1,train,1,[0 1],[1 0],1 2 5 6,4,2 3 3,[1 0];[1 1];[5 2],1 1 5,1200 3984 3992,50 50 51,0 1 2,9176,7,[1 0],1614554265.11,Sun Feb 28 2021 18:17:45 GMT-0500 (Eastern Standard Time),0
A,A7P3R1AIA4TVV,1308163462066,0,2,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],4 1 3,680 4088 3736,49 51 51,0 1 2,8504,8,[1 0],1614554277.774,Sun Feb 28 2021 18:17:57 GMT-0500 (Eastern Standard Time),0
A,A7P3R1AIA4TVV,1308163462066,0,3,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[1 0];[1 1];[3 5],1 1 3,1617 3350 3648,50 51 50,0 1 2,8615,5,[1 0],1614554290.47,Sun Feb 28 2021 18:18:10 GMT-0500 (Eastern Standard Time),0
A,A7P3R1AIA4TVV,1308163462066,0,4,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[1 0];[1 1];[1 7],1 1 1,2592 3625 5311,50 51 49,0 1 2,11528,3,[1 0],1614554305.269,Sun Feb 28 2021 18:18:25 GMT-0500 (Eastern Standard Time),0
A,A7P3R1AIA4TVV,1308163462066,0,5,train,1,[1 0],[0 1],1 2 5 6,4,2 3 1,[1 0];[1 1];[2 4],0 1 4,1102 4041 3656,50 50 50,0 1 2,8799,5,[1 0],1614554316.91,Sun Feb 28 2021 18:18:36 GMT-0500 (Eastern Standard Time),0
A,A7P3R1AIA4TVV,1308163462066,0,6,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[1 0];[1 1];[6 5],1 1 6,4591 368 4049 4416,51 50 49 51,1 2 3,13424,8,[1 0],1614554335.237,Sun Feb 28 2021 18:18:55 GMT-0500 (Eastern Standard Time),0
A,A7P3R1AIA4TVV,1308163462066,0,7,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 4];[1 1];[3 5],4 1 5,2977 3688 3128,49 51 50,0 1 2,9793,10,[1 0],1614554348.109,Sun Feb 28 2021 18:19:08 GMT-0500 (Eastern Standard Time),0
A,A7P3R1AIA4TVV,1308163462066,0,8,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[1 1];[9 1],4 1 1,1640 2712 3528,49 50 49,0 1 2,7880,6,[1 0],1614554361.949,Sun Feb 28 2021 18:19:21 GMT-0500 (Eastern Standard Time),0
A,A7P3R1AIA4TVV,1308163462066,0,9,train,1,[1 0],[0 1],1 2 5 6,4,2 3 3,[1 0];[1 1];[5 2],0 1 2,2143 3617 4928,50 50 51,0 1 2,10688,3,[1 0],1614554376.957,Sun Feb 28 2021 18:19:36 GMT-0500 (Eastern Standard Time),0
A,A7P3R1AIA4TVV,1308163462066,0,10,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 4];[1 1];[3 5],4 1 5,6008 3584 5440,49 51 50,0 1 2,15032,10,[1 0],1614554398.853,Sun Feb 28 2021 18:19:58 GMT-0500 (Eastern Standard Time),0
A,A7P3R1AIA4TVV,1308163462066,0,11,train,1,[1 0],[0 1],1 2 3 6,4,2 1 3,[1 0];[1 1];[4 3],0 1 3,1887 2696 4472,50 51 51,0 1 2,9055,4,[1 0],1614554411.669,Sun Feb 28 2021 18:20:11 GMT-0500 (Eastern Standard Time),0
A,A7P3R1AIA4TVV,1308163462066,0,12,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[1 0];[1 1];[6 5],0 1 5,719 376 3088 3831,51 50 49 51,1 2 3,8014,6,[1 0],1614554422.725,Sun Feb 28 2021 18:20:22 GMT-0500 (Eastern Standard Time),0
