group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A8KX1HFH8NE2Q,1448069971016,0,0,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[1 1];[5 6],4 1 5,4478 10973 8514,49 50 51,0 1 2,23965,10,[0 1],1614585714.533,Mon Mar 01 2021 00:01:54 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,1,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],4 1 0,2614 7355 5245,49 50 50,0 1 2,15214,5,[0 1],1614585735.736,Mon Mar 01 2021 00:02:15 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,2,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 1];[1 1];[5 6],0 1 5,2618 5796 5299,50 50 51,0 1 2,13713,6,[0 1],1614585758.9,Mon Mar 01 2021 00:02:38 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,3,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[4 0];[1 1];[5 3],4 1 5,3014 2185 6822,49 49 50,0 1 2,12021,10,[0 1],1614585775.119,Mon Mar 01 2021 00:02:55 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,4,train,1,[0 1],[0 1],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],0 1 7,1514 3504 3259,49 50 50,0 1 2,8277,8,[0 1],1614585788.393,Mon Mar 01 2021 00:03:08 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,5,train,1,[1 0],[1 0],1 2 5 6,4,2 3 3,[0 1];[1 1];[2 5],0 1 2,1804 4670 3940,50 51 51,0 1 2,10414,3,[0 1],1614585804.295,Mon Mar 01 2021 00:03:24 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,6,train,1,[0 1],[0 1],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],0 1 7,1103 4207 2499,49 50 50,0 1 2,7809,8,[0 1],1614585818.712,Mon Mar 01 2021 00:03:38 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,7,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],4 1 0,968 2978 2513,49 50 50,0 1 2,6459,5,[0 1],1614585832.267,Mon Mar 01 2021 00:03:52 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,8,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 1];[1 1];[5 6],1 1 6,1306 3547 3134,50 50 51,0 1 2,7987,8,[0 1],1614585846.788,Mon Mar 01 2021 00:04:06 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,9,train,1,[0 1],[0 1],1 2 5 6,4,2 3 3,[0 1];[1 1];[2 5],1 1 5,1220 3637 2737,50 51 51,0 1 2,7594,7,[0 1],1614585859.214,Mon Mar 01 2021 00:04:19 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,10,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 1];[1 1];[5 6],1 1 6,850 2637 2653,50 50 51,0 1 2,6140,8,[0 1],1614585870.321,Mon Mar 01 2021 00:04:30 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,11,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 1];[1 1];[5 6],1 1 6,1182 342 3755 3163,32 50 50 51,1 2 3,8442,8,[0 1],1614585883.528,Mon Mar 01 2021 00:04:43 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,12,train,1,[0 1],[0 1],1 2 5 6,4,2 3 3,[0 1];[1 1];[2 5],1 1 5,820 5070 1871,50 51 51,0 1 2,7761,7,[0 1],1614585897.735,Mon Mar 01 2021 00:04:57 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,13,train,1,[0 1],[0 1],1 2 5 6,4,2 3 3,[0 1];[1 1];[2 5],1 1 5,616 598 2369 2238,51 50 51 51,1 2 3,5821,7,[0 1],1614585910.641,Mon Mar 01 2021 00:05:10 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,14,train,1,[0 1],[0 1],1 2 3 6,4,1 1 3,[4 0];[1 1];[3 4],0 1 4,818 3120 3024,49 49 49,0 1 2,6962,5,[0 1],1614585924.038,Mon Mar 01 2021 00:05:24 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,15,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[4 0];[1 1];[5 3],4 1 5,406 3286 3121,49 49 50,0 1 2,6813,10,[0 1],1614585937.589,Mon Mar 01 2021 00:05:37 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,16,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[1 1];[7 1],0 1 1,879 2711 2605,49 49 51,0 1 2,6195,2,[0 1],1614585947.584,Mon Mar 01 2021 00:05:47 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,17,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,501 4837 3378,49 50 49,0 1 2,8716,11,[0 1],1614585961.993,Mon Mar 01 2021 00:06:01 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,18,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,704 2237 2087,49 50 49,0 1 2,5028,11,[0 1],1614585971.726,Mon Mar 01 2021 00:06:11 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,19,train,1,[0 1],[0 1],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],0 1 0,717 2516 1987,49 50 49,0 1 2,5220,1,[0 1],1614585980.854,Mon Mar 01 2021 00:06:20 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,20,train,1,[0 1],[0 1],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],0 1 7,807 2290 3777,49 50 50,0 1 2,6874,8,[0 1],1614585992.574,Mon Mar 01 2021 00:06:32 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,21,train,1,[0 1],[0 1],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],0 1 0,599 2343 3280,49 50 49,0 1 2,6222,1,[0 1],1614586005.323,Mon Mar 01 2021 00:06:45 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,22,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,525 2218 2304,49 50 49,0 1 2,5047,11,[0 1],1614586016.079,Mon Mar 01 2021 00:06:56 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,23,train,1,[0 1],[0 1],1 2 5 6,4,1 3 3,[4 0];[1 1];[2 5],0 1 5,554 4429 4568,49 51 51,0 1 2,9551,6,[0 1],1614586030.64,Mon Mar 01 2021 00:07:10 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,24,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,398 2930 2862,49 50 49,0 1 2,6190,11,[0 1],1614586041.672,Mon Mar 01 2021 00:07:21 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,25,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,502 2334 2882,49 50 49,0 1 2,5718,11,[0 1],1614586054.294,Mon Mar 01 2021 00:07:34 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,26,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 1];[1 1];[5 6],1 1 6,808 4302 6843,50 50 51,0 1 2,11953,8,[0 1],1614586072.394,Mon Mar 01 2021 00:07:52 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,27,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,545 2949 2191,49 50 49,0 1 2,5685,11,[0 1],1614586084.215,Mon Mar 01 2021 00:08:04 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,28,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 1];[1 1];[7 1],1 1 1,943 3166 4127,50 49 51,0 1 2,8236,3,[0 1],1614586096.05,Mon Mar 01 2021 00:08:16 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,29,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,426 2307 2654,49 50 49,0 1 2,5387,11,[0 1],1614586107.256,Mon Mar 01 2021 00:08:27 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,30,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,578 2211 2050,49 50 49,0 1 2,4839,11,[0 1],1614586115.574,Mon Mar 01 2021 00:08:35 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,31,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[1 9],0 1 9,580 4144 4831,49 51 50,0 1 2,9555,10,[0 1],1614586130.042,Mon Mar 01 2021 00:08:50 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,32,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,853 2320 2362,49 50 49,0 1 2,5535,11,[0 1],1614586139.564,Mon Mar 01 2021 00:08:59 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,33,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[1 9],0 1 9,500 2225 2415,49 51 50,0 1 2,5140,10,[0 1],1614586148.167,Mon Mar 01 2021 00:09:08 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,34,train,1,[1 0],[1 0],1 2 3 6,4,2 1 3,[0 1];[1 1];[3 4],0 1 3,890 4418 6533,50 49 49,0 1 2,11841,4,[0 1],1614586165.553,Mon Mar 01 2021 00:09:25 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,35,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[1 9],0 1 9,692 2303 2430,49 51 50,0 1 2,5425,10,[0 1],1614586174.297,Mon Mar 01 2021 00:09:34 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,36,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,741 2412 2220,49 50 49,0 1 2,5373,11,[0 1],1614586183.704,Mon Mar 01 2021 00:09:43 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,37,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[1 9],0 1 9,839 3115 3002,49 51 50,0 1 2,6956,10,[0 1],1614586196.678,Mon Mar 01 2021 00:09:56 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,38,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[1 9],0 1 9,490 2239 2704,49 51 50,0 1 2,5433,10,[0 1],1614586207.525,Mon Mar 01 2021 00:10:07 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,39,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[1 9],0 1 9,461 1969 2451,49 51 50,0 1 2,4881,10,[0 1],1614586215.953,Mon Mar 01 2021 00:10:15 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,40,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,461 3002 3303,49 50 49,0 1 2,6766,11,[0 1],1614586228.094,Mon Mar 01 2021 00:10:28 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,41,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,517 2492 2493,49 50 49,0 1 2,5502,11,[0 1],1614586236.081,Mon Mar 01 2021 00:10:36 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,42,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,566 2278 1826,49 50 49,0 1 2,4670,11,[0 1],1614586245.05,Mon Mar 01 2021 00:10:45 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,43,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[1 9],0 1 9,588 2028 2384,49 51 50,0 1 2,5000,10,[0 1],1614586253.984,Mon Mar 01 2021 00:10:53 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,44,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[1 9],0 1 9,614 2185 3779,49 51 50,0 1 2,6578,10,[0 1],1614586264.999,Mon Mar 01 2021 00:11:04 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,45,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,388 2101 2892,49 50 49,0 1 2,5381,11,[0 1],1614586278.895,Mon Mar 01 2021 00:11:18 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,46,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[1 9],0 1 9,1782 1974 1897,49 51 50,0 1 2,5653,10,[0 1],1614586288.581,Mon Mar 01 2021 00:11:28 GMT-0800 (Pacific Standard Time),0
A,A8KX1HFH8NE2Q,1448069971016,0,47,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[1 9],0 1 9,644 1907 2946,49 51 50,0 1 2,5497,10,[0 1],1614586298.108,Mon Mar 01 2021 00:11:38 GMT-0800 (Pacific Standard Time),0
