group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AW0MG225VXWCN,1538237576937,0,0,train,1,[0 1],[0 1],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],0 1 0,6981 11048 9457,49 51 49,0 1 2,27486,1,[0 1],1614554203.084,Sun Feb 28 2021 17:16:43 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,1,train,1,[0 1],[0 1],1 2 5 6,4,2 3 1,[0 1];[1 1];[4 2],1 1 2,1653 5873 5512,50 50 49,0 1 2,13038,4,[0 1],1614554221.941,Sun Feb 28 2021 17:17:01 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,2,train,1,[0 1],[0 1],1 2 3 6,4,2 1 1,[0 1];[1 1];[5 3],1 1 3,1088 4852 4800,50 49 50,0 1 2,10740,5,[0 1],1614554238.471,Sun Feb 28 2021 17:17:18 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,3,train,1,[1 0],[1 0],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],0 1 0,2746 8543 4776,50 51 51,0 1 2,16065,1,[0 1],1614554260.032,Sun Feb 28 2021 17:17:40 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,4,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 1];[1 1];[6 0],1 1 0,1574 7889 5399,50 51 49,0 1 2,14862,2,[0 1],1614554282.471,Sun Feb 28 2021 17:18:02 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,5,train,1,[1 0],[1 0],1 2 3 6,4,2 1 1,[0 1];[1 1];[5 3],0 1 5,728 6497 5530,50 49 50,0 1 2,12755,6,[0 1],1614554300.712,Sun Feb 28 2021 17:18:20 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,6,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],1 1 7,1776 4088 4153,50 51 51,0 1 2,10017,9,[0 1],1614554316.281,Sun Feb 28 2021 17:18:36 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,7,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],1 1 7,1562 4502 2520,50 51 51,0 1 2,8584,9,[0 1],1614554328.544,Sun Feb 28 2021 17:18:48 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,8,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],1 1 7,921 5622 2523,50 51 51,0 1 2,9066,9,[0 1],1614554341.08,Sun Feb 28 2021 17:19:01 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,9,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[4 0];[1 1];[5 3],4 1 5,1576 4020 3613,49 49 50,0 1 2,9209,10,[0 1],1614554354.706,Sun Feb 28 2021 17:19:14 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,10,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],1 1 7,1751 3087 3961,50 51 51,0 1 2,8799,9,[0 1],1614554367.106,Sun Feb 28 2021 17:19:27 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,11,train,1,[0 1],[0 1],1 2 5 6,4,2 3 3,[0 1];[1 1];[2 5],1 1 5,1655 3328 5712,50 50 50,0 1 2,10695,7,[0 1],1614554381.418,Sun Feb 28 2021 17:19:41 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,12,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 1];[1 1];[7 1],0 1 7,887 6882 2768,50 49 51,0 1 2,10537,8,[0 1],1614554396.282,Sun Feb 28 2021 17:19:56 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,13,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],1 1 7,1567 2472 2056,50 51 51,0 1 2,6095,9,[0 1],1614554410.875,Sun Feb 28 2021 17:20:10 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,14,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[4 0];[1 1];[3 4],4 1 3,1048 3967 4169,49 49 49,0 1 2,9184,8,[0 1],1614554423.685,Sun Feb 28 2021 17:20:23 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,15,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,1417 3522 3413,49 50 49,0 1 2,8352,9,[0 1],1614554435.468,Sun Feb 28 2021 17:20:35 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,16,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],1 1 7,1488 4576 2721,50 51 51,0 1 2,8785,9,[0 1],1614554447.14,Sun Feb 28 2021 17:20:47 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,17,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,805 3912 2480,49 51 49,0 1 2,7197,11,[0 1],1614554460.212,Sun Feb 28 2021 17:21:00 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,18,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],1 1 7,1321 3358 2472,50 51 51,0 1 2,7151,9,[0 1],1614554470.932,Sun Feb 28 2021 17:21:10 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,19,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,2977 5681 2870,49 51 49,0 1 2,11528,11,[0 1],1614554486.29,Sun Feb 28 2021 17:21:26 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,20,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],1 1 7,1525 2849 2151,50 51 51,0 1 2,6525,9,[0 1],1614554494.962,Sun Feb 28 2021 17:21:34 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,21,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[1 1];[1 9],4 1 1,1402 8453 2460,49 50 51,0 1 2,12315,6,[0 1],1614554515.994,Sun Feb 28 2021 17:21:55 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,22,train,1,[0 1],[0 1],1 2 5 6,4,2 3 3,[0 1];[1 1];[2 5],1 1 5,7366 1025 4093 5599,51 50 50 50,1 2 3,18083,7,[0 1],1614554538.241,Sun Feb 28 2021 17:22:18 GMT-0600 (Central Standard Time),0
A,AW0MG225VXWCN,1538237576937,0,23,train,1,[0 1],[0 1],1 2 5 6,4,1 3 3,[4 0];[1 1];[2 5],0 1 5,1665 4487 3544,49 50 50,0 1 2,9696,6,[0 1],1614554551.208,Sun Feb 28 2021 17:22:31 GMT-0600 (Central Standard Time),0
