group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AYW62R027PUT1,1906293833941,0,0,train,1,[0 1],[0 1],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],0 1 0,3976 16056 6783,49 49 50,0 1 2,26815,1,[0 1],1614570170.248,Sun Feb 28 2021 22:42:50 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,1,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[4 0];[1 1];[3 4],4 1 3,4767 12153 6895,49 51 50,0 1 2,23815,8,[0 1],1614570201.073,Sun Feb 28 2021 22:43:21 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,2,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[4 0];[1 1];[3 4],4 1 3,1487 6881 5280,49 51 50,0 1 2,13648,8,[0 1],1614570222.209,Sun Feb 28 2021 22:43:42 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,3,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,1398 4896 4209,50 50 49,0 1 2,10503,11,[0 1],1614570243.353,Sun Feb 28 2021 22:44:03 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,4,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[4 0];[1 1];[2 5],4 1 2,2311 10616 6864,49 50 51,0 1 2,19791,7,[0 1],1614570267.209,Sun Feb 28 2021 22:44:27 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,5,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 1];[1 1];[7 1],1 1 1,2848 9416 9953,50 51 51,0 1 2,22217,3,[0 1],1614570293.378,Sun Feb 28 2021 22:44:53 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,6,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],1 1 7,3688 5417 6679,50 49 51,0 1 2,15784,9,[0 1],1614570314.314,Sun Feb 28 2021 22:45:14 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,7,train,1,[0 1],[0 1],1 2 3 6,4,2 1 1,[0 1];[1 1];[5 3],1 1 3,3980 5269 5879,50 51 49,0 1 2,15128,5,[0 1],1614570333.346,Sun Feb 28 2021 22:45:33 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,8,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 1];[1 1];[3 4],1 1 4,1617 3615 3832,50 51 50,0 1 2,9064,6,[0 1],1614570345.113,Sun Feb 28 2021 22:45:45 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,9,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 1];[1 1];[5 6],1 1 6,2472 6791 9904,50 49 49,0 1 2,19167,8,[0 1],1614570374.682,Sun Feb 28 2021 22:46:14 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,10,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 1];[1 1];[5 6],1 1 6,1344 5777 6576,50 49 49,0 1 2,13697,8,[0 1],1614570399.746,Sun Feb 28 2021 22:46:39 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,11,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,16448 6295 5537,49 50 50,0 1 2,28280,9,[0 1],1614570441.978,Sun Feb 28 2021 22:47:21 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,12,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,3848 8872 7089,49 50 50,0 1 2,19809,9,[0 1],1614570471.178,Sun Feb 28 2021 22:47:51 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,13,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 1];[1 1];[6 0],1 1 0,1759 4097 5184,50 49 50,0 1 2,11040,2,[0 1],1614570496.09,Sun Feb 28 2021 22:48:16 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,14,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,1271 5848 4784,49 50 50,0 1 2,11903,9,[0 1],1614570516.395,Sun Feb 28 2021 22:48:36 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,15,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 1];[1 1];[0 7],1 1 7,2398 10272 5928,50 49 51,0 1 2,18598,9,[0 1],1614570547.293,Sun Feb 28 2021 22:49:07 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,16,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[1 1];[5 6],0 1 6,7529 5663 4696,49 49 49,0 1 2,17888,7,[0 1],1614570577.819,Sun Feb 28 2021 22:49:37 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,17,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],4 1 0,4735 7897 7736,49 49 51,0 1 2,20368,5,[0 1],1614570608.011,Sun Feb 28 2021 22:50:08 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,18,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,1072 3576 3120,49 49 50,0 1 2,7768,11,[0 1],1614570626.075,Sun Feb 28 2021 22:50:26 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,19,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,1024 1904 1952,49 49 50,0 1 2,4880,11,[0 1],1614570635.091,Sun Feb 28 2021 22:50:35 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,20,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,8623 10344 4864,50 50 49,0 1 2,23831,11,[0 1],1614570673.763,Sun Feb 28 2021 22:51:13 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,21,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,8256 2216 1864,50 50 49,0 1 2,12336,11,[0 1],1614570689.859,Sun Feb 28 2021 22:51:29 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,22,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,1120 2176 512 2592,50 32 50 49,0 2 3,6400,11,[0 1],1614570702.355,Sun Feb 28 2021 22:51:42 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,23,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,671 2521 1967,50 50 49,0 1 2,5159,11,[0 1],1614570710.691,Sun Feb 28 2021 22:51:50 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,24,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,5143 1945 2127,49 50 50,0 1 2,9215,9,[0 1],1614570724.468,Sun Feb 28 2021 22:52:04 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,25,train,1,[0 1],[0 1],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],0 1 7,1080 8759 10673,49 49 51,0 1 2,20512,8,[0 1],1614570754.028,Sun Feb 28 2021 22:52:34 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,26,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,4936 1887 2041,50 50 49,0 1 2,8864,11,[0 1],1614570767.916,Sun Feb 28 2021 22:52:47 GMT-0500 (Eastern Standard Time),0
A,AYW62R027PUT1,1906293833941,0,27,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 1];[1 1];[1 9],1 1 9,832 2064 1880,50 50 49,0 1 2,4776,11,[0 1],1614570775.06,Sun Feb 28 2021 22:52:55 GMT-0500 (Eastern Standard Time),0
