group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1FVXS8IM5QYO8,1729249266925,0,0,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,5553 6020 4367,49 50 51,0 1 2,15940,9,[0 1],1615140952.049,Sun Mar 07 2021 10:15:52 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,1,train,1,[0 1],[0 1],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],0 1 7,1168 3613 4886,49 49 50,0 1 2,9667,8,[0 1],1615140965.073,Sun Mar 07 2021 10:16:05 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,2,train,1,[1 0],[1 0],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],0 1 3,982 3377 5930,50 51 49,0 1 2,10289,4,[0 1],1615140981.328,Sun Mar 07 2021 10:16:21 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,3,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,1089 4481 2835,49 50 51,0 1 2,8405,9,[0 1],1615140995.37,Sun Mar 07 2021 10:16:35 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,4,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],4 1 0,2367 7633 4327,49 49 50,0 1 2,14327,5,[0 1],1615141014.928,Sun Mar 07 2021 10:16:54 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,5,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[4 0];[1 1];[5 3],4 1 5,1013 4697 3304,49 51 50,0 1 2,9014,10,[0 1],1615141027.578,Sun Mar 07 2021 10:17:07 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,6,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,953 3849 2984,49 50 51,0 1 2,7786,9,[0 1],1615141039.372,Sun Mar 07 2021 10:17:19 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,7,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],2 1 6,1134 3789 2821,50 49 51,0 1 2,7744,9,[0 1],1615141049.838,Sun Mar 07 2021 10:17:29 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,8,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,1085 2328 2951,50 49 49,0 1 2,6364,3,[0 1],1615141059.406,Sun Mar 07 2021 10:17:39 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,9,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,1029 4412 2440,49 50 51,0 1 2,7881,9,[0 1],1615141070.143,Sun Mar 07 2021 10:17:50 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,10,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,956 2514 2246,49 50 51,0 1 2,5716,9,[0 1],1615141079.383,Sun Mar 07 2021 10:17:59 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,11,train,1,[0 1],[0 1],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],0 1 2,818 3064 2110,49 50 51,0 1 2,5992,3,[0 1],1615141088.736,Sun Mar 07 2021 10:18:08 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,12,train,1,[0 1],[0 1],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],0 1 7,831 3673 2940,49 49 50,0 1 2,7444,8,[0 1],1615141100.303,Sun Mar 07 2021 10:18:20 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,13,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],2 1 6,1102 2544 2686,50 49 51,0 1 2,6332,9,[0 1],1615141110.655,Sun Mar 07 2021 10:18:30 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,14,train,1,[1 0],[1 0],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],0 1 6,1198 2141 2315,50 49 49,0 1 2,5654,7,[0 1],1615141119.237,Sun Mar 07 2021 10:18:39 GMT-0800 (Pacific Standard Time),0
A,A1FVXS8IM5QYO8,1729249266925,0,15,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,743 3215 3342,50 51 49,0 1 2,7300,7,[0 1],1615141129.893,Sun Mar 07 2021 10:18:49 GMT-0800 (Pacific Standard Time),0
