group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1W7I6FN183I8F,1167187116248,0,0,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[1 1];[0 8],0 1 8,4483 6478 6939,49 50 51,0 1 2,17900,9,[1 0],1615157752.183,Sun Mar 07 2021 16:55:52 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,1,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],0 1 10,1133 2532 4528,50 51 51,0 1 2,8193,11,[1 0],1615157764.475,Sun Mar 07 2021 16:56:04 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,2,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],0 1 10,748 2400 3394,50 51 51,0 1 2,6542,11,[1 0],1615157773.44,Sun Mar 07 2021 16:56:13 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,3,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[1 1];[0 8],0 1 0,604 4277 4938,50 50 51,0 1 2,9819,1,[1 0],1615157785.909,Sun Mar 07 2021 16:56:25 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,4,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],4 1 0,947 2905 2442,50 51 51,0 1 2,6294,5,[1 0],1615157799.069,Sun Mar 07 2021 16:56:39 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,5,train,1,[0 1],[1 0],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],0 1 0,2720 2684 3260,50 49 51,0 1 2,8664,1,[1 0],1615157810.087,Sun Mar 07 2021 16:56:50 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,6,train,1,[0 1],[1 0],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],0 1 4,680 4978 3024,50 50 50,0 1 2,8682,5,[1 0],1615157821.53,Sun Mar 07 2021 16:57:01 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,7,train,1,[0 1],[1 0],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],0 1 4,643 1975 1787,50 50 50,0 1 2,4405,5,[1 0],1615157831.504,Sun Mar 07 2021 16:57:11 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,8,train,1,[1 0],[0 1],1 2 5 6,4,1 3 3,[0 4];[1 1];[5 2],4 1 2,3324 3504 4036,50 51 49,0 1 2,10864,7,[1 0],1615157845.868,Sun Mar 07 2021 16:57:25 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,9,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],4 1 0,629 7764 4601,50 51 51,0 1 2,12994,5,[1 0],1615157863.235,Sun Mar 07 2021 16:57:43 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,10,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 4];[1 1];[3 5],4 1 5,819 2864 5526,50 50 49,0 1 2,9209,10,[1 0],1615157876.728,Sun Mar 07 2021 16:57:56 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,11,train,1,[1 0],[0 1],1 2 4 6,4,1 2 3,[0 4];[1 1];[7 0],4 1 0,914 6723 3540,50 49 49,0 1 2,11177,5,[1 0],1615157890.711,Sun Mar 07 2021 16:58:10 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,12,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],0 1 10,570 2832 3685,50 51 51,0 1 2,7087,11,[1 0],1615157900.879,Sun Mar 07 2021 16:58:20 GMT-0600 (Central Standard Time),0
A,A1W7I6FN183I8F,1167187116248,0,13,train,1,[1 0],[0 1],1 2 4 6,4,1 2 3,[0 4];[1 1];[7 0],4 1 0,5376 3460 4089,50 49 49,0 1 2,12925,5,[1 0],1615157915.899,Sun Mar 07 2021 16:58:35 GMT-0600 (Central Standard Time),0
