group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A24Z9RP5YZZ2TY,1934190437541,0,0,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,3759 11695 7121,50 49 51,0 1 2,22575,7,[0 1],1615136053.475,Sun Mar 07 2021 10:54:13 GMT-0600 (Central Standard Time),0
A,A24Z9RP5YZZ2TY,1934190437541,0,1,train,1,[0 1],[0 1],1 2 5 6,4,1 3 3,[4 0];[1 1];[2 5],0 1 5,5152 5808 5072,49 50 51,0 1 2,16032,6,[0 1],1615136088.658,Sun Mar 07 2021 10:54:48 GMT-0600 (Central Standard Time),0
A,A24Z9RP5YZZ2TY,1934190437541,0,2,train,1,[1 0],[1 0],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],0 1 6,1504 8320 4496,50 51 49,0 1 2,14320,7,[0 1],1615136116.674,Sun Mar 07 2021 10:55:16 GMT-0600 (Central Standard Time),0
A,A24Z9RP5YZZ2TY,1934190437541,0,3,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,2320 7936 6448,49 50 49,0 1 2,16704,9,[0 1],1615136148.29,Sun Mar 07 2021 10:55:48 GMT-0600 (Central Standard Time),0
A,A24Z9RP5YZZ2TY,1934190437541,0,4,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],0 1 5,47569 39552 30352,50 51 50,0 1 2,117473,6,[0 1],1615136285.811,Sun Mar 07 2021 10:58:05 GMT-0600 (Central Standard Time),0
A,A24Z9RP5YZZ2TY,1934190437541,0,5,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[4 0];[1 1];[2 5],4 1 2,4416 11328 37855,49 50 51,0 1 2,53599,7,[0 1],1615136353.762,Sun Mar 07 2021 10:59:13 GMT-0600 (Central Standard Time),0
A,A24Z9RP5YZZ2TY,1934190437541,0,6,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[1 1];[8 0],0 1 0,2144 6785 12864,49 49 50,0 1 2,21793,1,[0 1],1615136399.746,Sun Mar 07 2021 10:59:59 GMT-0600 (Central Standard Time),0
A,A24Z9RP5YZZ2TY,1934190437541,0,7,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],2 1 6,1809 9279 8736,50 51 50,0 1 2,19824,9,[0 1],1615136424.834,Sun Mar 07 2021 11:00:24 GMT-0600 (Central Standard Time),0
A,A24Z9RP5YZZ2TY,1934190437541,0,8,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[8 0],4 1 8,2080 3920 4560,49 49 50,0 1 2,10560,13,[0 1],1615136437.586,Sun Mar 07 2021 11:00:37 GMT-0600 (Central Standard Time),0
A,A24Z9RP5YZZ2TY,1934190437541,0,9,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[8 0],4 1 8,1520 4192 5344,49 49 50,0 1 2,11056,13,[0 1],1615136453.858,Sun Mar 07 2021 11:00:53 GMT-0600 (Central Standard Time),0
A,A24Z9RP5YZZ2TY,1934190437541,0,10,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[8 0],4 1 8,1504 2624 2592,49 49 50,0 1 2,6720,13,[0 1],1615136464.514,Sun Mar 07 2021 11:01:04 GMT-0600 (Central Standard Time),0
A,A24Z9RP5YZZ2TY,1934190437541,0,11,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[8 0],4 1 8,1168 2208 1776,49 49 50,0 1 2,5152,13,[0 1],1615136472.322,Sun Mar 07 2021 11:01:12 GMT-0600 (Central Standard Time),0
A,A24Z9RP5YZZ2TY,1934190437541,0,12,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[8 0],4 1 8,912 1936 1920,49 49 50,0 1 2,4768,13,[0 1],1615136479.506,Sun Mar 07 2021 11:01:19 GMT-0600 (Central Standard Time),0
