group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2CEHL1T8C927W,1103850317266,0,0,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[1 1];[0 8],4 1 8,16630 16634 4147 19768,50 52 51 49,0 2 3,57179,13,[1 0],1615166836.427,Sun Mar 07 2021 20:27:16 GMT-0500 (Eastern Standard Time),0
A,A2CEHL1T8C927W,1103850317266,0,1,train,1,[0 1],[1 0],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],2 1 5,3846 11090 11207,49 50 49,0 1 2,26143,8,[1 0],1615166878.599,Sun Mar 07 2021 20:27:58 GMT-0500 (Eastern Standard Time),0
A,A2CEHL1T8C927W,1103850317266,0,2,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[10 0],2 1 10,5589 11894 8384,49 50 51,0 1 2,25867,13,[1 0],1615166921.259,Sun Mar 07 2021 20:28:41 GMT-0500 (Eastern Standard Time),0
A,A2CEHL1T8C927W,1103850317266,0,3,train,1,[0 1],[1 0],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],0 1 0,3528 8671 12059,50 49 50,0 1 2,24258,1,[1 0],1615166950.881,Sun Mar 07 2021 20:29:10 GMT-0500 (Eastern Standard Time),0
A,A2CEHL1T8C927W,1103850317266,0,4,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],0 1 6,3730 7826 8268,50 49 51,0 1 2,19824,7,[1 0],1615166976.044,Sun Mar 07 2021 20:29:36 GMT-0500 (Eastern Standard Time),0
A,A2CEHL1T8C927W,1103850317266,0,5,train,1,[1 0],[0 1],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],0 1 5,3544 8086 8138,49 51 51,0 1 2,19768,6,[1 0],1615167001.054,Sun Mar 07 2021 20:30:01 GMT-0500 (Eastern Standard Time),0
A,A2CEHL1T8C927W,1103850317266,0,6,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,6685 5327 11943,50 49 51,0 1 2,23955,10,[1 0],1615167033.483,Sun Mar 07 2021 20:30:33 GMT-0500 (Eastern Standard Time),0
A,A2CEHL1T8C927W,1103850317266,0,7,train,1,[1 0],[0 1],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],0 1 2,3391 7674 5388,49 50 49,0 1 2,16453,3,[1 0],1615167059.221,Sun Mar 07 2021 20:30:59 GMT-0500 (Eastern Standard Time),0
A,A2CEHL1T8C927W,1103850317266,0,8,train,1,[1 0],[0 1],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],0 1 2,3827 6678 12242,49 50 49,0 1 2,22747,3,[1 0],1615167088.049,Sun Mar 07 2021 20:31:28 GMT-0500 (Eastern Standard Time),0
A,A2CEHL1T8C927W,1103850317266,0,9,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[1 1];[0 8],0 1 8,3151 6675 6540,49 51 49,0 1 2,16366,9,[1 0],1615167110.678,Sun Mar 07 2021 20:31:50 GMT-0500 (Eastern Standard Time),0
A,A2CEHL1T8C927W,1103850317266,0,10,train,1,[0 1],[1 0],1 2 5 6,4,2 3 1,[2 0];[1 1];[2 4],2 1 2,2034 12704 6910,49 50 50,0 1 2,21648,5,[1 0],1615167139.234,Sun Mar 07 2021 20:32:19 GMT-0500 (Eastern Standard Time),0
