group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2ML0070M8FDK1,1536906566954,0,0,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,8157 14896 12754,97 98 99,0 1 2,35807,3,[0 1],1615206570.759,Mon Mar 08 2021 06:29:30 GMT-0600 (Central Standard Time),0
A,A2ML0070M8FDK1,1536906566954,0,1,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],0 1 10,9374 8018 13214,98 99 97,0 1 2,30606,11,[0 1],1615206613.846,Mon Mar 08 2021 06:30:13 GMT-0600 (Central Standard Time),0
A,A2ML0070M8FDK1,1536906566954,0,2,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 0],0 1 8,2480 8656 4879,97 97 98,0 1 2,16015,9,[0 1],1615206638.741,Mon Mar 08 2021 06:30:38 GMT-0600 (Central Standard Time),0
A,A2ML0070M8FDK1,1536906566954,0,3,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 0],0 1 8,2110 5784 5321,97 97 98,0 1 2,13215,9,[0 1],1615206658.582,Mon Mar 08 2021 06:30:58 GMT-0600 (Central Standard Time),0
A,A2ML0070M8FDK1,1536906566954,0,4,train,1,[1 0],[1 0],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],0 1 6,1804 5953 6336,97 98 99,0 1 2,14093,7,[0 1],1615206678.95,Mon Mar 08 2021 06:31:18 GMT-0600 (Central Standard Time),0
A,A2ML0070M8FDK1,1536906566954,0,5,train,1,[0 1],[0 1],1 2 3 6,4,2 1 1,[0 2];[1 1];[5 3],2 1 3,5361 7342 6288,97 97 99,0 1 2,18991,6,[0 1],1615206703.142,Mon Mar 08 2021 06:31:43 GMT-0600 (Central Standard Time),0
A,A2ML0070M8FDK1,1536906566954,0,6,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,1807 4720 7281,97 98 97,0 1 2,13808,10,[0 1],1615206724.581,Mon Mar 08 2021 06:32:04 GMT-0600 (Central Standard Time),0
A,A2ML0070M8FDK1,1536906566954,0,7,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,4337 5725 5361,98 98 99,0 1 2,15423,11,[0 1],1615206746.298,Mon Mar 08 2021 06:32:26 GMT-0600 (Central Standard Time),0
A,A2ML0070M8FDK1,1536906566954,0,8,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,3935 5359 6113,98 98 99,0 1 2,15407,11,[0 1],1615206769.943,Mon Mar 08 2021 06:32:49 GMT-0600 (Central Standard Time),0
A,A2ML0070M8FDK1,1536906566954,0,9,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[4 0];[1 1];[2 5],4 1 2,3265 5519 5182,98 99 98,0 1 2,13966,7,[0 1],1615206791.028,Mon Mar 08 2021 06:33:11 GMT-0600 (Central Standard Time),0
