group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2OVX9UW5WANQE,1163643060169,0,0,train,1,[0 1],[1 0],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],2 1 5,7143 16665 38605,97 98 97,0 1 2,62413,8,[1 0],1615204972.325,Mon Mar 08 2021 07:02:52 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,1,train,1,[1 0],[0 1],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],0 1 6,1756 10201 5981,97 97 99,0 1 2,17938,7,[1 0],1615205000.417,Mon Mar 08 2021 07:03:20 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,2,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[10 0],2 1 10,1575 5572 9489,97 98 98,0 1 2,16636,13,[1 0],1615205026.53,Mon Mar 08 2021 07:03:46 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,3,train,1,[0 1],[1 0],1 2 5 6,4,1 3 3,[0 4];[1 1];[5 2],0 1 5,1809 6067 6930,98 98 97,0 1 2,14806,6,[1 0],1615205048.297,Mon Mar 08 2021 07:04:08 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,4,train,1,[0 1],[1 0],1 2 3 6,4,2 1 3,[2 0];[1 1];[4 3],2 1 4,857 4194 9653,97 99 97,0 1 2,14704,7,[1 0],1615205068.909,Mon Mar 08 2021 07:04:28 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,5,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,1759 5926 5492,98 97 99,0 1 2,13177,11,[1 0],1615205090.304,Mon Mar 08 2021 07:04:50 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,6,train,1,[0 1],[1 0],1 2 5 6,4,2 3 1,[2 0];[1 1];[2 4],2 1 2,1810 6761 5051,97 98 99,0 1 2,13622,5,[1 0],1615205111.013,Mon Mar 08 2021 07:05:11 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,7,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],4 1 3,1366 8683 7447,98 99 97,0 1 2,17496,8,[1 0],1615205161.049,Mon Mar 08 2021 07:06:01 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,8,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],2 1 3,4984 23414 38664,49 51 99,0 1 2,67062,6,[1 0],1615205240.315,Mon Mar 08 2021 07:07:20 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,9,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,4899 32144 14146,50 49 51,0 1 2,51189,11,[1 0],1615205298.502,Mon Mar 08 2021 07:08:18 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,10,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[10 0],2 1 10,9562 19623 27208,49 50 50,0 1 2,56393,13,[1 0],1615205373.947,Mon Mar 08 2021 07:09:33 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,11,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,16242 14371 16605,49 49 49,0 1 2,47218,10,[1 0],1615205429.968,Mon Mar 08 2021 07:10:29 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,12,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,5766 14616 12049,50 49 51,0 1 2,32431,11,[1 0],1615205466.882,Mon Mar 08 2021 07:11:06 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,13,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,3330 3201 5684,49 49 49,0 1 2,12215,10,[1 0],1615205484.237,Mon Mar 08 2021 07:11:24 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,14,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,2141 13893 8761,50 49 51,0 1 2,24795,11,[1 0],1615205511.815,Mon Mar 08 2021 07:11:51 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,15,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,1459 4712 2337,49 49 49,0 1 2,8508,10,[1 0],1615205525.895,Mon Mar 08 2021 07:12:05 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,16,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 4];[1 1];[2 4],4 1 4,3081 3913 11643,50 50 51,0 1 2,18637,9,[1 0],1615205558.958,Mon Mar 08 2021 07:12:38 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,17,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,1847 3430 8642,49 49 49,0 1 2,13919,10,[1 0],1615205577.401,Mon Mar 08 2021 07:12:57 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,18,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 4];[1 1];[2 4],4 1 4,1127 3343 13785,50 50 51,0 1 2,18255,9,[1 0],1615205599.2,Mon Mar 08 2021 07:13:19 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,19,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,1488 3204 7496,49 49 49,0 1 2,12188,10,[1 0],1615205615.141,Mon Mar 08 2021 07:13:35 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,20,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[1 1];[6 5],2 1 6,2026 2065 28383,49 49 50,0 1 2,32474,9,[1 0],1615205662.787,Mon Mar 08 2021 07:14:22 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,21,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,1483 3179 9428,49 49 49,0 1 2,14090,10,[1 0],1615205680.887,Mon Mar 08 2021 07:14:40 GMT-0500 (Eastern Standard Time),0
A,A2OVX9UW5WANQE,1163643060169,0,22,train,1,[0 1],[1 0],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],2 1 7,937 3165 4854,49 49 49,0 1 2,8956,10,[1 0],1615205694.132,Mon Mar 08 2021 07:14:54 GMT-0500 (Eastern Standard Time),0
