group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2Y87M8V0N1M6P,1101379397710,0,0,train,1,[0 1],[0 1],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],2 1 5,11087 71331 7524,97 98 98,0 1 2,89942,8,[0 1],1615165357.026,Sun Mar 07 2021 19:02:37 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,1,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[4 0];[1 1];[5 3],4 1 5,2018 8435 11336,98 97 99,0 1 2,21789,10,[0 1],1615165383.302,Sun Mar 07 2021 19:03:03 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,2,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 0],2 1 0,1746 3857 7405,97 97 98,0 1 2,13008,3,[0 1],1615165405.045,Sun Mar 07 2021 19:03:25 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,3,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[1 1];[5 6],0 1 6,1956 3735 2669,98 99 97,0 1 2,8360,7,[0 1],1615165416.467,Sun Mar 07 2021 19:03:36 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,4,train,1,[1 0],[1 0],1 2 5 6,4,2 3 1,[0 2];[1 1];[4 2],0 1 4,1556 3599 7834,97 98 97,0 1 2,12989,5,[0 1],1615165442.289,Sun Mar 07 2021 19:04:02 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,5,train,1,[1 0],[1 0],1 2 3 6,4,2 1 1,[0 2];[1 1];[5 3],0 1 5,1585 3330 3565,97 97 99,0 1 2,8480,6,[0 1],1615165454.474,Sun Mar 07 2021 19:04:14 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,6,train,1,[0 1],[0 1],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],0 1 0,1746 14165 1868 3110,98 32 99 98,0 2 3,20889,1,[0 1],1615165478.717,Sun Mar 07 2021 19:04:38 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,7,train,1,[1 0],[1 0],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],0 1 2,1437 3547 3493 1114,97 98 32 98,0 1 3,9591,3,[0 1],1615165500.983,Sun Mar 07 2021 19:05:00 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,8,train,1,[0 1],[0 1],1 2 3 6,4,2 1 1,[0 2];[1 1];[5 3],2 1 3,1711 5361 3856,97 97 99,0 1 2,10928,6,[0 1],1615165520.881,Sun Mar 07 2021 19:05:20 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,9,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[4 0];[1 1];[3 4],4 1 3,1165 2434 2743 1157,98 97 32 97,0 1 3,7499,8,[0 1],1615165534.079,Sun Mar 07 2021 19:05:34 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,10,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[8 0],4 1 8,50 1260 3597 3185,32 98 97 98,1 2 3,8092,13,[0 1],1615165544.525,Sun Mar 07 2021 19:05:44 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,11,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[4 0];[1 1];[5 3],4 1 5,1427 3438 5710,98 97 99,0 1 2,10575,10,[0 1],1615165559.009,Sun Mar 07 2021 19:05:59 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,12,train,1,[0 1],[0 1],1 2 3 6,4,2 1 1,[0 2];[1 1];[5 3],2 1 3,615 2059 2389 768,97 97 32 99,0 1 3,5831,6,[0 1],1615165566.929,Sun Mar 07 2021 19:06:06 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,13,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,2236 2746 9328 1918 158 130 62 36948 9,97 32 99 32 32 13 32 101 98,0 2 8,53535,3,[0 1],1615165621.619,Sun Mar 07 2021 19:07:01 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,14,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,1580 3890 2332,97 99 98,0 1 2,7802,3,[0 1],1615165631.11,Sun Mar 07 2021 19:07:11 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,15,train,1,[1 0],[1 0],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],0 1 3,703 1658 123 1946 631,97 32 97 32 97,0 2 4,5061,4,[0 1],1615165638.006,Sun Mar 07 2021 19:07:18 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,16,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],4 1 0,754 1836 2016 740,98 98 13 99,0 1 3,5346,5,[0 1],1615165645.379,Sun Mar 07 2021 19:07:25 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,17,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[4 0];[1 1];[3 4],4 1 3,141 671 2349 302 2597,13 98 13 97 97,1 3 4,6060,8,[0 1],1615165654.722,Sun Mar 07 2021 19:07:34 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,18,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,486 2707 2945,97 97 97,0 1 2,6138,7,[0 1],1615165664.953,Sun Mar 07 2021 19:07:44 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,19,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[1 1];[5 6],4 1 5,916 31610 1887 320,98 99 96 97,0 1 3,34733,10,[0 1],1615165702.019,Sun Mar 07 2021 19:08:22 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,20,train,1,[0 1],[0 1],1 2 3 6,4,1 1 3,[4 0];[1 1];[3 4],0 1 4,833 1951 1253 160 246 323,98 97 32 32 13 97,0 1 5,4766,5,[0 1],1615165708.267,Sun Mar 07 2021 19:08:28 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,21,train,1,[1 0],[1 0],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],0 1 3,170 14 2691 1615 1197 215 328 1202 184 245 22,13 32 32 97 13 13 97 13 13 32 97,3 6 10,7883,4,[0 1],1615165719.054,Sun Mar 07 2021 19:08:39 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,22,train,1,[0 1],[0 1],1 2 5 6,4,2 3 1,[0 2];[1 1];[4 2],2 1 2,1331 2780 64 129 681 2534 529,97 13 32 13 98 13 97,0 4 6,8048,5,[0 1],1615165729.716,Sun Mar 07 2021 19:08:49 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,23,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,344 1275 634 1703 194 320,97 13 97 13 13 97,0 2 5,4470,7,[0 1],1615165738.083,Sun Mar 07 2021 19:08:58 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,24,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,25 1362 2693 2208 608,13 98 99 13 98,1 2 4,6896,11,[0 1],1615165747.365,Sun Mar 07 2021 19:09:07 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,25,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,375 1246 173 519 1247 292,97 13 13 97 13 97,0 3 5,3852,7,[0 1],1615165754.59,Sun Mar 07 2021 19:09:14 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,26,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[1 1];[5 6],4 1 5,317 240 1879 174 276 293 1088 190 277 134 161,13 98 13 13 32 99 13 13 13 32 97,1 5 10,5029,10,[0 1],1615165762.405,Sun Mar 07 2021 19:09:22 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,27,train,1,[1 0],[1 0],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],0 1 3,216 273 113 1832 212 183 121 1408 448,13 32 97 13 13 32 97 13 97,2 6 8,4806,4,[0 1],1615165769.008,Sun Mar 07 2021 19:09:29 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,28,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 0],0 1 8,77 1811 1434 380,97 97 13 98,0 1 3,3702,9,[0 1],1615165774.557,Sun Mar 07 2021 19:09:34 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,29,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,80 563 1209 831 353 1447 705,13 98 13 13 98 13 97,1 4 6,5188,9,[0 1],1615165782.082,Sun Mar 07 2021 19:09:42 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,30,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],4 1 4,177 767 1776 197 280 1389 213 238 348,13 98 13 13 98 13 13 32 97,1 4 8,5385,9,[0 1],1615165790.408,Sun Mar 07 2021 19:09:50 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,31,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,64 1358 1363 168 170 370 104 1135 103 443,13 98 13 13 13 32 99 13 32 98,1 6 9,5278,11,[0 1],1615165798.019,Sun Mar 07 2021 19:09:58 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,32,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,480 1630 551 2274,97 13 99 98,0 2 3,4935,3,[0 1],1615165805.155,Sun Mar 07 2021 19:10:05 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,33,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,152 1492 178 300 100 1178 320,97 13 13 32 97 13 97,0 4 6,3720,7,[0 1],1615165811.119,Sun Mar 07 2021 19:10:11 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,34,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],4 1 0,1551 1615 205 231 1972,98 13 32 98 99,0 3 4,5574,5,[0 1],1615165825.314,Sun Mar 07 2021 19:10:25 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,35,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,214 514 1454 116 126 490 1776,13 97 13 13 32 97 97,1 5 6,4690,7,[0 1],1615165832.328,Sun Mar 07 2021 19:10:32 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,36,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,276 1911 2004 468,97 99 13 98,0 1 3,4659,3,[0 1],1615165839.941,Sun Mar 07 2021 19:10:39 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,37,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,219 1792 1140 111 282 1099 207 371,13 97 13 32 97 13 13 97,1 4 7,5221,7,[0 1],1615165846.913,Sun Mar 07 2021 19:10:46 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,38,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,314 1600 194 113 1303 409 97,97 13 32 99 13 32 98,0 3 6,4030,3,[0 1],1615165853.599,Sun Mar 07 2021 19:10:53 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,39,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,1462 1482 1393 205 243 69,97 99 13 13 32 98,0 1 5,4854,3,[0 1],1615165859.824,Sun Mar 07 2021 19:10:59 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,40,train,1,[1 0],[1 0],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],0 1 3,500 1279 112 25 1706 128,97 13 32 97 13 97,0 3 5,3750,4,[0 1],1615165865.407,Sun Mar 07 2021 19:11:05 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,41,train,1,[1 0],[1 0],1 2 3 6,4,1 1 3,[4 0];[1 1];[3 4],4 1 3,420 1449 186 361 1574,98 13 32 97 97,0 3 4,3990,8,[0 1],1615165871.595,Sun Mar 07 2021 19:11:11 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,42,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,176 2026 1687 365 284,98 99 13 32 98,0 1 4,4538,11,[0 1],1615165879.667,Sun Mar 07 2021 19:11:19 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,43,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[4 0];[1 1];[2 5],4 1 2,38 386 1836 1605,13 98 98 98,1 2 3,3865,7,[0 1],1615165886.166,Sun Mar 07 2021 19:11:26 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,44,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[4 0];[1 1];[2 5],4 1 2,201 1887 1982 304 118,98 98 13 32 98,0 1 4,4492,7,[0 1],1615165893.664,Sun Mar 07 2021 19:11:33 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,45,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[4 0];[1 1];[5 3],4 1 5,156 543 177 1123 1539 263,13 32 98 97 13 99,2 3 5,3801,10,[0 1],1615165899.301,Sun Mar 07 2021 19:11:39 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,46,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[1 1];[5 6],4 1 5,145 327 138 1830 149 281 2092,13 32 98 13 32 99 97,2 5 6,4962,10,[0 1],1615165905.802,Sun Mar 07 2021 19:11:45 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,47,train,1,[0 1],[0 1],1 2 3 6,4,1 1 1,[4 0];[1 1];[5 3],0 1 3,119 160 190 1215 1604,13 32 98 97 99,2 3 4,3288,4,[0 1],1615165910.661,Sun Mar 07 2021 19:11:50 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,48,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,159 304 1571 1533,13 97 97 97,1 2 3,3567,7,[0 1],1615165916.137,Sun Mar 07 2021 19:11:56 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,49,train,1,[1 0],[1 0],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],0 1 6,782 1876 356 1252,97 13 99 98,0 2 3,4266,7,[0 1],1615165921.781,Sun Mar 07 2021 19:12:01 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,50,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,38 1402 1788 1500,13 97 99 98,1 2 3,4728,3,[0 1],1615165928.575,Sun Mar 07 2021 19:12:08 GMT-0600 (Central Standard Time),0
A,A2Y87M8V0N1M6P,1101379397710,0,51,train,1,[0 1],[0 1],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],2 1 5,154 1747 1741,97 98 98,0 1 2,3642,8,[0 1],1615165934.58,Sun Mar 07 2021 19:12:14 GMT-0600 (Central Standard Time),0
