group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2Z6NL0CTXY0ZB,1990120114032,0,0,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],2 1 6,3481 5313 3576,49 51 50,0 1 2,12370,9,[0 1],1615134156.25,Sun Mar 07 2021 10:22:36 GMT-0600 (Central Standard Time),0
A,A2Z6NL0CTXY0ZB,1990120114032,0,1,train,1,[0 1],[0 1],1 2 3 6,4,1 1 1,[4 0];[1 1];[5 3],0 1 3,587 3341 3200,50 50 49,0 1 2,7128,4,[0 1],1615134167.683,Sun Mar 07 2021 10:22:47 GMT-0600 (Central Standard Time),0
A,A2Z6NL0CTXY0ZB,1990120114032,0,2,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],0 1 5,512 659 2521 2527,51 49 51 50,1 2 3,6219,6,[0 1],1615134177.501,Sun Mar 07 2021 10:22:57 GMT-0600 (Central Standard Time),0
A,A2Z6NL0CTXY0ZB,1990120114032,0,3,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[4 0];[1 1];[5 3],4 1 5,1059 4592 3448,50 50 49,0 1 2,9099,10,[0 1],1615134200.152,Sun Mar 07 2021 10:23:20 GMT-0600 (Central Standard Time),0
A,A2Z6NL0CTXY0ZB,1990120114032,0,4,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],4 1 0,3400 4914 8668,50 49 51,0 1 2,16982,5,[0 1],1615134226.257,Sun Mar 07 2021 10:23:46 GMT-0600 (Central Standard Time),0
A,A2Z6NL0CTXY0ZB,1990120114032,0,5,train,1,[0 1],[0 1],1 2 5 6,4,2 3 1,[0 2];[1 1];[4 2],2 1 2,714 14526 10128,49 49 50,0 1 2,25368,5,[0 1],1615134256.573,Sun Mar 07 2021 10:24:16 GMT-0600 (Central Standard Time),0
A,A2Z6NL0CTXY0ZB,1990120114032,0,6,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[0 10],2 1 10,10129 3905 5807,49 49 51,0 1 2,19841,13,[0 1],1615134279.889,Sun Mar 07 2021 10:24:39 GMT-0600 (Central Standard Time),0
A,A2Z6NL0CTXY0ZB,1990120114032,0,7,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[4 0];[1 1];[5 3],4 1 5,3457 5467 6189,50 50 49,0 1 2,15113,10,[0 1],1615134298.144,Sun Mar 07 2021 10:24:58 GMT-0600 (Central Standard Time),0
A,A2Z6NL0CTXY0ZB,1990120114032,0,8,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,1906 3016 4064,50 51 49,0 1 2,8986,11,[0 1],1615134309.944,Sun Mar 07 2021 10:25:09 GMT-0600 (Central Standard Time),0
A,A2Z6NL0CTXY0ZB,1990120114032,0,9,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,1256 3796 2732,50 51 49,0 1 2,7784,11,[0 1],1615134320.303,Sun Mar 07 2021 10:25:20 GMT-0600 (Central Standard Time),0
