group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2ZDEERVRN5AMC,1257731170061,0,0,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[1 1];[6 5],0 1 5,2639 6256 5552,98 97 99,0 1 2,14447,6,[1 0],1615149156.361,Sun Mar 07 2021 15:32:36 GMT-0500 (Eastern Standard Time),0
A,A2ZDEERVRN5AMC,1257731170061,0,1,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,983 4496 2624,97 97 99,0 1 2,8103,10,[1 0],1615149169.185,Sun Mar 07 2021 15:32:49 GMT-0500 (Eastern Standard Time),0
A,A2ZDEERVRN5AMC,1257731170061,0,2,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],4 1 0,1848 2552 3848,97 99 98,0 1 2,8248,5,[1 0],1615149181.025,Sun Mar 07 2021 15:33:01 GMT-0500 (Eastern Standard Time),0
A,A2ZDEERVRN5AMC,1257731170061,0,3,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],0 1 10,480 4544 2552,97 99 98,0 1 2,7576,11,[1 0],1615149193.433,Sun Mar 07 2021 15:33:13 GMT-0500 (Eastern Standard Time),0
A,A2ZDEERVRN5AMC,1257731170061,0,4,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],4 1 3,1176 3231 5073,97 98 97,0 1 2,9480,8,[1 0],1615149206.873,Sun Mar 07 2021 15:33:26 GMT-0500 (Eastern Standard Time),0
A,A2ZDEERVRN5AMC,1257731170061,0,5,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],0 1 10,704 3209 2407,97 99 98,0 1 2,6320,11,[1 0],1615149216.08,Sun Mar 07 2021 15:33:36 GMT-0500 (Eastern Standard Time),0
A,A2ZDEERVRN5AMC,1257731170061,0,6,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[10 0],2 1 10,871 1208 3040 2465,99 98 99 98,1 2 3,7584,13,[1 0],1615149228.042,Sun Mar 07 2021 15:33:48 GMT-0500 (Eastern Standard Time),0
A,A2ZDEERVRN5AMC,1257731170061,0,7,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 4];[1 1];[0 6],4 1 6,760 2625 3199,97 97 97,0 1 2,6584,11,[1 0],1615149237.713,Sun Mar 07 2021 15:33:57 GMT-0500 (Eastern Standard Time),0
A,A2ZDEERVRN5AMC,1257731170061,0,8,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],0 1 10,2447 2752 2280,97 99 98,0 1 2,7479,11,[1 0],1615149247.113,Sun Mar 07 2021 15:34:07 GMT-0500 (Eastern Standard Time),0
A,A2ZDEERVRN5AMC,1257731170061,0,9,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 4];[1 1];[4 3],4 1 3,3960 6336 3160,97 98 97,0 1 2,13456,8,[1 0],1615149264.281,Sun Mar 07 2021 15:34:24 GMT-0500 (Eastern Standard Time),0
A,A2ZDEERVRN5AMC,1257731170061,0,10,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[1 1];[10 0],4 1 0,1112 2616 2040,97 99 98,0 1 2,5768,5,[1 0],1615149271.897,Sun Mar 07 2021 15:34:31 GMT-0500 (Eastern Standard Time),0
