group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3LVLZS8S41ZD7,1436185697199,0,0,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],0 1 5,6919 16791 14449,97 97 98,0 1 2,38159,6,[0 1],1615178094.782,Sun Mar 07 2021 23:34:54 GMT-0500 (Eastern Standard Time),5
A,A3LVLZS8S41ZD7,1436185697199,0,1,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[1 1];[5 6],0 1 6,2104 8367 6753,98 97 98,0 1 2,17224,7,[0 1],1615178120.198,Sun Mar 07 2021 23:35:20 GMT-0500 (Eastern Standard Time),5
A,A3LVLZS8S41ZD7,1436185697199,0,2,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],0 1 10,1448 9224 10896,98 98 97,0 1 2,21568,11,[0 1],1615178148.87,Sun Mar 07 2021 23:35:48 GMT-0500 (Eastern Standard Time),5
A,A3LVLZS8S41ZD7,1436185697199,0,3,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],0 1 5,1031 9784 6480,97 97 98,0 1 2,17295,6,[0 1],1615178170.518,Sun Mar 07 2021 23:36:10 GMT-0500 (Eastern Standard Time),5
A,A3LVLZS8S41ZD7,1436185697199,0,4,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[8 0],4 1 8,6608 8127 12216,98 99 98,0 1 2,26951,13,[0 1],1615178202.949,Sun Mar 07 2021 23:36:42 GMT-0500 (Eastern Standard Time),5
A,A3LVLZS8S41ZD7,1436185697199,0,5,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[0 10],2 1 10,1560 3559 4704,97 98 97,0 1 2,9823,13,[0 1],1615178219.164,Sun Mar 07 2021 23:36:59 GMT-0500 (Eastern Standard Time),5
A,A3LVLZS8S41ZD7,1436185697199,0,6,train,1,[1 0],[1 0],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],4 1 6,3384 7351 12536,98 97 99,0 1 2,23271,11,[0 1],1615178249.181,Sun Mar 07 2021 23:37:29 GMT-0500 (Eastern Standard Time),5
A,A3LVLZS8S41ZD7,1436185697199,0,7,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],0 1 10,2728 7400 5206,98 98 97,0 1 2,15334,11,[0 1],1615178267.788,Sun Mar 07 2021 23:37:47 GMT-0500 (Eastern Standard Time),5
A,A3LVLZS8S41ZD7,1436185697199,0,8,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],4 1 0,1939 5841 5504,98 97 97,0 1 2,13284,5,[0 1],1615178289.516,Sun Mar 07 2021 23:38:09 GMT-0500 (Eastern Standard Time),5
A,A3LVLZS8S41ZD7,1436185697199,0,9,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[0 10],2 1 10,4520 3352 4079,97 98 97,0 1 2,11951,13,[0 1],1615178305.094,Sun Mar 07 2021 23:38:25 GMT-0500 (Eastern Standard Time),5
A,A3LVLZS8S41ZD7,1436185697199,0,10,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],0 1 10,3481 4693 3275,98 98 97,0 1 2,11449,11,[0 1],1615178319.581,Sun Mar 07 2021 23:38:39 GMT-0500 (Eastern Standard Time),5
