group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3S3WYVCVWW8IZ,1431520188037,0,0,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],0 1 5,4151 18638 11127,49 49 50,0 1 2,33916,6,[0 1],1615210441.262,Mon Mar 08 2021 07:34:01 GMT-0600 (Central Standard Time),0
A,A3S3WYVCVWW8IZ,1431520188037,0,1,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],4 1 0,3232 6783 10110,50 51 50,0 1 2,20125,5,[0 1],1615210473.561,Mon Mar 08 2021 07:34:33 GMT-0600 (Central Standard Time),0
A,A3S3WYVCVWW8IZ,1431520188037,0,2,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],0 1 10,1992 7703 4814,50 51 50,0 1 2,14509,11,[0 1],1615210494.03,Mon Mar 08 2021 07:34:54 GMT-0600 (Central Standard Time),0
A,A3S3WYVCVWW8IZ,1431520188037,0,3,train,1,[0 1],[0 1],1 2 4 6,4,2 2 1,[0 2];[1 1];[6 0],2 1 0,1520 8238 6847,49 49 51,0 1 2,16605,3,[0 1],1615210516.915,Mon Mar 08 2021 07:35:16 GMT-0600 (Central Standard Time),0
A,A3S3WYVCVWW8IZ,1431520188037,0,4,train,1,[1 0],[1 0],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],0 1 2,2376 4695 5483,49 51 51,0 1 2,12554,3,[0 1],1615210534.473,Mon Mar 08 2021 07:35:34 GMT-0600 (Central Standard Time),0
A,A3S3WYVCVWW8IZ,1431520188037,0,5,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[4 0];[1 1];[0 7],4 1 0,3208 5102 5800,50 49 49,0 1 2,14110,5,[0 1],1615210550.638,Mon Mar 08 2021 07:35:50 GMT-0600 (Central Standard Time),0
A,A3S3WYVCVWW8IZ,1431520188037,0,6,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 0],2 1 0,3615 6464 3959,49 50 50,0 1 2,14038,3,[0 1],1615210569.276,Mon Mar 08 2021 07:36:09 GMT-0600 (Central Standard Time),0
A,A3S3WYVCVWW8IZ,1431520188037,0,7,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],4 1 0,1047 4719 4185,50 51 50,0 1 2,9951,5,[0 1],1615210584.042,Mon Mar 08 2021 07:36:24 GMT-0600 (Central Standard Time),0
A,A3S3WYVCVWW8IZ,1431520188037,0,8,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 0],2 1 0,2066 4493 3711,49 50 50,0 1 2,10270,3,[0 1],1615210601.664,Mon Mar 08 2021 07:36:41 GMT-0600 (Central Standard Time),0
A,A3S3WYVCVWW8IZ,1431520188037,0,9,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 0],2 1 0,1903 5007 3961,49 50 50,0 1 2,10871,3,[0 1],1615210615.831,Mon Mar 08 2021 07:36:55 GMT-0600 (Central Standard Time),0
