group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A8UJNIY9R8S7W,1077177732539,0,0,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 4];[1 1];[3 5],4 1 5,4255 7577 5487,49 51 49,0 1 2,17319,10,[1 0],1615149376.012,Sun Mar 07 2021 15:36:16 GMT-0500 (Eastern Standard Time),0
A,A8UJNIY9R8S7W,1077177732539,0,1,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],2 1 3,1250 3248 2937,50 51 49,0 1 2,7435,6,[1 0],1615149387.297,Sun Mar 07 2021 15:36:27 GMT-0500 (Eastern Standard Time),0
A,A8UJNIY9R8S7W,1077177732539,0,2,train,1,[0 1],[1 0],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],2 1 0,752 2222 2907,50 49 50,0 1 2,5881,3,[1 0],1615149405.151,Sun Mar 07 2021 15:36:45 GMT-0500 (Eastern Standard Time),0
A,A8UJNIY9R8S7W,1077177732539,0,3,train,1,[0 1],[1 0],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],2 1 0,1459 5297 3823,50 49 50,0 1 2,10579,3,[1 0],1615149418.948,Sun Mar 07 2021 15:36:58 GMT-0500 (Eastern Standard Time),0
A,A8UJNIY9R8S7W,1077177732539,0,4,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],0 1 6,1492 4524 3203,49 49 51,0 1 2,9219,7,[1 0],1615149431.164,Sun Mar 07 2021 15:37:11 GMT-0500 (Eastern Standard Time),0
A,A8UJNIY9R8S7W,1077177732539,0,5,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],0 1 6,1330 4078 3017,49 49 51,0 1 2,8425,7,[1 0],1615149449.324,Sun Mar 07 2021 15:37:29 GMT-0500 (Eastern Standard Time),0
A,A8UJNIY9R8S7W,1077177732539,0,6,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[1 1];[0 8],0 1 8,1266 3213 3522,50 51 50,0 1 2,8001,9,[1 0],1615149460.074,Sun Mar 07 2021 15:37:40 GMT-0500 (Eastern Standard Time),0
A,A8UJNIY9R8S7W,1077177732539,0,7,train,1,[1 0],[0 1],1 2 3 6,4,2 1 3,[2 0];[1 1];[4 3],0 1 3,903 2418 2128,50 51 51,0 1 2,5449,4,[1 0],1615149467.678,Sun Mar 07 2021 15:37:47 GMT-0500 (Eastern Standard Time),0
A,A8UJNIY9R8S7W,1077177732539,0,8,train,1,[1 0],[0 1],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],0 1 5,1389 2289 2554,50 51 49,0 1 2,6232,6,[1 0],1615149476.509,Sun Mar 07 2021 15:37:56 GMT-0500 (Eastern Standard Time),0
A,A8UJNIY9R8S7W,1077177732539,0,9,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[1 1];[6 5],4 1 5,598 2590 3170,49 49 51,0 1 2,6358,10,[1 0],1615149485.448,Sun Mar 07 2021 15:38:05 GMT-0500 (Eastern Standard Time),0
