group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AHIJACUG7ZL9B,1366446834438,0,0,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,2958 11714 12103,50 49 51,0 1 2,26775,7,[0 1],1615166953.918,Sun Mar 07 2021 20:29:13 GMT-0500 (Eastern Standard Time),0
A,AHIJACUG7ZL9B,1366446834438,0,1,train,1,[0 1],[0 1],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],2 1 5,3831 5985 4976,50 50 50,0 1 2,14792,8,[0 1],1615166989.957,Sun Mar 07 2021 20:29:49 GMT-0500 (Eastern Standard Time),0
A,AHIJACUG7ZL9B,1366446834438,0,2,train,1,[0 1],[0 1],1 2 4 6,4,1 2 1,[4 0];[1 1];[6 0],0 1 0,1600 4856 3416,49 51 51,0 1 2,9872,1,[0 1],1615167004.757,Sun Mar 07 2021 20:30:04 GMT-0500 (Eastern Standard Time),0
A,AHIJACUG7ZL9B,1366446834438,0,3,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 0],2 1 0,1148 2412 3176,50 49 50,0 1 2,6736,3,[0 1],1615167014.349,Sun Mar 07 2021 20:30:14 GMT-0500 (Eastern Standard Time),0
A,AHIJACUG7ZL9B,1366446834438,0,4,train,1,[1 0],[1 0],1 2 5 6,4,2 3 1,[0 2];[1 1];[4 2],0 1 4,800 5185 4319,50 50 51,0 1 2,10304,5,[0 1],1615167027.955,Sun Mar 07 2021 20:30:27 GMT-0500 (Eastern Standard Time),0
A,AHIJACUG7ZL9B,1366446834438,0,5,train,1,[1 0],[1 0],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],0 1 0,768 3232 2807,50 51 49,0 1 2,6807,1,[0 1],1615167038.814,Sun Mar 07 2021 20:30:38 GMT-0500 (Eastern Standard Time),0
A,AHIJACUG7ZL9B,1366446834438,0,6,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],4 1 0,960 3680 3117,49 50 49,0 1 2,7757,5,[0 1],1615167049.517,Sun Mar 07 2021 20:30:49 GMT-0500 (Eastern Standard Time),0
A,AHIJACUG7ZL9B,1366446834438,0,7,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[1 1];[0 10],2 1 10,3065 5358 4464,50 50 49,0 1 2,12887,13,[0 1],1615167066.149,Sun Mar 07 2021 20:31:06 GMT-0500 (Eastern Standard Time),0
A,AHIJACUG7ZL9B,1366446834438,0,8,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 0],2 1 0,1248 4639 4049,50 49 50,0 1 2,9936,3,[0 1],1615167078.677,Sun Mar 07 2021 20:31:18 GMT-0500 (Eastern Standard Time),0
A,AHIJACUG7ZL9B,1366446834438,0,9,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,889 2575 6745,50 49 51,0 1 2,10209,7,[0 1],1615167090.924,Sun Mar 07 2021 20:31:30 GMT-0500 (Eastern Standard Time),0
A,AHIJACUG7ZL9B,1366446834438,0,10,train,1,[0 1],[0 1],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],2 1 5,1377 6071 6551,50 50 50,0 1 2,13999,8,[0 1],1615167108.452,Sun Mar 07 2021 20:31:48 GMT-0500 (Eastern Standard Time),0
A,AHIJACUG7ZL9B,1366446834438,0,11,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,1463 3345 6065,50 49 51,0 1 2,10873,7,[0 1],1615167121.883,Sun Mar 07 2021 20:32:01 GMT-0500 (Eastern Standard Time),0
