group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AKSJ3C5O3V9RB,1795232264861,0,0,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],0 1 5,9060 11397 8272,50 50 51,0 1 2,28729,6,[0 1],1615146007.324,Sun Mar 07 2021 14:40:07 GMT-0500 (Eastern Standard Time),0
A,AKSJ3C5O3V9RB,1795232264861,0,1,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[1 1];[5 6],0 1 6,8605 5466 4252,49 50 51,0 1 2,18323,7,[0 1],1615146030.792,Sun Mar 07 2021 14:40:30 GMT-0500 (Eastern Standard Time),0
A,AKSJ3C5O3V9RB,1795232264861,0,2,train,1,[0 1],[0 1],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],0 1 2,3871 5813 11073,49 49 51,0 1 2,20757,3,[0 1],1615146055.076,Sun Mar 07 2021 14:40:55 GMT-0500 (Eastern Standard Time),0
A,AKSJ3C5O3V9RB,1795232264861,0,3,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],0 1 10,3049 8583 6033,49 49 49,0 1 2,17665,11,[0 1],1615146077.685,Sun Mar 07 2021 14:41:17 GMT-0500 (Eastern Standard Time),0
A,AKSJ3C5O3V9RB,1795232264861,0,4,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],0 1 5,1432 3752 4733,50 50 51,0 1 2,9917,6,[0 1],1615146091.075,Sun Mar 07 2021 14:41:31 GMT-0500 (Eastern Standard Time),0
A,AKSJ3C5O3V9RB,1795232264861,0,5,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 0],0 1 8,3480 8550 4739,50 51 49,0 1 2,16769,9,[0 1],1615146111.023,Sun Mar 07 2021 14:41:51 GMT-0500 (Eastern Standard Time),0
A,AKSJ3C5O3V9RB,1795232264861,0,6,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[1 1];[8 0],4 1 8,3632 8378 5339,49 51 49,0 1 2,17349,13,[0 1],1615146130.984,Sun Mar 07 2021 14:42:10 GMT-0500 (Eastern Standard Time),0
A,AKSJ3C5O3V9RB,1795232264861,0,7,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[1 1];[0 10],4 1 0,6249 4576 5107,49 49 49,0 1 2,15932,5,[0 1],1615146151.147,Sun Mar 07 2021 14:42:31 GMT-0500 (Eastern Standard Time),0
A,AKSJ3C5O3V9RB,1795232264861,0,8,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],2 1 6,1188 4756 7511,50 50 51,0 1 2,13455,9,[0 1],1615146167.261,Sun Mar 07 2021 14:42:47 GMT-0500 (Eastern Standard Time),0
A,AKSJ3C5O3V9RB,1795232264861,0,9,train,1,[0 1],[0 1],1 2 5 6,4,1 3 1,[4 0];[1 1];[4 2],0 1 2,2246 3579 8335,49 49 51,0 1 2,14160,3,[0 1],1615146184.501,Sun Mar 07 2021 14:43:04 GMT-0500 (Eastern Standard Time),0
A,AKSJ3C5O3V9RB,1795232264861,0,10,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[1 1];[0 10],0 1 0,2937 4608 3663,50 49 49,0 1 2,11208,1,[0 1],1615146198.583,Sun Mar 07 2021 14:43:18 GMT-0500 (Eastern Standard Time),0
A,AKSJ3C5O3V9RB,1795232264861,0,11,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],2 1 6,1660 819 3797 4465,51 50 50 51,1 2 3,10741,9,[0 1],1615146212.152,Sun Mar 07 2021 14:43:32 GMT-0500 (Eastern Standard Time),0
A,AKSJ3C5O3V9RB,1795232264861,0,12,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],2 1 6,1263 2660 3035,50 50 51,0 1 2,6958,9,[0 1],1615146222.191,Sun Mar 07 2021 14:43:42 GMT-0500 (Eastern Standard Time),0
