group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1P3HHEXWNLJMP,1231404816460,0,0,train,1,[1 0],[0 1],1 3 4,3,3 2,[0 1];[9 10],1 10,6524 17938,49 49,0 1,24462,11,[1 0],1616001120.607,Wed Mar 17 2021 10:12:00 GMT-0700 (Pacific Daylight Time),0
A,A1P3HHEXWNLJMP,1231404816460,0,1,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,11409 13363,50 51,0 1,24772,15,[1 0],1616001154.357,Wed Mar 17 2021 10:12:34 GMT-0700 (Pacific Daylight Time),0
A,A1P3HHEXWNLJMP,1231404816460,0,2,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,22754 7967,51 49,0 1,30721,10,[1 0],1616001190.191,Wed Mar 17 2021 10:13:10 GMT-0700 (Pacific Daylight Time),0
A,A1P3HHEXWNLJMP,1231404816460,0,3,train,1,[1 0],[0 1],1 2 4,3,1 3,[1 5];[12 1],5 1,10808 17159,50 49,0 1,27967,6,[1 0],1616001229.855,Wed Mar 17 2021 10:13:49 GMT-0700 (Pacific Daylight Time),0
A,A1P3HHEXWNLJMP,1231404816460,0,4,train,1,[1 0],[0 1],1 2 4,3,1 1,[1 5];[5 3],5 3,10138 13116,50 50,0 1,23254,8,[1 0],1616001262.31,Wed Mar 17 2021 10:14:22 GMT-0700 (Pacific Daylight Time),0
A,A1P3HHEXWNLJMP,1231404816460,0,5,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,15289 14588,52 49,0 1,29877,14,[1 0],1616001296.79,Wed Mar 17 2021 10:14:56 GMT-0700 (Pacific Daylight Time),0
A,A1P3HHEXWNLJMP,1231404816460,0,6,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,20809 17293,51 49,0 1,38102,10,[1 0],1616001341.961,Wed Mar 17 2021 10:15:41 GMT-0700 (Pacific Daylight Time),0
A,A1P3HHEXWNLJMP,1231404816460,0,7,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,18439 25723,50 51,0 1,44162,15,[1 0],1616001394.935,Wed Mar 17 2021 10:16:34 GMT-0700 (Pacific Daylight Time),0
A,A1P3HHEXWNLJMP,1231404816460,0,8,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,978 19261,50 51,0 1,20239,15,[1 0],1616001419.22,Wed Mar 17 2021 10:16:59 GMT-0700 (Pacific Daylight Time),0
A,A1P3HHEXWNLJMP,1231404816460,0,9,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,739 3771,50 51,0 1,4510,15,[1 0],1616001427.054,Wed Mar 17 2021 10:17:07 GMT-0700 (Pacific Daylight Time),0
A,A1P3HHEXWNLJMP,1231404816460,0,10,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,805 2549,50 51,0 1,3354,15,[1 0],1616001433.663,Wed Mar 17 2021 10:17:13 GMT-0700 (Pacific Daylight Time),0
A,A1P3HHEXWNLJMP,1231404816460,0,11,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,33081 27179,52 49,0 1,60260,14,[1 0],1616001499.221,Wed Mar 17 2021 10:18:19 GMT-0700 (Pacific Daylight Time),0
A,A1P3HHEXWNLJMP,1231404816460,0,12,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,3461 3219,52 49,0 1,6680,14,[1 0],1616001511.85,Wed Mar 17 2021 10:18:31 GMT-0700 (Pacific Daylight Time),0
