group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A222R4PNCF08OF,1562263983681,0,0,train,1,[0 1],[1 0],1 2 4,3,2 2,[2 1];[1 10],2 1,5263 12732,49 49,0 1,17995,3,[1 0],1615754674.936,Sun Mar 14 2021 13:44:34 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,1,train,1,[1 0],[0 1],1 3 4,3,3 3,[0 1];[10 1],1 1,1393 6075,50 49,0 1,7468,2,[1 0],1615754694.462,Sun Mar 14 2021 13:44:54 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,2,train,1,[0 1],[1 0],1 2 4,3,1 2,[1 5];[1 10],1 1,848 9810,51 49,0 1,10658,2,[1 0],1615754716.535,Sun Mar 14 2021 13:45:16 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,3,train,1,[1 0],[0 1],1 3 4,3,3 3,[0 1];[10 1],1 1,2009 5616,50 49,0 1,7625,2,[1 0],1615754743.874,Sun Mar 14 2021 13:45:43 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,4,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,4876 19862,52 51,0 1,24738,10,[1 0],1615754854.857,Sun Mar 14 2021 13:47:34 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,5,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,2020 14076,52 51,0 1,16096,10,[1 0],1615754879.602,Sun Mar 14 2021 13:47:59 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,6,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,2133 27667,51 49,0 1,29800,15,[1 0],1615754930.782,Sun Mar 14 2021 13:48:50 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,7,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,6379 10456,51 49,0 1,16835,15,[1 0],1615754954.153,Sun Mar 14 2021 13:49:14 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,8,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,15434 4086,51 49,0 1,19520,15,[1 0],1615754978.607,Sun Mar 14 2021 13:49:38 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,9,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,1629 3330,51 49,0 1,4959,15,[1 0],1615754987.183,Sun Mar 14 2021 13:49:47 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,10,train,1,[0 1],[1 0],1 3 4,3,4 1,[1 0];[1 11],1 1,10824 4467,52 50,0 1,15291,2,[1 0],1615755034.556,Sun Mar 14 2021 13:50:34 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,11,train,1,[1 0],[0 1],1 3 4,3,4 3,[1 0];[10 1],0 1,3274 6107,52 49,0 1,9381,1,[1 0],1615755074.752,Sun Mar 14 2021 13:51:14 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,12,train,1,[1 0],[0 1],1 3 4,3,4 1,[1 0];[1 11],0 11,4897 13360,52 50,0 1,18257,11,[1 0],1615755097.122,Sun Mar 14 2021 13:51:37 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,13,train,1,[0 1],[1 0],1 3 4,3,4 3,[1 0];[10 1],1 10,7171 5242,52 49,0 1,12413,11,[1 0],1615755113.556,Sun Mar 14 2021 13:51:53 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,14,train,1,[1 0],[0 1],1 2 4,3,1 1,[1 5];[5 3],5 3,11962 5608,51 50,0 1,17570,8,[1 0],1615755145.233,Sun Mar 14 2021 13:52:25 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,15,train,1,[1 0],[0 1],1 2 4,3,2 3,[2 1];[12 1],1 1,5064 7535,49 51,0 1,12599,2,[1 0],1615755176.336,Sun Mar 14 2021 13:52:56 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,16,train,1,[0 1],[1 0],1 2 4,3,2 1,[2 1];[5 3],2 5,1426 12063,49 50,0 1,13489,7,[1 0],1615755202.988,Sun Mar 14 2021 13:53:22 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,17,train,1,[0 1],[1 0],1 2 4,3,2 2,[2 1];[1 10],2 1,1294 3187,49 49,0 1,4481,3,[1 0],1615755224.113,Sun Mar 14 2021 13:53:44 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,18,train,1,[1 0],[0 1],1 3 4,3,3 3,[0 1];[10 1],1 1,1334 8701,50 49,0 1,10035,2,[1 0],1615755248.798,Sun Mar 14 2021 13:54:08 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,19,train,1,[0 1],[1 0],1 3 4,3,3 1,[0 1];[1 11],0 1,1502 4455,50 50,0 1,5957,1,[1 0],1615755270.916,Sun Mar 14 2021 13:54:30 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,20,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,12132 4059,49 51,0 1,16191,14,[1 0],1615755290.128,Sun Mar 14 2021 13:54:50 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,21,train,1,[1 0],[0 1],1 3 4,3,3 2,[0 1];[9 10],1 10,2910 2819,50 51,0 1,5729,11,[1 0],1615755315.795,Sun Mar 14 2021 13:55:15 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,22,train,1,[0 1],[1 0],1 2 4,3,1 3,[1 5];[12 1],1 12,6227 35673 5513,40 51 51,1 2,47413,13,[1 0],1615755379.774,Sun Mar 14 2021 13:56:19 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,23,train,1,[0 1],[1 0],1 2 4,3,1 3,[1 5];[12 1],1 12,10957 4503,51 51,0 1,15460,13,[1 0],1615755399.537,Sun Mar 14 2021 13:56:39 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,24,train,1,[0 1],[1 0],1 2 4,3,1 3,[1 5];[12 1],1 12,1261 2724,51 51,0 1,3985,13,[1 0],1615755407.335,Sun Mar 14 2021 13:56:47 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,25,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,712 3528,49 51,0 1,4240,14,[1 0],1615755424.89,Sun Mar 14 2021 13:57:04 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,26,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,751 3015,51 49,0 1,3766,15,[1 0],1615755479.508,Sun Mar 14 2021 13:57:59 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,27,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,878 2760,51 49,0 1,3638,15,[1 0],1615755486.976,Sun Mar 14 2021 13:58:06 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,28,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,874 2158,51 49,0 1,3032,15,[1 0],1615755493.421,Sun Mar 14 2021 13:58:13 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,29,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,557 2688,49 51,0 1,3245,14,[1 0],1615755501.666,Sun Mar 14 2021 13:58:21 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,30,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,2390 2821,51 49,0 1,5211,15,[1 0],1615755510.772,Sun Mar 14 2021 13:58:30 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,31,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,628 3918,51 49,0 1,4546,15,[1 0],1615755519.854,Sun Mar 14 2021 13:58:39 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,32,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,4284 5270,49 51,0 1,9554,14,[1 0],1615755533.268,Sun Mar 14 2021 13:58:53 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,33,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,574 2398,49 51,0 1,2972,14,[1 0],1615755540.83,Sun Mar 14 2021 13:59:00 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,34,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,1131 2737,49 51,0 1,3868,14,[1 0],1615755547.546,Sun Mar 14 2021 13:59:07 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,35,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,1209 1965,51 49,0 1,3174,15,[1 0],1615755553.906,Sun Mar 14 2021 13:59:13 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,36,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,476 2241,49 51,0 1,2717,14,[1 0],1615755560.263,Sun Mar 14 2021 13:59:20 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,37,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,1287 2042,49 51,0 1,3329,14,[1 0],1615755566.537,Sun Mar 14 2021 13:59:26 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,38,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,1787 2321,51 49,0 1,4108,15,[1 0],1615755574.027,Sun Mar 14 2021 13:59:34 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,39,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,1111 2680,51 49,0 1,3791,15,[1 0],1615755580.787,Sun Mar 14 2021 13:59:40 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,40,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,613 2641,51 49,0 1,3254,15,[1 0],1615755587.124,Sun Mar 14 2021 13:59:47 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,41,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,543 2337,51 49,0 1,2880,15,[1 0],1615755593.103,Sun Mar 14 2021 13:59:53 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,42,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,770 2292,49 51,0 1,3062,14,[1 0],1615755598.956,Sun Mar 14 2021 13:59:58 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,43,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,2545 2628,49 51,0 1,5173,14,[1 0],1615755607.125,Sun Mar 14 2021 14:00:07 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,44,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,726 2440,51 49,0 1,3166,15,[1 0],1615755613.747,Sun Mar 14 2021 14:00:13 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,45,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,672 2271,51 49,0 1,2943,15,[1 0],1615755619.738,Sun Mar 14 2021 14:00:19 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,46,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,444 2456,51 49,0 1,2900,15,[1 0],1615755625.653,Sun Mar 14 2021 14:00:25 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,47,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,644 1853,49 51,0 1,2497,14,[1 0],1615755632.017,Sun Mar 14 2021 14:00:32 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,48,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,1191 2247,51 49,0 1,3438,15,[1 0],1615755639.262,Sun Mar 14 2021 14:00:39 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,49,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,471 1781,51 49,0 1,2252,15,[1 0],1615755644.316,Sun Mar 14 2021 14:00:44 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,50,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,361 2057,49 51,0 1,2418,14,[1 0],1615755650.329,Sun Mar 14 2021 14:00:50 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,51,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,1399 2031,49 51,0 1,3430,14,[1 0],1615755657.06,Sun Mar 14 2021 14:00:57 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,52,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,1040 1956,49 51,0 1,2996,14,[1 0],1615755664.429,Sun Mar 14 2021 14:01:04 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,53,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,522 1897,49 51,0 1,2419,14,[1 0],1615755669.297,Sun Mar 14 2021 14:01:09 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,54,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,503 2168,49 51,0 1,2671,14,[1 0],1615755674.834,Sun Mar 14 2021 14:01:14 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,55,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,1773 2113,51 49,0 1,3886,15,[1 0],1615755681.871,Sun Mar 14 2021 14:01:21 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,56,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,3098 2575,51 49,0 1,5673,15,[1 0],1615755690.607,Sun Mar 14 2021 14:01:30 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,57,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,423 2248,51 49,0 1,2671,15,[1 0],1615755695.948,Sun Mar 14 2021 14:01:35 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,58,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,494 2086,49 51,0 1,2580,14,[1 0],1615755700.956,Sun Mar 14 2021 14:01:40 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,59,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,504 1997,49 51,0 1,2501,14,[1 0],1615755705.969,Sun Mar 14 2021 14:01:45 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,0,0,test,1,[1 1],[1 1],1 2 4,3,2 3,[2 1];[12 1],3 13,382 2113,49 51,0 1,2495,16,[1 0],1615755711.761,Sun Mar 14 2021 14:01:51 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,1,0,train,1,[0 1],[0 1],1 3 4,3,4 1,[0 1];[11 1],1 1,1820 34551,49 49,0 1,36371,2,[0 1],1615755823.387,Sun Mar 14 2021 14:03:43 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,1,1,train,1,[0 1],[0 1],1 3 4,3,4 2,[0 1];[10 9],1 9,1907 2856,49 50,0 1,4763,10,[0 1],1615755851.714,Sun Mar 14 2021 14:04:11 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,1,2,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,1523 3353,49 51,0 1,4876,11,[0 1],1615755887.616,Sun Mar 14 2021 14:04:47 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,1,3,train,1,[1 0],[1 0],1 2 4,3,1 3,[5 1];[1 12],5 1,1235 9007,50 49,0 1,10242,6,[0 1],1615755918.159,Sun Mar 14 2021 14:05:18 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,1,4,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,2276 9074,50 50,0 1,11350,2,[0 1],1615755944.041,Sun Mar 14 2021 14:05:44 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,1,5,train,1,[1 0],[1 0],1 2 4,3,1 1,[5 1];[3 5],5 3,11033 2758,50 51,0 1,13791,8,[0 1],1615755972.428,Sun Mar 14 2021 14:06:12 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,1,6,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,1170 10309,51 49,0 1,11479,12,[0 1],1615756003.786,Sun Mar 14 2021 14:06:43 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,1,7,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,3545 16543,52 49,0 1,20088,14,[0 1],1615756036.213,Sun Mar 14 2021 14:07:16 GMT-0700 (Pacific Daylight Time),0
A,A222R4PNCF08OF,1562263983681,1,8,train,1,[0 1],[0 1],1 2 4,3,2 2,[1 2];[10 1],2 1,41645 2937,52 50,0 1,44582,3,[0 1],1615756098.324,Sun Mar 14 2021 14:08:18 GMT-0700 (Pacific Daylight Time),0
