group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2683ZVNWI119A,1791685514537,0,0,train,1,[0 1],[0 1],1 2 4,3,2 2,[1 2];[10 1],2 1,4478 15243,49 50,0 1,19721,3,[0 1],1615784033.263,Mon Mar 15 2021 07:53:53 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,1,train,1,[1 0],[1 0],1 3 4,3,4 3,[0 1];[1 10],0 1,32878 15352,51 49,0 1,48230,1,[0 1],1615784108.773,Mon Mar 15 2021 07:55:08 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,2,train,1,[0 1],[0 1],1 2 4,3,2 2,[1 2];[10 1],2 1,4759 15119,49 50,0 1,19878,3,[0 1],1615784140.111,Mon Mar 15 2021 07:55:40 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,3,train,1,[1 0],[1 0],1 3 4,3,4 1,[0 1];[11 1],0 11,1325 19283,51 50,0 1,20608,11,[0 1],1615784173.094,Mon Mar 15 2021 07:56:13 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,4,train,1,[1 0],[1 0],1 3 4,3,3 2,[1 0];[10 9],1 10,4491 7868,52 51,0 1,12359,11,[0 1],1615784192.652,Mon Mar 15 2021 07:56:32 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,5,train,1,[1 0],[1 0],1 2 4,3,1 3,[5 1];[1 12],5 1,3793 6496,50 51,0 1,10289,6,[0 1],1615784206.979,Mon Mar 15 2021 07:56:46 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,6,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,3742 5456,51 49,0 1,9198,11,[0 1],1615784234.225,Mon Mar 15 2021 07:57:14 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,7,train,1,[1 0],[1 0],1 3 4,3,4 1,[0 1];[11 1],0 11,2930 5535,51 50,0 1,8465,11,[0 1],1615784248.354,Mon Mar 15 2021 07:57:28 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,8,train,1,[1 0],[1 0],1 3 4,3,4 1,[0 1];[11 1],0 11,2096 3170,51 50,0 1,5266,11,[0 1],1615784260.308,Mon Mar 15 2021 07:57:40 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,9,train,1,[1 0],[1 0],1 2 4,3,1 1,[5 1];[3 5],5 3,796 5517,50 49,0 1,6313,8,[0 1],1615784271.48,Mon Mar 15 2021 07:57:51 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,10,train,1,[0 1],[0 1],1 3 4,3,3 1,[1 0];[11 1],0 1,2732 5943,52 50,0 1,8675,1,[0 1],1615784283.803,Mon Mar 15 2021 07:58:03 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,11,train,1,[0 1],[0 1],1 3 4,3,4 1,[0 1];[11 1],1 1,1461 4908,51 50,0 1,6369,2,[0 1],1615784293.47,Mon Mar 15 2021 07:58:13 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,12,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,3365 3563,51 49,0 1,6928,11,[0 1],1615784306.011,Mon Mar 15 2021 07:58:26 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,13,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,4630 4033 619,52 32 50,0 2,9282,12,[0 1],1615784319.518,Mon Mar 15 2021 07:58:39 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,14,train,1,[0 1],[0 1],1 2 4,3,1 1,[5 1];[3 5],1 5,6326 5851,50 49,0 1,12177,6,[0 1],1615784338.14,Mon Mar 15 2021 07:58:58 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,15,train,1,[1 0],[1 0],1 2 4,3,1 3,[5 1];[1 12],5 1,2852 4749,50 51,0 1,7601,6,[0 1],1615784348.932,Mon Mar 15 2021 07:59:08 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,16,train,1,[1 0],[1 0],1 2 4,3,1 3,[5 1];[1 12],5 1,3375 9924,50 51,0 1,13299,6,[0 1],1615784367.158,Mon Mar 15 2021 07:59:27 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,17,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,3398 3347,50 51,0 1,6745,13,[0 1],1615784378.802,Mon Mar 15 2021 07:59:38 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,18,train,1,[1 0],[1 0],1 2 4,3,1 1,[5 1];[3 5],5 3,1063 3388,50 49,0 1,4451,8,[0 1],1615784386.099,Mon Mar 15 2021 07:59:46 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,19,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,1177 3113,50 51,0 1,4290,13,[0 1],1615784396.122,Mon Mar 15 2021 07:59:56 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,20,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,408 2389,50 51,0 1,2797,13,[0 1],1615784401.553,Mon Mar 15 2021 08:00:01 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,21,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,568 2795,49 51,0 1,3363,14,[0 1],1615784408.064,Mon Mar 15 2021 08:00:08 GMT+0300 (East Africa Time),0
A,A2683ZVNWI119A,1791685514537,0,22,train,1,[1 0],[1 0],1 3 4,3,4 1,[0 1];[11 1],0 11,1458 4789,51 50,0 1,6247,11,[0 1],1615784418.231,Mon Mar 15 2021 08:00:18 GMT+0300 (East Africa Time),0
