group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2M926W9I0CP93,1856929321442,0,0,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,3921 19172,100 99,0 1,23093,15,[1 0],1615771369.332,Sun Mar 14 2021 21:22:49 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,1,train,1,[1 0],[0 1],1 2 4,3,2 2,[2 1];[1 10],1 10,2571 6668,99 99,0 1,9239,11,[1 0],1615771383.328,Sun Mar 14 2021 21:23:03 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,2,train,1,[1 0],[0 1],1 2 4,3,2 2,[2 1];[1 10],1 10,1073 4307,99 99,0 1,5380,11,[1 0],1615771394.007,Sun Mar 14 2021 21:23:14 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,3,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,4787 4867,98 97,0 1,9654,10,[1 0],1615771410.494,Sun Mar 14 2021 21:23:30 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,4,train,1,[0 1],[1 0],1 3 4,3,3 2,[0 1];[9 10],0 9,1281 6472,97 97,0 1,7753,9,[1 0],1615771425.719,Sun Mar 14 2021 21:23:45 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,5,train,1,[1 0],[0 1],1 2 4,3,2 2,[2 1];[1 10],1 10,2102 7488 7257,18 99 99,1 2,16847,11,[1 0],1615771449.23,Sun Mar 14 2021 21:24:09 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,6,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,4769 3973,98 97,0 1,8742,10,[1 0],1615771464.454,Sun Mar 14 2021 21:24:24 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,7,train,1,[0 1],[1 0],1 3 4,3,4 3,[1 0];[10 1],1 10,2887 5533,98 98,0 1,8420,11,[1 0],1615771481.047,Sun Mar 14 2021 21:24:41 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,8,train,1,[1 0],[0 1],1 2 4,3,2 3,[2 1];[12 1],1 1,2879 6043,99 97,0 1,8922,2,[1 0],1615771493.826,Sun Mar 14 2021 21:24:53 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,9,train,1,[0 1],[1 0],1 3 4,3,4 3,[1 0];[10 1],1 10,1195 3046,98 98,0 1,4241,11,[1 0],1615771502.727,Sun Mar 14 2021 21:25:02 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,10,train,1,[0 1],[1 0],1 3 4,3,4 3,[1 0];[10 1],1 10,1324 2779,98 98,0 1,4103,11,[1 0],1615771512.918,Sun Mar 14 2021 21:25:12 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,11,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,3824 3772,100 99,0 1,7596,15,[1 0],1615771524.66,Sun Mar 14 2021 21:25:24 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,12,train,1,[1 0],[0 1],1 2 4,3,2 3,[2 1];[12 1],1 1,3432 5743,99 97,0 1,9175,2,[1 0],1615771537.337,Sun Mar 14 2021 21:25:37 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,13,train,1,[0 1],[1 0],1 3 4,3,3 2,[0 1];[9 10],0 9,908 2801,97 97,0 1,3709,9,[1 0],1615771545.855,Sun Mar 14 2021 21:25:45 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,14,train,1,[1 0],[0 1],1 2 4,3,2 2,[2 1];[1 10],1 10,2460 2721,99 99,0 1,5181,11,[1 0],1615771555.193,Sun Mar 14 2021 21:25:55 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,15,train,1,[0 1],[1 0],1 2 4,3,1 2,[1 5];[1 10],1 1,4044 5479,100 99,0 1,9523,2,[1 0],1615771567.949,Sun Mar 14 2021 21:26:07 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,16,train,1,[1 0],[0 1],1 3 4,3,3 1,[0 1];[1 11],1 11,4347 4948,97 99,0 1,9295,12,[1 0],1615771581.449,Sun Mar 14 2021 21:26:21 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,17,train,1,[1 0],[0 1],1 3 4,3,3 2,[0 1];[9 10],1 10,4421 3973,97 97,0 1,8394,11,[1 0],1615771599.336,Sun Mar 14 2021 21:26:39 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,18,train,1,[0 1],[1 0],1 3 4,3,4 3,[1 0];[10 1],1 10,3363 3429,98 98,0 1,6792,11,[1 0],1615771610.929,Sun Mar 14 2021 21:26:50 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,19,train,1,[0 1],[1 0],1 2 4,3,2 1,[2 1];[5 3],2 5,1466 2906,99 98,0 1,4372,7,[1 0],1615771619.643,Sun Mar 14 2021 21:26:59 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,20,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,1728 4042,98 97,0 1,5770,10,[1 0],1615771631.735,Sun Mar 14 2021 21:27:11 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,21,train,1,[1 0],[0 1],1 2 4,3,1 3,[1 5];[12 1],5 1,2605 3998,100 97,0 1,6603,6,[1 0],1615771642.266,Sun Mar 14 2021 21:27:22 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,22,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,4596 3599,99 97,0 1,8195,14,[1 0],1615771664.125,Sun Mar 14 2021 21:27:44 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,23,train,1,[1 0],[0 1],1 2 4,3,2 3,[2 1];[12 1],1 1,2092 25238,99 97,0 1,27330,2,[1 0],1615771695.712,Sun Mar 14 2021 21:28:15 GMT-0400 (Eastern Daylight Time),0
A,A2M926W9I0CP93,1856929321442,0,24,train,1,[1 0],[0 1],1 2 4,3,2 1,[2 1];[5 3],1 3,8140 4106,99 98,0 1,12246,4,[1 0],1615771710.287,Sun Mar 14 2021 21:28:30 GMT-0400 (Eastern Daylight Time),0
