group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2MPA2HU1DF1ZZ,1505397485443,0,0,train,1,[0 1],[1 0],1 2 4,3,2 2,[2 1];[1 10],2 1,8256 22336,99 99,0 1,30592,3,[1 0],1616001646.418,Wed Mar 17 2021 13:20:46 GMT-0400 (Eastern Daylight Time),0
A,A2MPA2HU1DF1ZZ,1505397485443,0,1,train,1,[1 0],[0 1],1 3 4,3,4 1,[1 0];[1 11],0 11,9216 18719,100 97,0 1,27935,11,[1 0],1616001689.329,Wed Mar 17 2021 13:21:29 GMT-0400 (Eastern Daylight Time),0
A,A2MPA2HU1DF1ZZ,1505397485443,0,2,train,1,[0 1],[1 0],1 3 4,3,3 2,[0 1];[9 10],0 9,2016 9921,97 98,0 1,11937,9,[1 0],1616001713.809,Wed Mar 17 2021 13:21:53 GMT-0400 (Eastern Daylight Time),0
A,A2MPA2HU1DF1ZZ,1505397485443,0,3,train,1,[0 1],[1 0],1 2 4,3,1 2,[1 5];[1 10],1 1,4799 9089,98 99,0 1,13888,2,[1 0],1616001734.593,Wed Mar 17 2021 13:22:14 GMT-0400 (Eastern Daylight Time),0
A,A2MPA2HU1DF1ZZ,1505397485443,0,4,train,1,[0 1],[1 0],1 2 4,3,2 1,[2 1];[5 3],2 5,5408 8785,99 97,0 1,14193,7,[1 0],1616001755.618,Wed Mar 17 2021 13:22:35 GMT-0400 (Eastern Daylight Time),0
A,A2MPA2HU1DF1ZZ,1505397485443,0,5,train,1,[1 0],[0 1],1 3 4,3,3 1,[0 1];[1 11],1 11,4720 5872,97 97,0 1,10592,12,[1 0],1616001771.874,Wed Mar 17 2021 13:22:51 GMT-0400 (Eastern Daylight Time),0
A,A2MPA2HU1DF1ZZ,1505397485443,0,6,train,1,[0 1],[1 0],1 2 4,3,1 3,[1 5];[12 1],1 12,10401 6831,98 98,0 1,17232,13,[1 0],1616001796.098,Wed Mar 17 2021 13:23:16 GMT-0400 (Eastern Daylight Time),0
A,A2MPA2HU1DF1ZZ,1505397485443,0,7,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,5791 10608,100 98,0 1,16399,10,[1 0],1616001817.041,Wed Mar 17 2021 13:23:37 GMT-0400 (Eastern Daylight Time),0
A,A2MPA2HU1DF1ZZ,1505397485443,0,8,train,1,[0 1],[1 0],1 3 4,3,4 3,[1 0];[10 1],1 10,3024 4528,100 99,0 1,7552,11,[1 0],1616001831.632,Wed Mar 17 2021 13:23:51 GMT-0400 (Eastern Daylight Time),0
A,A2MPA2HU1DF1ZZ,1505397485443,0,9,train,1,[0 1],[1 0],1 3 4,3,4 3,[1 0];[10 1],1 10,5488 5520,100 99,0 1,11008,11,[1 0],1616001849.009,Wed Mar 17 2021 13:24:09 GMT-0400 (Eastern Daylight Time),0
