group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2PSR3CMNR1R9X,1905305826741,0,0,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,3648 6480,98 99,0 1,10128,13,[0 1],1615767581.599,Sun Mar 14 2021 20:19:41 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,1,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1343 3024,98 98,0 1,4367,15,[0 1],1615767589.47,Sun Mar 14 2021 20:19:49 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,2,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,383 2224,98 98,0 1,2607,2,[0 1],1615767594.814,Sun Mar 14 2021 20:19:54 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,3,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,367 1952,98 98,0 1,2319,2,[0 1],1615767600.526,Sun Mar 14 2021 20:20:00 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,4,train,1,[1 0],[1 0],1 2 4,3,2 1,[1 2];[3 5],1 3,352 2848,99 97,0 1,3200,4,[0 1],1615767607.486,Sun Mar 14 2021 20:20:07 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,5,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,304 1776,98 98,0 1,2080,2,[0 1],1615767611.726,Sun Mar 14 2021 20:20:11 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,6,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,295 1817,98 98,0 1,2112,2,[0 1],1615767616.462,Sun Mar 14 2021 20:20:16 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,7,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,240 1712,98 98,0 1,1952,2,[0 1],1615767620.638,Sun Mar 14 2021 20:20:20 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,8,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,3296 2432,97 98,0 1,5728,12,[0 1],1615767628.958,Sun Mar 14 2021 20:20:28 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,9,train,1,[1 0],[1 0],1 2 4,3,2 2,[1 2];[10 1],1 10,384 2001 287 480 64,99 100 32 100 98,0 4,3216,11,[0 1],1615767634.382,Sun Mar 14 2021 20:20:34 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,10,train,1,[0 1],[0 1],1 3 4,3,4 1,[0 1];[11 1],1 1,448 1952,100 98,0 1,2400,2,[0 1],1615767638.782,Sun Mar 14 2021 20:20:38 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,11,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,304 1552 224,98 32 98,0 2,2080,2,[0 1],1615767642.574,Sun Mar 14 2021 20:20:42 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,12,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,160 1392,98 98,0 1,1552,15,[0 1],1615767645.63,Sun Mar 14 2021 20:20:45 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,13,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,160 1265,98 98,0 1,1425,2,[0 1],1615767648.334,Sun Mar 14 2021 20:20:48 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,14,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,96 1088,98 98,0 1,1184,15,[0 1],1615767650.782,Sun Mar 14 2021 20:20:50 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,15,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,16 1281,98 98,0 1,1297,15,[0 1],1615767653.41,Sun Mar 14 2021 20:20:53 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,16,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,190 1312,98 98,0 1,1502,2,[0 1],1615767656.222,Sun Mar 14 2021 20:20:56 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,17,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,176 1328,98 98,0 1,1504,15,[0 1],1615767659.134,Sun Mar 14 2021 20:20:59 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,18,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,95 1344,98 98,0 1,1439,2,[0 1],1615767662.062,Sun Mar 14 2021 20:21:02 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,19,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,127 1200,98 98,0 1,1327,15,[0 1],1615767664.67,Sun Mar 14 2021 20:21:04 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,20,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,81 1167,98 98,0 1,1248,15,[0 1],1615767667.278,Sun Mar 14 2021 20:21:07 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,21,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,80 1184,98 98,0 1,1264,15,[0 1],1615767669.79,Sun Mar 14 2021 20:21:09 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,22,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,128 1072,98 98,0 1,1200,15,[0 1],1615767673.402,Sun Mar 14 2021 20:21:13 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,23,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,960 1344,98 98,0 1,2304,15,[0 1],1615767691.534,Sun Mar 14 2021 20:21:31 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,24,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,144 1311,98 98,0 1,1455,15,[0 1],1615767694.35,Sun Mar 14 2021 20:21:34 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,25,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,8 1184,98 98,0 1,1192,15,[0 1],1615767696.894,Sun Mar 14 2021 20:21:36 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,26,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,220 16 1376 16,32 98 32 98,1 3,1628,2,[0 1],1615767699.869,Sun Mar 14 2021 20:21:39 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,27,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,16 1392 16,98 32 98,0 2,1424,2,[0 1],1615767702.686,Sun Mar 14 2021 20:21:42 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,28,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,32 1344 31,98 32 98,0 2,1407,2,[0 1],1615767705.518,Sun Mar 14 2021 20:21:45 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,29,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,32 1104,98 98,0 1,1136,15,[0 1],1615767707.95,Sun Mar 14 2021 20:21:47 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,30,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,112 1136,98 98,0 1,1248,2,[0 1],1615767710.478,Sun Mar 14 2021 20:21:50 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,31,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,96 1136,98 98,0 1,1232,2,[0 1],1615767713.006,Sun Mar 14 2021 20:21:53 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,32,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,32 1168,98 98,0 1,1200,2,[0 1],1615767715.615,Sun Mar 14 2021 20:21:55 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,33,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,64 1184,98 98,0 1,1248,15,[0 1],1615767718.067,Sun Mar 14 2021 20:21:58 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,34,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,80 1183,98 98,0 1,1263,2,[0 1],1615767720.647,Sun Mar 14 2021 20:22:00 GMT-0400 (Eastern Daylight Time),2
A,A2PSR3CMNR1R9X,1905305826741,0,35,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,160 1215,98 98,0 1,1375,2,[0 1],1615767723.246,Sun Mar 14 2021 20:22:03 GMT-0400 (Eastern Daylight Time),2
