group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2TLN8489YGY81,1449755551387,0,0,train,1,[1 0],[1 0],1 3 4,3,3 2,[1 0];[10 9],1 10,9954 13759,49 50,0 1,23713,11,[0 1],1615768058.138,Sun Mar 14 2021 20:27:38 GMT-0400 (Eastern Daylight Time),0
A,A2TLN8489YGY81,1449755551387,0,1,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,5092 8961,50 51,0 1,14053,15,[0 1],1615768077.582,Sun Mar 14 2021 20:27:57 GMT-0400 (Eastern Daylight Time),0
A,A2TLN8489YGY81,1449755551387,0,2,train,1,[0 1],[0 1],1 3 4,3,4 1,[0 1];[11 1],1 1,1677 7900,51 49,0 1,9577,2,[0 1],1615768091.092,Sun Mar 14 2021 20:28:11 GMT-0400 (Eastern Daylight Time),0
A,A2TLN8489YGY81,1449755551387,0,3,train,1,[1 0],[1 0],1 2 4,3,2 3,[1 2];[1 12],1 1,3126 5168,52 49,0 1,8294,2,[0 1],1615768103.018,Sun Mar 14 2021 20:28:23 GMT-0400 (Eastern Daylight Time),0
A,A2TLN8489YGY81,1449755551387,0,4,train,1,[1 0],[1 0],1 2 4,3,2 1,[1 2];[3 5],1 3,9466 6162,52 50,0 1,15628,4,[0 1],1615768121.335,Sun Mar 14 2021 20:28:41 GMT-0400 (Eastern Daylight Time),0
A,A2TLN8489YGY81,1449755551387,0,5,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,3926 6029,51 51,0 1,9955,11,[0 1],1615768134.882,Sun Mar 14 2021 20:28:54 GMT-0400 (Eastern Daylight Time),0
A,A2TLN8489YGY81,1449755551387,0,6,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,4852 2891 2665,50 32 51,0 2,10408,2,[0 1],1615768147.532,Sun Mar 14 2021 20:29:07 GMT-0400 (Eastern Daylight Time),0
A,A2TLN8489YGY81,1449755551387,0,7,train,1,[1 0],[1 0],1 2 4,3,1 3,[5 1];[1 12],5 1,5109 2396 3382,50 32 49,0 2,10887,6,[0 1],1615768162.144,Sun Mar 14 2021 20:29:22 GMT-0400 (Eastern Daylight Time),0
A,A2TLN8489YGY81,1449755551387,0,8,train,1,[1 0],[1 0],1 3 4,3,3 2,[1 0];[10 9],1 10,4059 3262,49 50,0 1,7321,11,[0 1],1615768174.261,Sun Mar 14 2021 20:29:34 GMT-0400 (Eastern Daylight Time),0
A,A2TLN8489YGY81,1449755551387,0,9,train,1,[0 1],[0 1],1 2 4,3,2 1,[1 2];[3 5],2 5,7996 5529,52 50,0 1,13525,7,[0 1],1615768191.549,Sun Mar 14 2021 20:29:51 GMT-0400 (Eastern Daylight Time),0
