group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3EC3OP6U52JYC,1687754189366,0,0,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,3271 10987,51 50,0 1,14258,2,[0 1],1615753614.654,Sun Mar 14 2021 13:26:54 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,1,train,1,[1 0],[1 0],1 3 4,3,4 3,[0 1];[1 10],0 1,2107 4465,52 51,0 1,6572,1,[0 1],1615753626.854,Sun Mar 14 2021 13:27:06 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,2,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,1257 4022,50 50,0 1,5279,9,[0 1],1615753638.656,Sun Mar 14 2021 13:27:18 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,3,train,1,[0 1],[0 1],1 2 4,3,1 1,[5 1];[3 5],1 5,659 4752,51 51,0 1,5411,6,[0 1],1615753651.748,Sun Mar 14 2021 13:27:31 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,4,train,1,[1 0],[1 0],1 2 4,3,2 1,[1 2];[3 5],1 3,2586 4936,49 51,0 1,7522,4,[0 1],1615753662.287,Sun Mar 14 2021 13:27:42 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,5,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,3200 3533,50 50,0 1,6733,9,[0 1],1615753673.886,Sun Mar 14 2021 13:27:53 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,6,train,1,[0 1],[0 1],1 3 4,3,4 2,[0 1];[10 9],1 9,6528 8302,52 50,0 1,14830,10,[0 1],1615753693.408,Sun Mar 14 2021 13:28:13 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,7,train,1,[1 0],[1 0],1 3 4,3,4 2,[0 1];[10 9],0 10,3593 3476,52 50,0 1,7069,10,[0 1],1615753704.382,Sun Mar 14 2021 13:28:24 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,8,train,1,[1 0],[1 0],1 2 4,3,2 1,[1 2];[3 5],1 3,2786 4232,49 51,0 1,7018,4,[0 1],1615753714.183,Sun Mar 14 2021 13:28:34 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,9,train,1,[0 1],[0 1],1 2 4,3,1 1,[5 1];[3 5],1 5,3209 4905,51 51,0 1,8114,6,[0 1],1615753725.217,Sun Mar 14 2021 13:28:45 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,10,train,1,[0 1],[0 1],1 3 4,3,4 2,[0 1];[10 9],1 9,2416 2905,52 50,0 1,5321,10,[0 1],1615753733.033,Sun Mar 14 2021 13:28:53 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,11,train,1,[1 0],[1 0],1 3 4,3,4 2,[0 1];[10 9],0 10,2443 2836,52 50,0 1,5279,10,[0 1],1615753741.48,Sun Mar 14 2021 13:29:01 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,12,train,1,[1 0],[1 0],1 3 4,3,4 2,[0 1];[10 9],0 10,3277 2792,52 50,0 1,6069,10,[0 1],1615753750.408,Sun Mar 14 2021 13:29:10 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,13,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,1776 4772,51 50,0 1,6548,2,[0 1],1615753760.328,Sun Mar 14 2021 13:29:20 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,14,train,1,[1 0],[1 0],1 3 4,3,3 2,[1 0];[10 9],1 10,2671 3086,50 50,0 1,5757,11,[0 1],1615753770.257,Sun Mar 14 2021 13:29:30 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,15,train,1,[1 0],[1 0],1 2 4,3,1 3,[5 1];[1 12],5 1,1530 5122,51 49,0 1,6652,6,[0 1],1615753779.762,Sun Mar 14 2021 13:29:39 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,16,train,1,[1 0],[1 0],1 2 4,3,1 3,[5 1];[1 12],5 1,2102 5523,51 49,0 1,7625,6,[0 1],1615753789.997,Sun Mar 14 2021 13:29:49 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,17,train,1,[1 0],[1 0],1 2 4,3,1 1,[5 1];[3 5],5 3,2915 3593,51 51,0 1,6508,8,[0 1],1615753799.524,Sun Mar 14 2021 13:29:59 GMT-0700 (Pacific Daylight Time),0
A,A3EC3OP6U52JYC,1687754189366,0,18,train,1,[1 0],[1 0],1 2 4,3,1 1,[5 1];[3 5],5 3,2977 3076,51 51,0 1,6053,8,[0 1],1615753808.023,Sun Mar 14 2021 13:30:08 GMT-0700 (Pacific Daylight Time),0
