group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3HW4QDJB63OQ2,1125095323888,0,0,train,1,[0 1],[0 1],1 2 4,3,1 1,[5 1];[3 5],1 5,7025 7263,49 50,0 1,14288,6,[0 1],1615753037.434,Sun Mar 14 2021 16:17:17 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,1,train,1,[1 0],[1 0],1 2 4,3,2 3,[1 2];[1 12],1 1,1967 7041,52 49,0 1,9008,2,[0 1],1615753049.769,Sun Mar 14 2021 16:17:29 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,2,train,1,[1 0],[1 0],1 3 4,3,3 3,[1 0];[1 10],1 1,1488 3384,51 51,0 1,4872,2,[0 1],1615753060.897,Sun Mar 14 2021 16:17:40 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,3,train,1,[1 0],[1 0],1 3 4,3,4 1,[0 1];[11 1],0 11,1095 4761,50 49,0 1,5856,11,[0 1],1615753070.49,Sun Mar 14 2021 16:17:50 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,4,train,1,[0 1],[0 1],1 2 4,3,2 2,[1 2];[10 1],2 1,2625 5071,52 51,0 1,7696,3,[0 1],1615753081.786,Sun Mar 14 2021 16:18:01 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,5,train,1,[0 1],[0 1],1 3 4,3,3 3,[1 0];[1 10],0 10,935 3216,51 51,0 1,4151,10,[0 1],1615753089.202,Sun Mar 14 2021 16:18:09 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,6,train,1,[1 0],[1 0],1 3 4,3,3 2,[1 0];[10 9],1 10,863 2935,51 50,0 1,3798,11,[0 1],1615753098.129,Sun Mar 14 2021 16:18:18 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,7,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,1296 3625,52 49,0 1,4921,14,[0 1],1615753106.801,Sun Mar 14 2021 16:18:26 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,8,train,1,[0 1],[0 1],1 3 4,3,4 1,[0 1];[11 1],1 1,1016 3249,50 49,0 1,4265,2,[0 1],1615753117.657,Sun Mar 14 2021 16:18:37 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,9,train,1,[1 0],[1 0],1 2 4,3,2 2,[1 2];[10 1],1 10,783 2896,52 51,0 1,3679,11,[0 1],1615753134.641,Sun Mar 14 2021 16:18:54 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,10,train,1,[1 0],[1 0],1 3 4,3,4 3,[0 1];[1 10],0 1,1719 3720,50 51,0 1,5439,1,[0 1],1615753150.081,Sun Mar 14 2021 16:19:10 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,11,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,2808 15336,49 51,0 1,18144,15,[0 1],1615753170.986,Sun Mar 14 2021 16:19:30 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,12,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,4271 4697,52 49,0 1,8968,14,[0 1],1615753198.977,Sun Mar 14 2021 16:19:58 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,13,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,6063 4144,49 51,0 1,10207,15,[0 1],1615753212.841,Sun Mar 14 2021 16:20:12 GMT-0400 (Eastern Daylight Time),0
A,A3HW4QDJB63OQ2,1125095323888,0,14,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,8081 5751,50 51,0 1,13832,11,[0 1],1615753229.785,Sun Mar 14 2021 16:20:29 GMT-0400 (Eastern Daylight Time),0
