group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3I40B0FATY8VH,1801952634709,0,0,train,1,[1 0],[1 0],1 3 4,3,3 2,[1 0];[10 9],1 10,1796 7295,97 97,0 1,9091,11,[0 1],1615758087.073,Sun Mar 14 2021 16:41:27 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,1,train,1,[1 0],[1 0],1 2 4,3,2 1,[1 2];[3 5],1 3,2120 3888,98 99,0 1,6008,4,[0 1],1615758096.94,Sun Mar 14 2021 16:41:36 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,2,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,1188 2871,97 97,0 1,4059,9,[0 1],1615758103.843,Sun Mar 14 2021 16:41:43 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,3,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,4588 2392,97 97,0 1,6980,9,[0 1],1615758114.394,Sun Mar 14 2021 16:41:54 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,4,train,1,[0 1],[0 1],1 2 4,3,2 2,[1 2];[10 1],2 1,1252 3568,98 98,0 1,4820,3,[0 1],1615758122.922,Sun Mar 14 2021 16:42:02 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,5,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,2031 3115,99 97,0 1,5146,13,[0 1],1615758133.897,Sun Mar 14 2021 16:42:13 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,6,train,1,[1 0],[1 0],1 2 4,3,2 3,[1 2];[1 12],1 1,2812 2471,98 97,0 1,5283,2,[0 1],1615758142.787,Sun Mar 14 2021 16:42:22 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,7,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,1872 2440,99 98,0 1,4312,2,[0 1],1615758150.64,Sun Mar 14 2021 16:42:30 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,8,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,751 2728,99 98,0 1,3479,15,[0 1],1615758156.795,Sun Mar 14 2021 16:42:36 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,9,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,592 2339,99 98,0 1,2931,15,[0 1],1615758162.483,Sun Mar 14 2021 16:42:42 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,10,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,452 1603,99 98,0 1,2055,15,[0 1],1615758167.082,Sun Mar 14 2021 16:42:47 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,11,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,1072 2600,97 97,0 1,3672,9,[0 1],1615758173.778,Sun Mar 14 2021 16:42:53 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,12,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,1760 2804,97 97,0 1,4564,9,[0 1],1615758188.805,Sun Mar 14 2021 16:43:08 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,13,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,3227 2228,99 98,0 1,5455,15,[0 1],1615758197.588,Sun Mar 14 2021 16:43:17 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,14,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,340 1936,99 98,0 1,2276,15,[0 1],1615758203.009,Sun Mar 14 2021 16:43:23 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,15,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,388 1588,99 98,0 1,1976,15,[0 1],1615758209.163,Sun Mar 14 2021 16:43:29 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,16,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,1164 5036,100 99,0 1,6200,11,[0 1],1615758218.538,Sun Mar 14 2021 16:43:38 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,17,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,1396 1724,100 99,0 1,3120,11,[0 1],1615758223.786,Sun Mar 14 2021 16:43:43 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,18,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,756 1672,100 99,0 1,2428,11,[0 1],1615758228.378,Sun Mar 14 2021 16:43:48 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,19,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,2011 2024,99 98,0 1,4035,15,[0 1],1615758235.641,Sun Mar 14 2021 16:43:55 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,20,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,384 1856,99 98,0 1,2240,15,[0 1],1615758240.209,Sun Mar 14 2021 16:44:00 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,21,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,972 2103,99 98,0 1,3075,15,[0 1],1615758245.68,Sun Mar 14 2021 16:44:05 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,22,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,940 3652,100 99,0 1,4592,11,[0 1],1615758252.688,Sun Mar 14 2021 16:44:12 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,23,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,772 1831,100 99,0 1,2603,11,[0 1],1615758257.515,Sun Mar 14 2021 16:44:17 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,24,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,768 2676,100 99,0 1,3444,11,[0 1],1615758263.839,Sun Mar 14 2021 16:44:23 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,25,train,1,[1 0],[1 0],1 2 4,3,2 2,[1 2];[10 1],1 10,2724 2783,98 98,0 1,5507,11,[0 1],1615758272.086,Sun Mar 14 2021 16:44:32 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,26,train,1,[1 0],[1 0],1 2 4,3,2 2,[1 2];[10 1],1 10,1856 2096,98 98,0 1,3952,11,[0 1],1615758278.422,Sun Mar 14 2021 16:44:38 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,27,train,1,[0 1],[0 1],1 3 4,3,4 2,[0 1];[10 9],1 9,1304 3155,100 97,0 1,4459,10,[0 1],1615758285.953,Sun Mar 14 2021 16:44:45 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,28,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1380 2284,99 98,0 1,3664,15,[0 1],1615758292.193,Sun Mar 14 2021 16:44:52 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,29,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,1044 2731,97 98,0 1,3775,12,[0 1],1615758298.54,Sun Mar 14 2021 16:44:58 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,30,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,808 1744,100 99,0 1,2552,11,[0 1],1615758303.608,Sun Mar 14 2021 16:45:03 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,31,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,676 1864,97 98,0 1,2540,12,[0 1],1615758308.403,Sun Mar 14 2021 16:45:08 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,32,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,960 1696,100 99,0 1,2656,11,[0 1],1615758313.399,Sun Mar 14 2021 16:45:13 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,33,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,443 1548,97 98,0 1,1991,12,[0 1],1615758317.639,Sun Mar 14 2021 16:45:17 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,34,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,1024 1959,100 99,0 1,2983,11,[0 1],1615758322.666,Sun Mar 14 2021 16:45:22 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,35,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,684 1612,100 99,0 1,2296,11,[0 1],1615758326.982,Sun Mar 14 2021 16:45:26 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,36,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,628 2008,97 98,0 1,2636,12,[0 1],1615758331.37,Sun Mar 14 2021 16:45:31 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,37,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,452 1763,97 98,0 1,2215,12,[0 1],1615758335.593,Sun Mar 14 2021 16:45:35 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,38,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,544 1592,97 98,0 1,2136,12,[0 1],1615758339.333,Sun Mar 14 2021 16:45:39 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,39,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,508 1524,97 98,0 1,2032,12,[0 1],1615758342.977,Sun Mar 14 2021 16:45:42 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,40,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,733 2462,100 99,0 1,3195,11,[0 1],1615758348.36,Sun Mar 14 2021 16:45:48 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,41,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,772 2376,100 99,0 1,3148,11,[0 1],1615758353.844,Sun Mar 14 2021 16:45:53 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,42,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,563 1664,100 99,0 1,2227,11,[0 1],1615758358.212,Sun Mar 14 2021 16:45:58 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,43,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,424 1588,97 98,0 1,2012,12,[0 1],1615758362.071,Sun Mar 14 2021 16:46:02 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,44,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,712 1704,100 99,0 1,2416,11,[0 1],1615758366.519,Sun Mar 14 2021 16:46:06 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,45,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,499 1640,100 99,0 1,2139,11,[0 1],1615758370.687,Sun Mar 14 2021 16:46:10 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,46,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,559 1920,97 98,0 1,2479,12,[0 1],1615758375.662,Sun Mar 14 2021 16:46:15 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,47,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,600 1748,97 98,0 1,2348,12,[0 1],1615758380.186,Sun Mar 14 2021 16:46:20 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,48,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,440 1864,97 98,0 1,2304,12,[0 1],1615758384.673,Sun Mar 14 2021 16:46:24 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,49,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,1300 2044,100 99,0 1,3344,11,[0 1],1615758392.157,Sun Mar 14 2021 16:46:32 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,50,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,528 1812,100 99,0 1,2340,11,[0 1],1615758396.845,Sun Mar 14 2021 16:46:36 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,51,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,528 1828,97 98,0 1,2356,12,[0 1],1615758401.781,Sun Mar 14 2021 16:46:41 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,52,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,724 1628,100 99,0 1,2352,11,[0 1],1615758406.36,Sun Mar 14 2021 16:46:46 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,53,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,428 2088,97 98,0 1,2516,12,[0 1],1615758411.775,Sun Mar 14 2021 16:46:51 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,54,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,704 1756,100 99,0 1,2460,11,[0 1],1615758416.339,Sun Mar 14 2021 16:46:56 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,55,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,376 1572,97 98,0 1,1948,12,[0 1],1615758420.151,Sun Mar 14 2021 16:47:00 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,56,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,640 1583,100 99,0 1,2223,11,[0 1],1615758425.986,Sun Mar 14 2021 16:47:05 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,57,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,704 1632,100 99,0 1,2336,11,[0 1],1615758430.711,Sun Mar 14 2021 16:47:10 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,58,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,339 1560,100 99,0 1,1899,11,[0 1],1615758434.727,Sun Mar 14 2021 16:47:14 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,59,train,1,[1 0],[1 0],1 3 4,3,3 1,[1 0];[11 1],1 11,520 1663,97 98,0 1,2183,12,[0 1],1615758439.09,Sun Mar 14 2021 16:47:19 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,0,0,test,1,[1 1],[1 1],1 3 4,3,3 2,[1 0];[10 9],1 19,660 1820,97 97,0 1,2480,20,[0 1],1615758445.114,Sun Mar 14 2021 16:47:25 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,1,0,train,1,[0 1],[0 1],1 2 4,3,1 1,[5 1];[3 5],1 5,1456 3772,97 98,0 1,5228,6,[0 1],1615758460.653,Sun Mar 14 2021 16:47:40 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,1,1,train,1,[0 1],[0 1],1 2 4,3,1 2,[5 1];[10 1],1 1,939 1876,97 99,0 1,2815,2,[0 1],1615758465.888,Sun Mar 14 2021 16:47:45 GMT-0500 (Central Daylight Time),0
A,A3I40B0FATY8VH,1801952634709,1,2,train,1,[1 0],[1 0],1 2 4,3,1 3,[5 1];[1 12],5 1,400 2220,97 97,0 1,2620,6,[0 1],1615758470.732,Sun Mar 14 2021 16:47:50 GMT-0500 (Central Daylight Time),0
