group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3L8LSM7V7KX3T,1521056426783,0,0,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,2181 17084,49 50,0 1,19265,9,[0 1],1616003996.669,Wed Mar 17 2021 13:59:56 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,1,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,2928 7859,50 49,0 1,10787,13,[0 1],1616004015.826,Wed Mar 17 2021 14:00:15 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,2,train,1,[1 0],[1 0],1 3 4,3,3 2,[1 0];[10 9],1 10,1627 6993,49 50,0 1,8620,11,[0 1],1616004032.999,Wed Mar 17 2021 14:00:32 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,3,train,1,[0 1],[0 1],1 2 4,3,2 1,[1 2];[3 5],2 5,2287 6252,51 51,0 1,8539,7,[0 1],1616004048.576,Wed Mar 17 2021 14:00:48 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,4,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,3833 4284,51 49,0 1,8117,14,[0 1],1616004060.452,Wed Mar 17 2021 14:01:00 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,5,train,1,[0 1],[0 1],1 3 4,3,4 2,[0 1];[10 9],1 9,1996 3386,52 50,0 1,5382,10,[0 1],1616004068.71,Wed Mar 17 2021 14:01:08 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,6,train,1,[0 1],[0 1],1 2 4,3,2 2,[1 2];[10 1],2 1,3385 4542,51 50,0 1,7927,3,[0 1],1616004080.945,Wed Mar 17 2021 14:01:20 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,7,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,4548 3601,51 49,0 1,8149,14,[0 1],1616004092.717,Wed Mar 17 2021 14:01:32 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,8,train,1,[1 0],[1 0],1 3 4,3,3 2,[1 0];[10 9],1 10,3054 3043,49 50,0 1,6097,11,[0 1],1616004101.731,Wed Mar 17 2021 14:01:41 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,9,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,1046 3684,50 49,0 1,4730,13,[0 1],1616004109.305,Wed Mar 17 2021 14:01:49 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,10,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,2198 6470,50 49,0 1,8668,13,[0 1],1616004122.079,Wed Mar 17 2021 14:02:02 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,11,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,820 3835,50 49,0 1,4655,13,[0 1],1616004130.14,Wed Mar 17 2021 14:02:10 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,12,train,1,[1 0],[1 0],1 2 4,3,1 1,[5 1];[3 5],5 3,584 6658,50 51,0 1,7242,8,[0 1],1616004141.687,Wed Mar 17 2021 14:02:21 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,13,train,1,[1 0],[1 0],1 2 4,3,2 3,[1 2];[1 12],1 1,6087 4202,51 49,0 1,10289,2,[0 1],1616004156.075,Wed Mar 17 2021 14:02:36 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,14,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,933 5624,50 50,0 1,6557,15,[0 1],1616004168.604,Wed Mar 17 2021 14:02:48 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,15,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1054 3193,50 50,0 1,4247,15,[0 1],1616004175.852,Wed Mar 17 2021 14:02:55 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,16,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,718 5053,49 50,0 1,5771,9,[0 1],1616004186.553,Wed Mar 17 2021 14:03:06 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,17,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1269 4795,50 50,0 1,6064,15,[0 1],1616004197.872,Wed Mar 17 2021 14:03:17 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,18,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1572 2778,50 50,0 1,4350,15,[0 1],1616004205.213,Wed Mar 17 2021 14:03:25 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,19,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,2834 2943,49 50,0 1,5777,9,[0 1],1616004214.148,Wed Mar 17 2021 14:03:34 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,20,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,1446 4420,51 49,0 1,5866,14,[0 1],1616004221.642,Wed Mar 17 2021 14:03:41 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,21,train,1,[0 1],[0 1],1 2 4,3,2 1,[1 2];[3 5],2 5,3221 3046,51 51,0 1,6267,7,[0 1],1616004233.202,Wed Mar 17 2021 14:03:53 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,22,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,957 2712,50 50,0 1,3669,15,[0 1],1616004240.385,Wed Mar 17 2021 14:04:00 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,23,train,1,[0 1],[0 1],1 2 4,3,2 1,[1 2];[3 5],2 5,1732 5023,51 51,0 1,6755,7,[0 1],1616004249.921,Wed Mar 17 2021 14:04:09 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,24,train,1,[0 1],[0 1],1 3 4,3,4 2,[0 1];[10 9],1 9,1870 3169,52 50,0 1,5039,10,[0 1],1616004258.044,Wed Mar 17 2021 14:04:18 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,25,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,775 2750,50 50,0 1,3525,15,[0 1],1616004264.378,Wed Mar 17 2021 14:04:24 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,26,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,688 2458,50 50,0 1,3146,15,[0 1],1616004270.172,Wed Mar 17 2021 14:04:30 GMT-0400 (Eastern Daylight Time),0
A,A3L8LSM7V7KX3T,1521056426783,0,27,train,1,[0 1],[0 1],1 2 4,3,2 1,[1 2];[3 5],2 5,2093 6006,51 51,0 1,8099,7,[0 1],1616004281.484,Wed Mar 17 2021 14:04:41 GMT-0400 (Eastern Daylight Time),0
