group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AFG3K492LMWPV,1777718868358,0,0,train,1,[0 1],[1 0],1 3 4,3,3 2,[0 1];[9 10],0 9,10683 14850,50 51,0 1,25533,9,[1 0],1616001367.062,Wed Mar 17 2021 11:16:07 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,1,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,4181 7344,51 51,0 1,11525,10,[1 0],1616001388.328,Wed Mar 17 2021 11:16:28 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,2,train,1,[1 0],[0 1],1 3 4,3,3 2,[0 1];[9 10],1 10,2804 6181,50 51,0 1,8985,11,[1 0],1616001412.783,Wed Mar 17 2021 11:16:52 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,3,train,1,[0 1],[1 0],1 2 4,3,1 3,[1 5];[12 1],1 12,4704 4224,49 51,0 1,8928,13,[1 0],1616001434.529,Wed Mar 17 2021 11:17:14 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,4,train,1,[1 0],[0 1],1 2 4,3,2 3,[2 1];[12 1],1 1,3413 3530 247 1779,52 52 32 51,0 3,8969,2,[1 0],1616001448.476,Wed Mar 17 2021 11:17:28 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,5,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,1160 1959,51 51,0 1,3119,10,[1 0],1616001455.376,Wed Mar 17 2021 11:17:35 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,6,train,1,[1 0],[0 1],1 3 4,3,3 2,[0 1];[9 10],1 10,529 3664,50 51,0 1,4193,11,[1 0],1616001463.098,Wed Mar 17 2021 11:17:43 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,7,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,1858 2903,51 51,0 1,4761,10,[1 0],1616001470.291,Wed Mar 17 2021 11:17:50 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,8,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,784 3651,51 51,0 1,4435,10,[1 0],1616001477.272,Wed Mar 17 2021 11:17:57 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,9,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,1053 4842 535,51 32 51,0 2,6430,10,[1 0],1616001486.498,Wed Mar 17 2021 11:18:06 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,10,train,1,[0 1],[1 0],1 3 4,3,3 2,[0 1];[9 10],0 9,808 3540,50 51,0 1,4348,9,[1 0],1616001493.895,Wed Mar 17 2021 11:18:13 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,11,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,803 4321,51 51,0 1,5124,10,[1 0],1616001512.554,Wed Mar 17 2021 11:18:32 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,12,train,1,[1 0],[0 1],1 3 4,3,3 2,[0 1];[9 10],1 10,575 4502,50 51,0 1,5077,11,[1 0],1616001520.851,Wed Mar 17 2021 11:18:40 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,13,train,1,[1 0],[0 1],1 3 4,3,3 2,[0 1];[9 10],1 10,958 3624 640,50 87 51,0 2,5222,11,[1 0],1616001528.51,Wed Mar 17 2021 11:18:48 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,14,train,1,[0 1],[1 0],1 3 4,3,3 2,[0 1];[9 10],0 9,1059 6934,50 51,0 1,7993,9,[1 0],1616001547.388,Wed Mar 17 2021 11:19:07 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,15,train,1,[1 0],[0 1],1 2 4,3,1 3,[1 5];[12 1],5 1,947 8399,49 51,0 1,9346,6,[1 0],1616001559.428,Wed Mar 17 2021 11:19:19 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,16,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,1903 3537,51 51,0 1,5440,10,[1 0],1616001568.086,Wed Mar 17 2021 11:19:28 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,17,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,816 2415 584,51 32 51,0 2,3815,10,[1 0],1616001574.525,Wed Mar 17 2021 11:19:34 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,18,train,1,[1 0],[0 1],1 3 4,3,3 2,[0 1];[9 10],1 10,1377 2381 861,50 32 51,0 2,4619,11,[1 0],1616001581.606,Wed Mar 17 2021 11:19:41 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,19,train,1,[1 0],[0 1],1 2 4,3,1 3,[1 5];[12 1],5 1,819 2719 836,49 32 51,0 2,4374,6,[1 0],1616001595.448,Wed Mar 17 2021 11:19:55 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,20,train,1,[1 0],[0 1],1 3 4,3,3 2,[0 1];[9 10],1 10,380 3142,50 51,0 1,3522,11,[1 0],1616001601.855,Wed Mar 17 2021 11:20:01 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,21,train,1,[0 1],[1 0],1 3 4,3,3 2,[0 1];[9 10],0 9,1541 2048 861,50 32 51,0 2,4450,9,[1 0],1616001609.528,Wed Mar 17 2021 11:20:09 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,22,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,443 3097 522,51 52 51,0 2,4062,10,[1 0],1616001615.905,Wed Mar 17 2021 11:20:15 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,23,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,539 3980,52 51,0 1,4519,14,[1 0],1616001625.405,Wed Mar 17 2021 11:20:25 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,24,train,1,[1 0],[0 1],1 2 4,3,2 3,[2 1];[12 1],1 1,935 3030 635,52 32 51,0 2,4600,2,[1 0],1616001633.371,Wed Mar 17 2021 11:20:33 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,25,train,1,[0 1],[1 0],1 3 4,3,3 2,[0 1];[9 10],0 9,800 4239,50 51,0 1,5039,9,[1 0],1616001641.265,Wed Mar 17 2021 11:20:41 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,26,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,844 5223,52 51,0 1,6067,14,[1 0],1616001649.955,Wed Mar 17 2021 11:20:49 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,27,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,982 2697 420,51 32 51,0 2,4099,10,[1 0],1616001657.005,Wed Mar 17 2021 11:20:57 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,28,train,1,[0 1],[1 0],1 2 4,3,1 3,[1 5];[12 1],1 12,744 3502,49 51,0 1,4246,13,[1 0],1616001663.74,Wed Mar 17 2021 11:21:03 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,29,train,1,[1 0],[0 1],1 3 4,3,3 2,[0 1];[9 10],1 10,815 3201 559 556,50 32 52 51,0 3,5131,11,[1 0],1616001672.178,Wed Mar 17 2021 11:21:12 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,30,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,1396 2799 602,51 32 51,0 2,4797,10,[1 0],1616001679.068,Wed Mar 17 2021 11:21:19 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,31,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,847 2741 309,51 32 51,0 2,3897,10,[1 0],1616001684.653,Wed Mar 17 2021 11:21:24 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,32,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,679 2591,51 51,0 1,3270,10,[1 0],1616001690.17,Wed Mar 17 2021 11:21:30 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,33,train,1,[1 0],[0 1],1 3 4,3,3 2,[0 1];[9 10],1 10,1189 4926,50 51,0 1,6115,11,[1 0],1616001698.218,Wed Mar 17 2021 11:21:38 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,34,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,3128 2969,51 51,0 1,6097,10,[1 0],1616001707.175,Wed Mar 17 2021 11:21:47 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,35,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,1166 4509,51 51,0 1,5675,10,[1 0],1616001714.695,Wed Mar 17 2021 11:21:54 GMT-0600 (Central Standard Time),0
A,AFG3K492LMWPV,1777718868358,0,36,train,1,[1 0],[0 1],1 3 4,3,3 2,[0 1];[9 10],1 10,893 9139,50 51,0 1,10032,11,[1 0],1616001727.235,Wed Mar 17 2021 11:22:07 GMT-0600 (Central Standard Time),0
