group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,ALYR5CI2SM2JC,1973932175854,0,0,train,1,[0 1],[1 0],1 2 4,3,1 2,[1 5];[1 10],1 1,2548 9301,50 51,0 1,11849,2,[1 0],1616003715.754,Wed Mar 17 2021 10:55:15 GMT-0700 (Pacific Daylight Time),0
A,ALYR5CI2SM2JC,1973932175854,0,1,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,1303 5148,50 51,0 1,6451,15,[1 0],1616003733.082,Wed Mar 17 2021 10:55:33 GMT-0700 (Pacific Daylight Time),0
A,ALYR5CI2SM2JC,1973932175854,0,2,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,1031 3999,51 49,0 1,5030,10,[1 0],1616003744.846,Wed Mar 17 2021 10:55:44 GMT-0700 (Pacific Daylight Time),0
A,ALYR5CI2SM2JC,1973932175854,0,3,train,1,[0 1],[1 0],1 3 4,3,3 2,[0 1];[9 10],0 9,3057 3794,49 49,0 1,6851,9,[1 0],1616003756.657,Wed Mar 17 2021 10:55:56 GMT-0700 (Pacific Daylight Time),0
A,ALYR5CI2SM2JC,1973932175854,0,4,train,1,[1 0],[0 1],1 2 4,3,2 2,[2 1];[1 10],1 10,6707 5035,52 51,0 1,11742,11,[1 0],1616003772.186,Wed Mar 17 2021 10:56:12 GMT-0700 (Pacific Daylight Time),0
A,ALYR5CI2SM2JC,1973932175854,0,5,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,9633 3755,51 49,0 1,13388,10,[1 0],1616003788.968,Wed Mar 17 2021 10:56:28 GMT-0700 (Pacific Daylight Time),0
A,ALYR5CI2SM2JC,1973932175854,0,6,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,1402 5038,52 50,0 1,6440,14,[1 0],1616003800.313,Wed Mar 17 2021 10:56:40 GMT-0700 (Pacific Daylight Time),0
A,ALYR5CI2SM2JC,1973932175854,0,7,train,1,[1 0],[0 1],1 2 4,3,2 2,[2 1];[1 10],1 10,1713 2919,52 51,0 1,4632,11,[1 0],1616003809.46,Wed Mar 17 2021 10:56:49 GMT-0700 (Pacific Daylight Time),0
A,ALYR5CI2SM2JC,1973932175854,0,8,train,1,[1 0],[0 1],1 3 4,3,4 2,[1 0];[9 10],0 10,8005 2869,51 49,0 1,10874,10,[1 0],1616003822.28,Wed Mar 17 2021 10:57:02 GMT-0700 (Pacific Daylight Time),0
A,ALYR5CI2SM2JC,1973932175854,0,9,train,1,[1 0],[0 1],1 2 4,3,2 2,[2 1];[1 10],1 10,3242 2691,52 51,0 1,5933,11,[1 0],1616003830.113,Wed Mar 17 2021 10:57:10 GMT-0700 (Pacific Daylight Time),0
