group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AMIQGW2E3WYO4,1135268140036,0,0,train,1,[1 0],[0 1],1 3 4,3,4 1,[1 0];[1 11],0 11,9816 11656,51 49,0 1,21472,11,[1 0],1616001861.704,Wed Mar 17 2021 12:24:21 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,1,train,1,[0 1],[1 0],1 3 4,3,3 3,[0 1];[10 1],0 10,983 9409,49 50,0 1,10392,10,[1 0],1616001881.68,Wed Mar 17 2021 12:24:41 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,2,train,1,[0 1],[1 0],1 3 4,3,4 1,[1 0];[1 11],1 1,6640 11280,51 49,0 1,17920,2,[1 0],1616001912.801,Wed Mar 17 2021 12:25:12 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,3,train,1,[1 0],[0 1],1 2 4,3,1 1,[1 5];[5 3],5 3,6712 6608,50 51,0 1,13320,8,[1 0],1616001933.888,Wed Mar 17 2021 12:25:33 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,4,train,1,[1 0],[0 1],1 3 4,3,3 3,[0 1];[10 1],1 1,5200 7457,49 50,0 1,12657,2,[1 0],1616001951.824,Wed Mar 17 2021 12:25:51 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,5,train,1,[0 1],[1 0],1 3 4,3,4 3,[1 0];[10 1],1 10,3041 8463,51 50,0 1,11504,11,[1 0],1616002001.448,Wed Mar 17 2021 12:26:41 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,6,train,1,[0 1],[1 0],1 2 4,3,1 3,[1 5];[12 1],1 12,7479 29105,50 50,0 1,36584,13,[1 0],1616002063.976,Wed Mar 17 2021 12:27:43 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,7,train,1,[1 0],[0 1],1 2 4,3,2 2,[2 1];[1 10],1 10,7968 29913,52 49,0 1,37881,11,[1 0],1616002124.409,Wed Mar 17 2021 12:28:44 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,8,train,1,[0 1],[1 0],1 3 4,3,3 3,[0 1];[10 1],0 10,21736 23513,49 50,0 1,45249,10,[1 0],1616002177.984,Wed Mar 17 2021 12:29:37 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,9,train,1,[1 0],[0 1],1 2 4,3,1 3,[1 5];[12 1],5 1,26208 33175,50 50,0 1,59383,6,[1 0],1616002265.721,Wed Mar 17 2021 12:31:05 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,10,train,1,[1 0],[0 1],1 2 4,3,1 1,[1 5];[5 3],5 3,17385 13903,50 51,0 1,31288,8,[1 0],1616002331,Wed Mar 17 2021 12:32:11 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,11,train,1,[0 1],[1 0],1 3 4,3,4 3,[1 0];[10 1],1 10,31832 21056,51 50,0 1,52888,11,[1 0],1616002387.641,Wed Mar 17 2021 12:33:07 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,12,train,1,[0 1],[1 0],1 3 4,3,3 3,[0 1];[10 1],0 10,43511 11273,49 50,0 1,54784,10,[1 0],1616002445.849,Wed Mar 17 2021 12:34:05 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,13,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,10489 14648,52 50,0 1,25137,14,[1 0],1616002476.473,Wed Mar 17 2021 12:34:36 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,14,train,1,[0 1],[1 0],1 2 4,3,1 3,[1 5];[12 1],1 12,7121 19400,50 50,0 1,26521,13,[1 0],1616002506.048,Wed Mar 17 2021 12:35:06 GMT-0500 (Central Daylight Time),0
A,AMIQGW2E3WYO4,1135268140036,0,15,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,15824 13120,50 49,0 1,28944,15,[1 0],1616002557.337,Wed Mar 17 2021 12:35:57 GMT-0500 (Central Daylight Time),0
