group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AOS2PVHT2HYTL,1828377621894,0,0,train,1,[1 0],[0 1],1 3 4,3,4 1,[1 0];[1 11],0 11,6975 14157,98 99,0 1,21132,11,[1 0],1615999594.867,Wed Mar 17 2021 09:46:34 GMT-0700 (Pacific Daylight Time),0
A,AOS2PVHT2HYTL,1828377621894,0,1,train,1,[1 0],[0 1],1 2 4,3,1 1,[1 5];[5 3],5 3,3594 4955,99 98,0 1,8549,8,[1 0],1615999611.112,Wed Mar 17 2021 09:46:51 GMT-0700 (Pacific Daylight Time),0
A,AOS2PVHT2HYTL,1828377621894,0,2,train,1,[1 0],[0 1],1 3 4,3,4 3,[1 0];[10 1],0 1,1246 2297 1022,98 32 98,0 2,4565,1,[1 0],1615999622.201,Wed Mar 17 2021 09:47:02 GMT-0700 (Pacific Daylight Time),0
A,AOS2PVHT2HYTL,1828377621894,0,3,train,1,[0 1],[1 0],1 2 4,3,1 3,[1 5];[12 1],1 12,2091 6495,99 97,0 1,8586,13,[1 0],1615999637.287,Wed Mar 17 2021 09:47:17 GMT-0700 (Pacific Daylight Time),0
A,AOS2PVHT2HYTL,1828377621894,0,4,train,1,[1 0],[0 1],1 3 4,3,3 1,[0 1];[1 11],1 11,1457 4869,97 99,0 1,6326,12,[1 0],1615999650.958,Wed Mar 17 2021 09:47:30 GMT-0700 (Pacific Daylight Time),0
A,AOS2PVHT2HYTL,1828377621894,0,5,train,1,[1 0],[0 1],1 2 4,3,1 1,[1 5];[5 3],5 3,1772 4350,99 98,0 1,6122,8,[1 0],1615999662.062,Wed Mar 17 2021 09:47:42 GMT-0700 (Pacific Daylight Time),0
A,AOS2PVHT2HYTL,1828377621894,0,6,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,2232 4491,100 97,0 1,6723,14,[1 0],1615999673.659,Wed Mar 17 2021 09:47:53 GMT-0700 (Pacific Daylight Time),0
A,AOS2PVHT2HYTL,1828377621894,0,7,train,1,[0 1],[1 0],1 3 4,3,3 1,[0 1];[1 11],0 1,1684 5045,97 99,0 1,6729,1,[1 0],1615999685.302,Wed Mar 17 2021 09:48:05 GMT-0700 (Pacific Daylight Time),0
A,AOS2PVHT2HYTL,1828377621894,0,8,train,1,[1 0],[0 1],1 3 4,3,3 1,[0 1];[1 11],1 11,2215 4961,97 99,0 1,7176,12,[1 0],1615999697.89,Wed Mar 17 2021 09:48:17 GMT-0700 (Pacific Daylight Time),0
A,AOS2PVHT2HYTL,1828377621894,0,9,train,1,[1 0],[0 1],1 2 4,3,2 3,[2 1];[12 1],1 1,2916 3608,100 97,0 1,6524,2,[1 0],1615999709.371,Wed Mar 17 2021 09:48:29 GMT-0700 (Pacific Daylight Time),0
