group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,APGX2WZ59OWDN,1374858235155,0,0,train,1,[0 1],[0 1],1 3 4,3,4 1,[0 1];[11 1],1 1,1728 4769,49 49,0 1,6497,2,[0 1],1615991174.363,Wed Mar 17 2021 09:26:14 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,1,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,1568 4696,50 49,0 1,6264,13,[0 1],1615991185.812,Wed Mar 17 2021 09:26:25 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,2,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1224 6672,50 50,0 1,7896,15,[0 1],1615991198.206,Wed Mar 17 2021 09:26:38 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,3,train,1,[1 0],[1 0],1 2 4,3,2 1,[1 2];[3 5],1 3,1835 2872,51 51,0 1,4707,4,[0 1],1615991205.511,Wed Mar 17 2021 09:26:45 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,4,train,1,[1 0],[1 0],1 3 4,3,3 3,[1 0];[1 10],1 1,1658 3718,52 50,0 1,5376,2,[0 1],1615991213.791,Wed Mar 17 2021 09:26:53 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,5,train,1,[1 0],[1 0],1 2 4,3,2 2,[1 2];[10 1],1 10,1904 2848,51 50,0 1,4752,11,[0 1],1615991221.208,Wed Mar 17 2021 09:27:01 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,6,train,1,[1 0],[1 0],1 3 4,3,4 2,[0 1];[10 9],0 10,3240 2730,49 51,0 1,5970,10,[0 1],1615991232.41,Wed Mar 17 2021 09:27:12 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,7,train,1,[1 0],[1 0],1 3 4,3,4 2,[0 1];[10 9],0 10,1513 2391,49 51,0 1,3904,10,[0 1],1615991239.058,Wed Mar 17 2021 09:27:19 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,8,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,1592 6721,50 49,0 1,8313,13,[0 1],1615991250.628,Wed Mar 17 2021 09:27:30 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,9,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1886 4224,50 50,0 1,6110,15,[0 1],1615991259.444,Wed Mar 17 2021 09:27:39 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,10,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,3721 4824,51 49,0 1,8545,14,[0 1],1615991272.15,Wed Mar 17 2021 09:27:52 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,11,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,5609 3504,50 50,0 1,9113,15,[0 1],1615991283.907,Wed Mar 17 2021 09:28:03 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,12,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,1864 4784,50 49,0 1,6648,13,[0 1],1615991294.921,Wed Mar 17 2021 09:28:14 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,13,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,1480 4672,51 49,0 1,6152,14,[0 1],1615991303.609,Wed Mar 17 2021 09:28:23 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,14,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,6297 3376,50 50,0 1,9673,15,[0 1],1615991317.132,Wed Mar 17 2021 09:28:37 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,15,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,2358 5762,52 51,0 1,8120,9,[0 1],1615991329.317,Wed Mar 17 2021 09:28:49 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,16,train,1,[0 1],[0 1],1 3 4,3,4 2,[0 1];[10 9],1 9,1368 4945,49 51,0 1,6313,10,[0 1],1615991338.806,Wed Mar 17 2021 09:28:58 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,17,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,3902 3788,50 49,0 1,7690,13,[0 1],1615991349.103,Wed Mar 17 2021 09:29:09 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,18,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,2182 2952,50 50,0 1,5134,15,[0 1],1615991356.768,Wed Mar 17 2021 09:29:16 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,19,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,848 4223,51 49,0 1,5071,14,[0 1],1615991364.729,Wed Mar 17 2021 09:29:24 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,20,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,2111 3497,52 51,0 1,5608,9,[0 1],1615991372.442,Wed Mar 17 2021 09:29:32 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,21,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1520 2664,50 50,0 1,4184,15,[0 1],1615991379.603,Wed Mar 17 2021 09:29:39 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,22,train,1,[0 1],[0 1],1 3 4,3,4 2,[0 1];[10 9],1 9,703 3552,49 51,0 1,4255,10,[0 1],1615991386.812,Wed Mar 17 2021 09:29:46 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,23,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,2969 2815,50 50,0 1,5784,15,[0 1],1615991395.044,Wed Mar 17 2021 09:29:55 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,24,train,1,[0 1],[0 1],1 3 4,3,4 2,[0 1];[10 9],1 9,4032 3680,49 51,0 1,7712,10,[0 1],1615991405.141,Wed Mar 17 2021 09:30:05 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,25,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,3080 3513,51 49,0 1,6593,14,[0 1],1615991414.038,Wed Mar 17 2021 09:30:14 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,26,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1030 3506,50 50,0 1,4536,15,[0 1],1615991420.872,Wed Mar 17 2021 09:30:20 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,27,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1303 2656,50 50,0 1,3959,15,[0 1],1615991427.104,Wed Mar 17 2021 09:30:27 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,28,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1065 2592,50 50,0 1,3657,15,[0 1],1615991433.711,Wed Mar 17 2021 09:30:33 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,29,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,1968 2793,51 49,0 1,4761,14,[0 1],1615991440.794,Wed Mar 17 2021 09:30:40 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,30,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,2956 2529,51 49,0 1,5485,14,[0 1],1615991448.922,Wed Mar 17 2021 09:30:48 GMT-0500 (Central Daylight Time),1
A,APGX2WZ59OWDN,1374858235155,0,31,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,832 2385,50 50,0 1,3217,15,[0 1],1615991455.524,Wed Mar 17 2021 09:30:55 GMT-0500 (Central Daylight Time),1
