group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,APNTEGPF7QZQI,1765214877119,0,0,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,17024 28496,49 49,0 1,45520,9,[0 1],1615998496.636,Wed Mar 17 2021 12:28:16 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,1,train,1,[0 1],[0 1],1 2 4,3,2 2,[1 2];[10 1],2 1,3848 26488,50 50,0 1,30336,3,[0 1],1615998595.428,Wed Mar 17 2021 12:29:55 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,2,train,1,[0 1],[0 1],1 2 4,3,1 1,[5 1];[3 5],1 5,7169 11303,51 51,0 1,18472,6,[0 1],1615998688.22,Wed Mar 17 2021 12:31:28 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,3,train,1,[0 1],[0 1],1 3 4,3,3 2,[1 0];[10 9],0 9,1855 11104,49 49,0 1,12959,9,[0 1],1615998714.891,Wed Mar 17 2021 12:31:54 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,4,train,1,[0 1],[0 1],1 3 4,3,4 2,[0 1];[10 9],1 9,5992 9256,52 49,0 1,15248,10,[0 1],1615998740.811,Wed Mar 17 2021 12:32:20 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,5,train,1,[1 0],[1 0],1 2 4,3,2 2,[1 2];[10 1],1 10,2648 18376 1864,50 32 50,0 2,22888,11,[0 1],1615998789.827,Wed Mar 17 2021 12:33:09 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,6,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,3648 10528,51 50,0 1,14176,15,[0 1],1615998823.715,Wed Mar 17 2021 12:33:43 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,7,train,1,[0 1],[0 1],1 2 4,3,2 1,[1 2];[3 5],2 5,15600 14712,50 51,0 1,30312,7,[0 1],1615998871.091,Wed Mar 17 2021 12:34:31 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,8,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,1768 19968,50 49,0 1,21736,14,[0 1],1615998913.659,Wed Mar 17 2021 12:35:13 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,9,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,14200 30793,51 50,0 1,44993,15,[0 1],1615998972.346,Wed Mar 17 2021 12:36:12 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,10,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,15512 22159,50 49,0 1,37671,14,[0 1],1615999029.45,Wed Mar 17 2021 12:37:09 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,11,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,24792 12880,50 49,0 1,37672,14,[0 1],1615999072.082,Wed Mar 17 2021 12:37:52 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,12,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,1215 5121,50 49,0 1,6336,14,[0 1],1615999084.009,Wed Mar 17 2021 12:38:04 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,13,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,3279 7096,51 50,0 1,10375,15,[0 1],1615999105.586,Wed Mar 17 2021 12:38:25 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,14,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,775 3305,50 49,0 1,4080,14,[0 1],1615999118.065,Wed Mar 17 2021 12:38:38 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,15,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1408 4304,51 50,0 1,5712,15,[0 1],1615999141.433,Wed Mar 17 2021 12:39:01 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,16,train,1,[1 0],[1 0],1 3 4,3,4 1,[0 1];[11 1],0 11,10263 7232,52 50,0 1,17495,11,[0 1],1615999182.449,Wed Mar 17 2021 12:39:42 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,17,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,832 3880,50 49,0 1,4712,14,[0 1],1615999195.081,Wed Mar 17 2021 12:39:55 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,18,train,1,[1 0],[1 0],1 3 4,3,3 3,[1 0];[1 10],1 1,13704 10192,49 51,0 1,23896,2,[0 1],1615999232.073,Wed Mar 17 2021 12:40:32 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,19,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1216 3616,51 50,0 1,4832,15,[0 1],1615999244.793,Wed Mar 17 2021 12:40:44 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,20,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1080 2944,51 50,0 1,4024,15,[0 1],1615999253.393,Wed Mar 17 2021 12:40:53 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,21,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,991 3193,51 50,0 1,4184,15,[0 1],1615999261.601,Wed Mar 17 2021 12:41:01 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,22,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,808 3304,51 50,0 1,4112,15,[0 1],1615999269.905,Wed Mar 17 2021 12:41:09 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,23,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,680 2647,51 50,0 1,3327,15,[0 1],1615999277.161,Wed Mar 17 2021 12:41:17 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,24,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,704 2824,51 50,0 1,3528,15,[0 1],1615999284.369,Wed Mar 17 2021 12:41:24 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,25,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,943 3921,50 49,0 1,4864,14,[0 1],1615999296.345,Wed Mar 17 2021 12:41:36 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,26,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,1783 3041,50 49,0 1,4824,14,[0 1],1615999304.921,Wed Mar 17 2021 12:41:44 GMT-0400 (Eastern Daylight Time),0
A,APNTEGPF7QZQI,1765214877119,0,27,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,1351 2496,50 49,0 1,3847,14,[0 1],1615999316.033,Wed Mar 17 2021 12:41:56 GMT-0400 (Eastern Daylight Time),0
