group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AV6C736XAEG67,1147470043753,0,0,train,1,[0 1],[1 0],1 3 4,3,4 2,[1 0];[9 10],1 9,2915 15956,49 49,0 1,18871,10,[1 0],1615753574.101,Sun Mar 14 2021 14:26:14 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,1,train,1,[0 1],[1 0],1 3 4,3,4 3,[1 0];[10 1],1 10,4717 9080,49 50,0 1,13797,11,[1 0],1615753601.743,Sun Mar 14 2021 14:26:41 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,2,train,1,[0 1],[1 0],1 3 4,3,3 2,[0 1];[9 10],0 9,1294 6701,51 49,0 1,7995,9,[1 0],1615753615.519,Sun Mar 14 2021 14:26:55 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,3,train,1,[0 1],[1 0],1 2 4,3,1 3,[1 5];[12 1],1 12,792 3058,50 49,0 1,3850,13,[1 0],1615753625.658,Sun Mar 14 2021 14:27:05 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,4,train,1,[1 0],[0 1],1 3 4,3,3 3,[0 1];[10 1],1 1,2056 4567,51 50,0 1,6623,2,[1 0],1615753639.145,Sun Mar 14 2021 14:27:19 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,5,train,1,[0 1],[1 0],1 2 4,3,2 3,[2 1];[12 1],2 12,1619 3350,52 49,0 1,4969,14,[1 0],1615753649.905,Sun Mar 14 2021 14:27:29 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,6,train,1,[1 0],[0 1],1 2 4,3,1 1,[1 5];[5 3],5 3,2201 4537,50 51,0 1,6738,8,[1 0],1615753660.709,Sun Mar 14 2021 14:27:40 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,7,train,1,[1 0],[0 1],1 3 4,3,4 3,[1 0];[10 1],0 1,1224 4157,49 50,0 1,5381,1,[1 0],1615753671.624,Sun Mar 14 2021 14:27:51 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,8,train,1,[0 1],[1 0],1 3 4,3,3 2,[0 1];[9 10],0 9,1029 5272,51 49,0 1,6301,9,[1 0],1615753684.002,Sun Mar 14 2021 14:28:04 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,9,train,1,[1 0],[0 1],1 3 4,3,4 3,[1 0];[10 1],0 1,1422 4912,49 50,0 1,6334,1,[1 0],1615753696.174,Sun Mar 14 2021 14:28:16 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,10,train,1,[0 1],[1 0],1 3 4,3,3 1,[0 1];[1 11],0 1,695 6792 1465,51 32 51,0 2,8952,1,[1 0],1615753710.192,Sun Mar 14 2021 14:28:30 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,11,train,1,[1 0],[0 1],1 3 4,3,4 3,[1 0];[10 1],0 1,1093 3814,49 50,0 1,4907,1,[1 0],1615753719.673,Sun Mar 14 2021 14:28:39 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,12,train,1,[0 1],[1 0],1 3 4,3,3 3,[0 1];[10 1],0 10,1325 5995,51 50,0 1,7320,10,[1 0],1615753730.881,Sun Mar 14 2021 14:28:50 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,13,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,1076 4406,50 50,0 1,5482,15,[1 0],1615753742.035,Sun Mar 14 2021 14:29:02 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,14,train,1,[0 1],[1 0],1 2 4,3,1 2,[1 5];[1 10],1 1,1572 7019,50 50,0 1,8591,2,[1 0],1615753753.637,Sun Mar 14 2021 14:29:13 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,15,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,1342 4148,50 50,0 1,5490,15,[1 0],1615753765.086,Sun Mar 14 2021 14:29:25 GMT-0600 (Mountain Daylight Time),1
A,AV6C736XAEG67,1147470043753,0,16,train,1,[1 0],[0 1],1 2 4,3,1 2,[1 5];[1 10],5 10,912 6276,50 50,0 1,7188,15,[1 0],1615753776.128,Sun Mar 14 2021 14:29:36 GMT-0600 (Mountain Daylight Time),1
