group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AZCGF2D7QIO10,1826892219956,0,0,train,1,[1 0],[1 0],1 2 4,3,2 1,[1 2];[3 5],1 3,3784 6416,49 49,0 1,10200,4,[0 1],1615769466.321,Sun Mar 14 2021 19:51:06 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,1,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1083 3732,50 50,0 1,4815,15,[0 1],1615769474.903,Sun Mar 14 2021 19:51:14 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,2,train,1,[1 0],[1 0],1 3 4,3,3 3,[1 0];[1 10],1 1,3331 3464,51 51,0 1,6795,2,[0 1],1615769484.947,Sun Mar 14 2021 19:51:24 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,3,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,1775 3350,52 51,0 1,5125,11,[0 1],1615769493.223,Sun Mar 14 2021 19:51:33 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,4,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,5013 2823 1476,52 52 51,0 2,9312,11,[0 1],1615769505.264,Sun Mar 14 2021 19:51:45 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,5,train,1,[0 1],[0 1],1 3 4,3,3 3,[1 0];[1 10],0 10,3906 3207,51 51,0 1,7113,10,[0 1],1615769514.884,Sun Mar 14 2021 19:51:54 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,6,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,1452 3738,50 50,0 1,5190,15,[0 1],1615769527.23,Sun Mar 14 2021 19:52:07 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,7,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,1261 2992,52 51,0 1,4253,11,[0 1],1615769534.512,Sun Mar 14 2021 19:52:14 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,8,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,1451 3036,49 51,0 1,4487,14,[0 1],1615769541.363,Sun Mar 14 2021 19:52:21 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,9,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,2499 3899,50 51,0 1,6398,13,[0 1],1615769549.924,Sun Mar 14 2021 19:52:29 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,10,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,4336 2872,50 50,0 1,7208,15,[0 1],1615769559.484,Sun Mar 14 2021 19:52:39 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,11,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,358 1923,50 50,0 1,2281,15,[0 1],1615769565.954,Sun Mar 14 2021 19:52:45 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,12,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,464 3365,50 50,0 1,3829,15,[0 1],1615769572.458,Sun Mar 14 2021 19:52:52 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,13,train,1,[0 1],[0 1],1 3 4,3,3 3,[1 0];[1 10],0 10,4800 2691,51 51,0 1,7491,10,[0 1],1615769582.762,Sun Mar 14 2021 19:53:02 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,14,train,1,[0 1],[0 1],1 3 4,3,4 1,[0 1];[11 1],1 1,1540 3645,52 50,0 1,5185,2,[0 1],1615769590.411,Sun Mar 14 2021 19:53:10 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,15,train,1,[0 1],[0 1],1 2 4,3,2 3,[1 2];[1 12],2 12,1650 3443,49 51,0 1,5093,14,[0 1],1615769597.925,Sun Mar 14 2021 19:53:17 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,16,train,1,[1 0],[1 0],1 2 4,3,1 2,[5 1];[10 1],5 10,3073 3061,50 50,0 1,6134,15,[0 1],1615769606.397,Sun Mar 14 2021 19:53:26 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,17,train,1,[0 1],[0 1],1 3 4,3,4 3,[0 1];[1 10],1 10,1568 1929 654,52 52 51,0 2,4151,11,[0 1],1615769612.834,Sun Mar 14 2021 19:53:32 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,18,train,1,[0 1],[0 1],1 3 4,3,3 3,[1 0];[1 10],0 10,2109 2494,51 51,0 1,4603,10,[0 1],1615769619.499,Sun Mar 14 2021 19:53:39 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,19,train,1,[0 1],[0 1],1 2 4,3,1 1,[5 1];[3 5],1 5,4083 2710,50 49,0 1,6793,6,[0 1],1615769628.512,Sun Mar 14 2021 19:53:48 GMT-0500 (Central Daylight Time),1
A,AZCGF2D7QIO10,1826892219956,0,20,train,1,[0 1],[0 1],1 2 4,3,1 3,[5 1];[1 12],1 12,3726 2652,50 51,0 1,6378,13,[0 1],1615769637.546,Sun Mar 14 2021 19:53:57 GMT-0500 (Central Daylight Time),1
