group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A10JXOU89D5RXR,1555792371378,0,0,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,4382 19601 6807,49 49 49,0 1 2,30790,0,[1 0],1617020584.79,Mon Mar 29 2021 08:23:04 GMT-0400 (Eastern Daylight Time),0
A,A10JXOU89D5RXR,1555792371378,0,1,train,1,[0 1],[1 0],1 2 5 2 4 6,6,2 3 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,2015 6171 4831 5177 4695,50 51 49 50 49,0 1 2 3 4,22889,8,[1 0],1617020619.351,Mon Mar 29 2021 08:23:39 GMT-0400 (Eastern Daylight Time),0
A,A10JXOU89D5RXR,1555792371378,0,2,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,1551 7376 4009,49 51 50,0 1 2,12936,4,[1 0],1617020638.767,Mon Mar 29 2021 08:23:58 GMT-0400 (Eastern Daylight Time),0
A,A10JXOU89D5RXR,1555792371378,0,3,train,1,[1 0],[0 1],1 2 3 2 4 6,6,1 1 1 2 2,[0 4];[0 0];[0 0];[0 0];[6 4],4 0 0 0 4,1528 6719 3985 5016 4304,49 49 50 50 49,0 1 2 3 4,21552,8,[1 0],1617020668.136,Mon Mar 29 2021 08:24:28 GMT-0400 (Eastern Daylight Time),0
A,A10JXOU89D5RXR,1555792371378,0,4,train,1,[1 0],[0 1],1 2 5 2 4 6,6,1 3 1 2 2,[0 4];[0 0];[0 0];[0 0];[6 4],4 0 0 0 4,1816 4758 3336 5112 4122,49 51 49 50 49,0 1 2 3 4,19144,8,[1 0],1617020694.359,Mon Mar 29 2021 08:24:54 GMT-0400 (Eastern Daylight Time),0
A,A10JXOU89D5RXR,1555792371378,0,5,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1630 5448 4007,49 49 49,0 1 2,11085,11,[1 0],1617020712.128,Mon Mar 29 2021 08:25:12 GMT-0400 (Eastern Daylight Time),0
A,A10JXOU89D5RXR,1555792371378,0,6,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,2062 9329 3648,50 50 49,0 1 2,15039,8,[1 0],1617020733.394,Mon Mar 29 2021 08:25:33 GMT-0400 (Eastern Daylight Time),0
A,A10JXOU89D5RXR,1555792371378,0,7,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,2655 5418 3334,50 50 49,0 1 2,11407,8,[1 0],1617020748.969,Mon Mar 29 2021 08:25:48 GMT-0400 (Eastern Daylight Time),0
A,A10JXOU89D5RXR,1555792371378,0,8,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,1920 6657 3055,49 50 49,0 1 2,11632,8,[1 0],1617020764.002,Mon Mar 29 2021 08:26:04 GMT-0400 (Eastern Daylight Time),0
A,A10JXOU89D5RXR,1555792371378,0,9,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,2000 5440 3017,50 50 49,0 1 2,10457,8,[1 0],1617020777.754,Mon Mar 29 2021 08:26:17 GMT-0400 (Eastern Daylight Time),0
