group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A12FTSX85NQ8N9,1322164308161,0,0,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,2137 6385 6830,49 50 50,0 1 2,15352,10,[0 1],1616443972.579,Mon Mar 22 2021 15:12:52 GMT-0500 (Central Daylight Time),0
A,A12FTSX85NQ8N9,1322164308161,0,1,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,2358 6790 4343,49 51 50,0 1 2,13491,8,[0 1],1616443990.721,Mon Mar 22 2021 15:13:10 GMT-0500 (Central Daylight Time),0
A,A12FTSX85NQ8N9,1322164308161,0,2,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,2560 4059 4741,50 49 50,0 1 2,11360,0,[0 1],1616444005.417,Mon Mar 22 2021 15:13:25 GMT-0500 (Central Daylight Time),0
A,A12FTSX85NQ8N9,1322164308161,0,3,train,1,[0 1],[0 1],1 2 5 2 4 6,6,2 3 1 2 2,[0 2];[0 0];[0 0];[0 0];[4 6],2 0 0 0 6,2238 4043 4677 5857 3685,49 50 49 51 50,0 1 2 3 4,20500,8,[0 1],1616444029.84,Mon Mar 22 2021 15:13:49 GMT-0500 (Central Daylight Time),0
A,A12FTSX85NQ8N9,1322164308161,0,4,train,1,[1 0],[1 0],1 2 3 2 3 6,6,1 1 1 1 2,[4 0];[0 0];[0 0];[0 0];[7 0],4 0 0 0 7,3494 4875 2890 3727 2383,50 49 49 49 50,0 1 2 3 4,17369,11,[0 1],1616444050.447,Mon Mar 22 2021 15:14:10 GMT-0500 (Central Daylight Time),0
A,A12FTSX85NQ8N9,1322164308161,0,5,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,6057 3089 2707,49 51 50,0 1 2,11853,4,[0 1],1616444065.075,Mon Mar 22 2021 15:14:25 GMT-0500 (Central Daylight Time),0
A,A12FTSX85NQ8N9,1322164308161,0,6,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,2730 3661 2535,49 50 50,0 1 2,8926,10,[0 1],1616444076.726,Mon Mar 22 2021 15:14:36 GMT-0500 (Central Daylight Time),0
A,A12FTSX85NQ8N9,1322164308161,0,7,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],0 0 0,2836 2551 2438,49 50 50,0 1 2,7825,0,[0 1],1616444086.763,Mon Mar 22 2021 15:14:46 GMT-0500 (Central Daylight Time),0
A,A12FTSX85NQ8N9,1322164308161,0,8,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,1836 1868 2263 435,49 51 51 50,0 1 3,6402,4,[0 1],1616444095.533,Mon Mar 22 2021 15:14:55 GMT-0500 (Central Daylight Time),0
A,A12FTSX85NQ8N9,1322164308161,0,9,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,1807 2251 1803,50 51 50,0 1 2,5861,8,[0 1],1616444103.605,Mon Mar 22 2021 15:15:03 GMT-0500 (Central Daylight Time),0
