group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A16Z9FSSF1X74O,1329288794286,0,0,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,3328 10096 4296,97 98 97,0 1 2,17720,8,[1 0],1616966854.076,Sun Mar 28 2021 16:27:34 GMT-0500 (Central Daylight Time),0
A,A16Z9FSSF1X74O,1329288794286,0,1,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,967 5753 4439,97 99 97,0 1 2,11159,2,[1 0],1616966872.412,Sun Mar 28 2021 16:27:52 GMT-0500 (Central Daylight Time),0
A,A16Z9FSSF1X74O,1329288794286,0,2,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,1775 3227 2712,98 97 98,0 1 2,7714,8,[1 0],1616966885.222,Sun Mar 28 2021 16:28:05 GMT-0500 (Central Daylight Time),0
A,A16Z9FSSF1X74O,1329288794286,0,3,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,1575 3288 2824,97 98 97,0 1 2,7687,4,[1 0],1616966896.781,Sun Mar 28 2021 16:28:16 GMT-0500 (Central Daylight Time),0
A,A16Z9FSSF1X74O,1329288794286,0,4,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,727 4624 2344,97 99 97,0 1 2,7695,2,[1 0],1616966908.542,Sun Mar 28 2021 16:28:28 GMT-0500 (Central Daylight Time),0
A,A16Z9FSSF1X74O,1329288794286,0,5,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1672 3280 3128,97 97 98,0 1 2,8080,10,[1 0],1616966921.837,Sun Mar 28 2021 16:28:41 GMT-0500 (Central Daylight Time),0
A,A16Z9FSSF1X74O,1329288794286,0,6,train,1,[1 0],[0 1],1 2 3 2 5 6,6,2 1 1 3 2,[2 0];[0 0];[0 0];[0 0];[8 0],0 0 0 0 0,607 4088 2264 2208 2808,97 99 98 97 98,0 1 2 3 4,11975,0,[1 0],1616966938.291,Sun Mar 28 2021 16:28:58 GMT-0500 (Central Daylight Time),0
A,A16Z9FSSF1X74O,1329288794286,0,7,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1751 4392 3048 1008,97 97 99 98,0 1 3,10199,10,[1 0],1616966953.059,Sun Mar 28 2021 16:29:13 GMT-0500 (Central Daylight Time),0
A,A16Z9FSSF1X74O,1329288794286,0,8,train,1,[0 1],[1 0],1 2 5 2 4 2 5 6,8,1 3 1 2 1 3 2,[0 4];[0 0];[0 0];[0 0];[0 0];[0 0];[8 0],0 0 0 0 0 0 8,1264 4688 2552 2824 3168 1088 5576 3695,98 97 97 98 99 98 97 98,0 1 2 3 5 6 7,24855,8,[1 0],1616966982.731,Sun Mar 28 2021 16:29:42 GMT-0500 (Central Daylight Time),0
A,A16Z9FSSF1X74O,1329288794286,0,9,train,1,[1 0],[0 1],1 2 3 2 5 6,6,1 1 1 3 2,[0 4];[0 0];[0 0];[0 0];[8 0],4 0 0 0 0,1056 7951 2745 2767 3264,98 99 98 97 98,0 1 2 3 4,17783,4,[1 0],1616967004.026,Sun Mar 28 2021 16:30:04 GMT-0500 (Central Daylight Time),0
