group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A17K1CHOI773VZ,1536660939428,0,0,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,1790 6430 3777,50 49 50,0 1 2,11997,4,[1 0],1616993450.053,Mon Mar 29 2021 00:50:50 GMT-0400 (Eastern Daylight Time),0
A,A17K1CHOI773VZ,1536660939428,0,1,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,1085 5470 4642,50 51 49,0 1 2,11197,2,[1 0],1616993467.573,Mon Mar 29 2021 00:51:07 GMT-0400 (Eastern Daylight Time),0
A,A17K1CHOI773VZ,1536660939428,0,2,train,1,[1 0],[0 1],1 2 5 2 3 6,6,2 3 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 7],0 0 0 0 7,1857 7012 3907 3116 2462,50 50 49 51 49,0 1 2 3 4,18354,7,[1 0],1616993491.997,Mon Mar 29 2021 00:51:31 GMT-0400 (Eastern Daylight Time),0
A,A17K1CHOI773VZ,1536660939428,0,3,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,1789 4818 2700,50 51 49,0 1 2,9307,2,[1 0],1616993504.664,Mon Mar 29 2021 00:51:44 GMT-0400 (Eastern Daylight Time),0
A,A17K1CHOI773VZ,1536660939428,0,4,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,1362 3999 3267,50 49 50,0 1 2,8628,4,[1 0],1616993517.52,Mon Mar 29 2021 00:51:57 GMT-0400 (Eastern Daylight Time),0
A,A17K1CHOI773VZ,1536660939428,0,5,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,1281 15925 3175,49 49 50,0 1 2,20381,8,[1 0],1616993541.631,Mon Mar 29 2021 00:52:21 GMT-0400 (Eastern Daylight Time),0
A,A17K1CHOI773VZ,1536660939428,0,6,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,1458 3780 3273,49 51 49,0 1 2,8511,0,[1 0],1616993553.963,Mon Mar 29 2021 00:52:33 GMT-0400 (Eastern Daylight Time),0
A,A17K1CHOI773VZ,1536660939428,0,7,train,1,[0 1],[1 0],1 2 5 2 5 2 3 6,8,2 3 1 3 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 7],2 0 0 0 0 0 0,924 4254 3255 3638 3006 2895 2692,50 50 49 50 49 51 49,0 1 2 3 4 5 6,20664,2,[1 0],1616993578.195,Mon Mar 29 2021 00:52:58 GMT-0400 (Eastern Daylight Time),0
A,A17K1CHOI773VZ,1536660939428,0,8,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,1240 5039 11668 1414,50 49 51 50,0 1 3,19361,4,[1 0],1616993609.639,Mon Mar 29 2021 00:53:29 GMT-0400 (Eastern Daylight Time),0
A,A17K1CHOI773VZ,1536660939428,0,9,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,2105 4264 5800,49 51 49,0 1 2,12169,0,[1 0],1616993629.079,Mon Mar 29 2021 00:53:49 GMT-0400 (Eastern Daylight Time),0
A,A17K1CHOI773VZ,1536660939428,0,11,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1169 14565 2791,50 50 50,0 1 2,18525,10,[1 0],1616993819.779,Mon Mar 29 2021 00:56:59 GMT-0400 (Eastern Daylight Time),0
A,A17K1CHOI773VZ,1536660939428,0,12,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,1182 37196 3544,49 49 50,0 1 2,41922,6,[1 0],1616993940.547,Mon Mar 29 2021 00:59:00 GMT-0400 (Eastern Daylight Time),0
