group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1BWS5AD2T4NIR,1705672583713,0,0,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,4141 11393 6680,49 49 49,0 1 2,22214,7,[0 1],1616406618.165,Mon Mar 22 2021 04:50:18 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,1,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,3229 6450 5078,49 49 49,0 1 2,14757,2,[0 1],1616406639.125,Mon Mar 22 2021 04:50:39 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,2,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,5291 6192 4128,50 50 49,0 1 2,15611,8,[0 1],1616406662.096,Mon Mar 22 2021 04:51:02 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,3,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],0 0 0,2872 6073 4032,49 51 49,0 1 2,12977,0,[0 1],1616406679.697,Mon Mar 22 2021 04:51:19 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,4,train,1,[1 0],[1 0],1 2 3 2 3 6,6,2 1 1 1 2,[0 2];[0 0];[0 0];[0 0];[7 0],0 0 0 0 7,4592 3999 4425 4886 3560,49 49 50 49 49,0 1 2 3 4,21462,7,[0 1],1616406706.361,Mon Mar 22 2021 04:51:46 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,5,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,1527 6907 3183,49 49 49,0 1 2,11617,2,[0 1],1616406722.631,Mon Mar 22 2021 04:52:02 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,6,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,2672 3307 3303,49 51 49,0 1 2,9282,10,[0 1],1616406735.655,Mon Mar 22 2021 04:52:15 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,7,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,1256 5105 3278,49 49 49,0 1 2,9639,7,[0 1],1616406750.183,Mon Mar 22 2021 04:52:30 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,8,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,3640 6408 4283,50 49 49,0 1 2,14331,0,[0 1],1616406767.607,Mon Mar 22 2021 04:52:47 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,9,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,1587 7484 2841,49 49 49,0 1 2,11912,7,[0 1],1616406782.793,Mon Mar 22 2021 04:53:02 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,10,train,1,[0 1],[0 1],1 2 5 2 4 6,6,2 3 1 2 2,[0 2];[0 0];[0 0];[0 0];[4 6],2 0 0 0 6,4463 4663 5367 3448 4826,49 51 50 50 49,0 1 2 3 4,22767,8,[0 1],1616406810.43,Mon Mar 22 2021 04:53:30 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,11,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,2952 4121 3145,49 49 49,0 1 2,10218,2,[0 1],1616406825.119,Mon Mar 22 2021 04:53:45 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,12,train,1,[0 1],[0 1],1 2 4 2 5 6,6,2 2 1 3 2,[0 2];[0 0];[0 0];[0 0];[0 8],2 0 0 0 8,2650 4086 4899 4079 4118,49 50 50 51 49,0 1 2 3 4,19832,10,[0 1],1616406850.553,Mon Mar 22 2021 04:54:10 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,13,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,3135 6560 3136,49 49 49,0 1 2,12831,7,[0 1],1616406866.668,Mon Mar 22 2021 04:54:26 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,14,train,1,[0 1],[0 1],1 2 3 2 3 6,6,2 1 1 1 2,[0 2];[0 0];[0 0];[0 0];[7 0],2 0 0 0 0,1837 3826 5098 4733 3008,49 49 50 49 49,0 1 2 3 4,18502,2,[0 1],1616406888.529,Mon Mar 22 2021 04:54:48 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,15,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,898 3546 3168,49 50 49,0 1 2,7612,8,[0 1],1616406899.393,Mon Mar 22 2021 04:54:59 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,16,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,1775 3212 2640,49 49 49,0 1 2,7627,7,[0 1],1616406911.52,Mon Mar 22 2021 04:55:11 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,17,train,1,[0 1],[0 1],1 2 3 2 3 6,6,2 1 1 1 2,[0 2];[0 0];[0 0];[0 0];[7 0],2 0 0 0 0,857 3824 3792 5105 4360,49 49 50 49 49,0 1 2 3 4,17938,2,[0 1],1616406933.352,Mon Mar 22 2021 04:55:33 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,18,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],0 0 0,760 5274 3008,49 51 49,0 1 2,9042,0,[0 1],1616406946.074,Mon Mar 22 2021 04:55:46 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,19,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,1383 5001 2697,49 49 49,0 1 2,9081,7,[0 1],1616406959.159,Mon Mar 22 2021 04:55:59 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,20,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],0 0 0,3096 3218 2463,49 51 49,0 1 2,8777,0,[0 1],1616406973.209,Mon Mar 22 2021 04:56:13 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,21,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,1686 3062 2259,49 49 49,0 1 2,7007,7,[0 1],1616406984.001,Mon Mar 22 2021 04:56:24 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,22,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,2843 2988 2407,49 49 49,0 1 2,8238,7,[0 1],1616406996.544,Mon Mar 22 2021 04:56:36 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,23,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,1585 3943 2432,49 49 49,0 1 2,7960,7,[0 1],1616407009.652,Mon Mar 22 2021 04:56:49 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,24,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,4028 3282 2938,49 51 49,0 1 2,10248,10,[0 1],1616407023.912,Mon Mar 22 2021 04:57:03 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,25,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,4120 3143 3156,50 49 49,0 1 2,10419,11,[0 1],1616407038.937,Mon Mar 22 2021 04:57:18 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,26,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,753 5975 3471,50 49 49,0 1 2,10199,11,[0 1],1616407052.646,Mon Mar 22 2021 04:57:32 GMT-0500 (Central Daylight Time),0
A,A1BWS5AD2T4NIR,1705672583713,0,27,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,1802 3310 3026,49 51 49,0 1 2,8138,10,[0 1],1616407064.062,Mon Mar 22 2021 04:57:44 GMT-0500 (Central Daylight Time),0
