group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1FKEFRPAK2U8L,1222474933602,0,0,train,1,[0 1],[1 0],1 2 5 2 3 2 3 6,8,1 3 1 1 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 0];[0 0];[0 7],0 0 0 0 0 0 0,4484 13000 9127 5296 4520 3640 3520,49 50 50 49 50 49 49,0 1 2 3 4 5 6,43587,0,[1 0],1616986284.862,Sun Mar 28 2021 22:51:24 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,1,train,1,[1 0],[0 1],1 2 3 2 4 2 5 6,8,1 1 1 2 1 3 2,[0 4];[0 0];[0 0];[0 0];[0 0];[0 0];[8 0],4 0 0 0 0 0 0,1403 4128 3968 4360 2640 2392 3096,49 49 50 51 49 50 49,0 1 2 3 4 5 6,21987,4,[1 0],1616986315.445,Sun Mar 28 2021 22:51:55 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,2,train,1,[1 0],[0 1],1 2 4 2 5 2 3 2 3 2 4 2 5 6,14,2 2 1 3 1 1 1 1 1 2 1 3 2,[2 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[8 0],0 0 0 0 0 0 0 0 0 0 0 0 0,1499 4704 2168 1968 3776 2352 2584 3288 1904 2680 3064 1800 2712,50 51 49 50 50 49 50 49 50 51 49 50 49,0 1 2 3 4 5 6 7 8 9 10 11 12,34499,0,[1 0],1616986354.829,Sun Mar 28 2021 22:52:34 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,3,train,1,[0 1],[1 0],1 2 5 2 4 2 3 6,8,1 3 1 2 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 0];[0 0];[0 7],0 0 0 0 0 0 0,1387 1968 2104 576 2584 2000 3128 2640,49 50 51 50 51 49 49 49,0 1 3 4 5 6 7,16387,0,[1 0],1616986378.429,Sun Mar 28 2021 22:52:58 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,4,train,1,[0 1],[1 0],1 2 3 2 3 6,6,2 1 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 7],2 0 0 0 0,1668 3800 2552 2512 2552,50 49 50 49 49,0 1 2 3 4,13084,2,[1 0],1616986396.028,Sun Mar 28 2021 22:53:16 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,5,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,1404 3616 1968,50 51 50,0 1 2,6988,8,[1 0],1616986405.973,Sun Mar 28 2021 22:53:25 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,6,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,947 2969 2064,49 51 50,0 1 2,5980,6,[1 0],1616986415.18,Sun Mar 28 2021 22:53:35 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,7,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,1340 3416 2711,49 50 49,0 1 2,7467,8,[1 0],1616986425.516,Sun Mar 28 2021 22:53:45 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,8,train,1,[1 0],[0 1],1 2 5 2 3 6,6,2 3 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 7],0 0 0 0 7,1772 4063 2448 2448 2840,50 50 50 49 49,0 1 2 3 4,13571,7,[1 0],1616986442.54,Sun Mar 28 2021 22:54:02 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,9,train,1,[0 1],[1 0],1 2 4 2 3 6,6,2 2 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 7],2 0 0 0 0,756 3032 2032 2512 2456,50 51 49 49 49,0 1 2 3 4,10788,2,[1 0],1616986457.148,Sun Mar 28 2021 22:54:17 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,10,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,1220 3800 2936,50 49 49,0 1 2,7956,7,[1 0],1616986468.364,Sun Mar 28 2021 22:54:28 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,11,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,1084 3416 2680,49 50 49,0 1 2,7180,8,[1 0],1616986478.5,Sun Mar 28 2021 22:54:38 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,12,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,1548 4192 3320,50 49 49,0 1 2,9060,7,[1 0],1616986490.916,Sun Mar 28 2021 22:54:50 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,13,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,2771 3584 2928,49 51 50,0 1 2,9283,8,[1 0],1616986507.061,Sun Mar 28 2021 22:55:07 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,14,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,2427 7024 2648,50 49 49,0 1 2,12099,7,[1 0],1616986523.148,Sun Mar 28 2021 22:55:23 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,15,train,1,[1 0],[0 1],1 2 5 2 3 6,6,1 3 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,1332 3320 2896 2392 2832,49 50 50 49 49,0 1 2 3 4,12772,11,[1 0],1616986540.996,Sun Mar 28 2021 22:55:40 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,16,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,1372 3640 3160,49 51 50,0 1 2,8172,6,[1 0],1616986552.524,Sun Mar 28 2021 22:55:52 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,17,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,2139 4745 3024,49 50 49,0 1 2,9908,4,[1 0],1616986565.643,Sun Mar 28 2021 22:56:05 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,18,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,1571 3832 3448,50 49 49,0 1 2,8851,2,[1 0],1616986577.651,Sun Mar 28 2021 22:56:17 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,19,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,3252 3160 3248,49 51 50,0 1 2,9660,8,[1 0],1616986590.971,Sun Mar 28 2021 22:56:30 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,20,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,2348 3864 3712,49 50 49,0 1 2,9924,4,[1 0],1616986604.051,Sun Mar 28 2021 22:56:44 GMT-0400 (Eastern Daylight Time),0
A,A1FKEFRPAK2U8L,1222474933602,0,21,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,1764 4544 2609,50 51 50,0 1 2,8917,4,[1 0],1616986616.028,Sun Mar 28 2021 22:56:56 GMT-0400 (Eastern Daylight Time),0
