group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1H5Q9HRH4RPZU,1820802200427,0,0,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,4651 17940 5250,97 99 98,0 1 2,27841,4,[1 0],1616398897.842,Mon Mar 22 2021 03:41:37 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,1,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,1156 5806 3952,98 97 97,0 1 2,10914,8,[1 0],1616398913.41,Mon Mar 22 2021 03:41:53 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,2,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,2382 3314 2676,98 99 98,0 1 2,8372,8,[1 0],1616398926.314,Mon Mar 22 2021 03:42:06 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,3,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,556 2868 2742,97 97 97,0 1 2,6166,10,[1 0],1616398935.622,Mon Mar 22 2021 03:42:15 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,4,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,1748 2856 2294,97 99 98,0 1 2,6898,4,[1 0],1616398946.793,Mon Mar 22 2021 03:42:26 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,5,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,1626 3232 2672,97 98 98,0 1 2,7530,7,[1 0],1616398957.387,Mon Mar 22 2021 03:42:37 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,6,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,1107 2984 2116,98 99 98,0 1 2,6207,8,[1 0],1616398966.599,Mon Mar 22 2021 03:42:46 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,7,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1224 2639 2231,98 98 98,0 1 2,6094,11,[1 0],1616398976.899,Mon Mar 22 2021 03:42:56 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,8,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1205 2326 1954,98 98 98,0 1 2,5485,11,[1 0],1616398986.25,Mon Mar 22 2021 03:43:06 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,9,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,2794 4034 2220,98 98 98,0 1 2,9048,11,[1 0],1616399028.678,Mon Mar 22 2021 03:43:48 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,10,train,1,[1 0],[0 1],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],0 0 0,2666 2658 2902,97 97 97,0 1 2,8226,0,[1 0],1616399039.83,Mon Mar 22 2021 03:43:59 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,11,train,1,[0 1],[1 0],1 2 4 2 5 6,6,2 2 1 3 2,[2 0];[0 0];[0 0];[0 0];[8 0],2 0 0 0 8,2544 4502 2926 3174 3342,97 99 97 97 97,0 1 2 3 4,16488,10,[1 0],1616399059.104,Mon Mar 22 2021 03:44:19 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,12,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,496 2906 1874,98 98 98,0 1 2,5276,11,[1 0],1616399067.39,Mon Mar 22 2021 03:44:27 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,13,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1144 3698 1784,98 98 98,0 1 2,6626,11,[1 0],1616399076.97,Mon Mar 22 2021 03:44:36 GMT-0400 (Eastern Daylight Time),0
A,A1H5Q9HRH4RPZU,1820802200427,0,14,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,2052 3746 4510,97 98 98,0 1 2,10308,2,[1 0],1616399089.702,Mon Mar 22 2021 03:44:49 GMT-0400 (Eastern Daylight Time),0
