group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1HQ7X89JW75WY,1747163276041,0,0,train,1,[0 1],[0 1],1 2 5 2 3 2 5 2 5 2 3 6,12,2 3 1 1 1 3 1 3 1 1 2,[0 2];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[7 0],2 0 0 0 0 0 0 0 0 0 0,8443 11019 5123 3403 5675 4244 2889 2749 5095 3204 6439,49 51 50 49 49 51 50 51 50 49 50,0 1 2 3 4 5 6 7 8 9 10,58283,2,[0 1],1616994698.284,Mon Mar 29 2021 01:11:38 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,1,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,2228 5559 2774,50 51 49,0 1 2,10561,8,[0 1],1616994714.619,Mon Mar 29 2021 01:11:54 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,2,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,991 5359 5009,49 49 50,0 1 2,11359,7,[0 1],1616994729.075,Mon Mar 29 2021 01:12:09 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,3,train,1,[1 0],[1 0],1 2 3 2 4 2 4 2 4 2 4 2 4 2 3 2 4 6,18,2 1 1 2 1 2 1 2 1 2 1 2 1 1 1 2 2,[0 2];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[4 6],0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4,954 10912 2989 2736 1796 3419 911 8802 3487 4109 3673 7738 9159 3821 3159 401 3312 6389 3064,49 49 49 50 49 32 50 49 50 49 50 49 50 49 39 49 49 50 50,0 1 2 3 4 6 7 8 9 10 11 12 13 15 16 17 18,80831,4,[0 1],1616994814.669,Mon Mar 29 2021 01:13:34 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,4,train,1,[1 0],[1 0],1 2 4 2 4 6,6,1 2 1 2 2,[4 0];[0 0];[0 0];[0 0];[4 6],4 0 0 0 4,2111 4195 5415 3709 7269 6186,32 50 50 49 50 50,1 2 3 4 5,28885,8,[0 1],1616994850.415,Mon Mar 29 2021 01:14:10 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,5,train,1,[0 1],[0 1],1 2 4 2 4 2 4 6,8,1 2 1 2 1 2 2,[4 0];[0 0];[0 0];[0 0];[0 0];[0 0];[4 6],0 0 0 0 0 0 6,1267 4521 3431 3597 2893 2868 2932,50 50 49 50 49 50 50,0 1 2 3 4 5 6,21509,6,[0 1],1616994875.184,Mon Mar 29 2021 01:14:35 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,6,train,1,[1 0],[1 0],1 2 4 2 3 6,6,2 2 1 1 2,[0 2];[0 0];[0 0];[0 0];[7 0],0 0 0 0 7,557 1919 2071 1811 2915,49 50 49 49 50,0 1 2 3 4,9273,7,[0 1],1616994887.731,Mon Mar 29 2021 01:14:47 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,7,train,1,[1 0],[1 0],1 2 4 2 4 6,6,2 2 1 2 2,[0 2];[0 0];[0 0];[0 0];[4 6],0 0 0 0 4,1067 2572 2687 2829 2793 331,49 50 49 50 51 50,0 1 2 3 5,12279,4,[0 1],1616994905.692,Mon Mar 29 2021 01:15:05 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,8,train,1,[1 0],[1 0],1 2 3 2 5 6,6,1 1 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 8],4 0 0 0 0,1149 4803 3310 3738 2747 941,50 49 49 51 32 49,0 1 2 3 5,16688,4,[0 1],1616994925.391,Mon Mar 29 2021 01:15:25 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,9,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,1155 3852 3190,49 50 50,0 1 2,8197,4,[0 1],1616994937.6,Mon Mar 29 2021 01:15:37 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,10,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],4 0 0,1678 15193 3370,50 51 49,0 1 2,20241,4,[0 1],1616994961.553,Mon Mar 29 2021 01:16:01 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,11,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,1589 5024 3602,50 49 50,0 1 2,10215,11,[0 1],1616994974.816,Mon Mar 29 2021 01:16:14 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,12,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,839 5364 5698,50 50 50,0 1 2,11901,8,[0 1],1616994990.03,Mon Mar 29 2021 01:16:30 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,13,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,2228 4812 3196,50 50 50,0 1 2,10236,6,[0 1],1616995003.474,Mon Mar 29 2021 01:16:43 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,14,train,1,[1 0],[1 0],1 2 5 2 4 6,6,1 3 1 2 2,[4 0];[0 0];[0 0];[0 0];[4 6],4 0 0 0 4,1267 5314 2215 2666 159 1318 3382 7845,50 51 32 51 32 50 50 50,0 1 5 6 7,24166,8,[0 1],1616995030.35,Mon Mar 29 2021 01:17:10 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,15,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,698 2728 2611,50 50 50,0 1 2,6037,8,[0 1],1616995038.979,Mon Mar 29 2021 01:17:18 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,16,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,819 2543 2790,50 50 50,0 1 2,6152,8,[0 1],1616995047.972,Mon Mar 29 2021 01:17:27 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,17,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,610 2391 2410,50 50 50,0 1 2,5411,8,[0 1],1616995056.595,Mon Mar 29 2021 01:17:36 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,18,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,834 2568 2427,50 50 50,0 1 2,5829,6,[0 1],1616995065.115,Mon Mar 29 2021 01:17:45 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,19,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,541 2617 2270,50 50 50,0 1 2,5428,6,[0 1],1616995073.093,Mon Mar 29 2021 01:17:53 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,20,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,501 2158 2459,50 50 50,0 1 2,5118,6,[0 1],1616995081.088,Mon Mar 29 2021 01:18:01 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,21,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,768 2363 2113,50 50 50,0 1 2,5244,8,[0 1],1616995089.093,Mon Mar 29 2021 01:18:09 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,22,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,466 2406 2060,50 50 50,0 1 2,4932,8,[0 1],1616995096.494,Mon Mar 29 2021 01:18:16 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,23,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,546 2360 2419,50 50 50,0 1 2,5325,6,[0 1],1616995104.384,Mon Mar 29 2021 01:18:24 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,24,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,535 1921 194 547 2469 732,50 32 32 50 32 50,0 3 5,6398,6,[0 1],1616995113.555,Mon Mar 29 2021 01:18:33 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,25,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,447 2329 2109,50 50 50,0 1 2,4885,6,[0 1],1616995121.096,Mon Mar 29 2021 01:18:41 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,26,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,430 2286 1954,50 50 50,0 1 2,4670,6,[0 1],1616995128.181,Mon Mar 29 2021 01:18:48 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,27,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,238 411 2089 2339,32 50 50 50,1 2 3,5077,8,[0 1],1616995135.742,Mon Mar 29 2021 01:18:55 GMT-0400 (Eastern Daylight Time),1
A,A1HQ7X89JW75WY,1747163276041,0,28,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,460 2381 1760,50 50 50,0 1 2,4601,6,[0 1],1616995142.745,Mon Mar 29 2021 01:19:02 GMT-0400 (Eastern Daylight Time),1
