group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1I72NHC21347A,1655115429059,0,0,train,1,[1 0],[0 1],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],0 0 0,8726 10576 7098,97 98 98,0 1 2,26400,0,[1 0],1616969306.037,Sun Mar 28 2021 18:08:26 GMT-0400 (Eastern Daylight Time),0
A,A1I72NHC21347A,1655115429059,0,1,train,1,[0 1],[1 0],1 2 5 2 5 6,6,1 3 1 3 2,[0 4];[0 0];[0 0];[0 0];[8 0],0 0 0 0 8,1152 817 5270 7222 2898 5640,99 98 98 97 98 98,1 2 3 4 5,22999,8,[1 0],1616969334.397,Sun Mar 28 2021 18:08:54 GMT-0400 (Eastern Daylight Time),0
A,A1I72NHC21347A,1655115429059,0,2,train,1,[1 0],[0 1],1 2 3 2 3 2 3 2 4 6,10,1 1 1 1 1 1 1 2 2,[0 4];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[6 4],4 0 0 0 0 0 0 0 4,774 5488 4399 5109 3779 3576 3210 4750 3418,98 97 97 97 97 97 97 99 97,0 1 2 3 4 5 6 7 8,34503,8,[1 0],1616969375.422,Sun Mar 28 2021 18:09:35 GMT-0400 (Eastern Daylight Time),0
A,A1I72NHC21347A,1655115429059,0,3,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,826 6893 4345,98 99 97,0 1 2,12064,6,[1 0],1616969393.15,Sun Mar 28 2021 18:09:53 GMT-0400 (Eastern Daylight Time),0
A,A1I72NHC21347A,1655115429059,0,4,train,1,[0 1],[1 0],1 2 5 2 5 6,6,2 3 1 3 2,[2 0];[0 0];[0 0];[0 0];[8 0],2 0 0 0 8,1920 3624 2936 3590 3018,97 98 97 98 98,0 1 2 3 4,15088,10,[1 0],1616969413.412,Sun Mar 28 2021 18:10:13 GMT-0400 (Eastern Daylight Time),0
A,A1I72NHC21347A,1655115429059,0,5,train,1,[1 0],[0 1],1 2 4 2 4 2 5 6,8,1 2 1 2 1 3 2,[0 4];[0 0];[0 0];[0 0];[0 0];[0 0];[8 0],4 0 0 0 0 0 0,2123 3390 3843 3261 3009 3130 3339,98 99 98 99 98 98 98,0 1 2 3 4 5 6,22095,4,[1 0],1616969439.801,Sun Mar 28 2021 18:10:39 GMT-0400 (Eastern Daylight Time),0
A,A1I72NHC21347A,1655115429059,0,6,train,1,[0 1],[1 0],1 2 5 2 3 6,6,2 3 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 7],2 0 0 0 0,2326 3921 3344 5638 3178,97 98 97 97 98,0 1 2 3 4,18407,2,[1 0],1616969461.369,Sun Mar 28 2021 18:11:01 GMT-0400 (Eastern Daylight Time),0
A,A1I72NHC21347A,1655115429059,0,7,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,2256 4095 4226,97 98 98,0 1 2,10577,10,[1 0],1616969475.009,Sun Mar 28 2021 18:11:15 GMT-0400 (Eastern Daylight Time),0
A,A1I72NHC21347A,1655115429059,0,8,train,1,[1 0],[0 1],1 2 4 2 4 6,6,1 2 1 2 2,[0 4];[0 0];[0 0];[0 0];[6 4],4 0 0 0 4,1596 4819 2463 2587 2309,98 99 98 99 97,0 1 2 3 4,13774,8,[1 0],1616969491.707,Sun Mar 28 2021 18:11:31 GMT-0400 (Eastern Daylight Time),0
A,A1I72NHC21347A,1655115429059,0,9,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,1978 4462 2895,97 97 98,0 1 2,9335,2,[1 0],1616969504.773,Sun Mar 28 2021 18:11:44 GMT-0400 (Eastern Daylight Time),0
